nVectors,memcpyOut,plan,execu,memcpyIn
2,0.003,0.031,0.001,0.000,
200000,1.855,5.117,7.724,1.698,
400000,4.095,12.407,16.436,3.706,
600000,5.721,18.141,26.709,6.095,
800000,7.496,20.738,37.012,7.585,
1000000,9.676,2.097,58.749,9.681,
1200000,12.157,30.807,56.232,12.389,
1400000,13.834,33.962,69.297,13.737,
1600000,15.202,37.694,81.576,16.048,
1800000,17.750,44.986,93.317,17.468,
2000000,20.166,3.927,128.393,19.397,
2200000,21.435,49.757,117.644,21.285,
2400000,23.834,55.569,122.055,24.027,
2600000,24.321,57.649,150.238,25.334,
2800000,28.200,61.957,149.429,26.987,
3000000,29.158,67.199,168.185,29.067,
3200000,30.291,69.934,189.074,33.525,
3400000,32.764,73.531,219.722,32.843,
3600000,34.235,80.368,229.457,34.443,
3800000,35.725,83.132,265.615,37.608,
4000000,37.593,2.443,254.321,40.228,
4200000,40.386,91.594,295.478,41.241,
4400000,41.515,93.764,297.762,44.045,
4600000,42.880,97.552,354.364,43.732,
4800000,45.190,103.516,324.023,45.675,
5000000,46.773,111.889,361.278,48.201,
5200000,51.038,121.905,377.604,51.442,
5400000,51.159,128.098,417.410,51.870,
5600000,54.131,126.097,416.773,54.413,
5800000,55.507,129.677,495.170,55.260,
6000000,56.144,135.596,454.517,60.942,
6200000,61.510,139.984,537.203,60.080,
6400000,60.356,146.277,502.370,61.447,
6600000,62.218,155.695,546.849,68.537,
6800000,63.683,157.165,544.800,65.345,
7000000,67.469,162.568,558.076,70.456,
7200000,68.461,189.588,601.119,68.525,
7400000,70.840,199.571,1045.090,70.230,
7600000,71.423,198.432,622.425,72.509,
7800000,72.992,216.820,644.804,74.870,
8000000,76.584,14.376,552.816,81.018,
8200000,76.759,208.918,1174.457,78.879,
8400000,79.906,219.348,695.151,81.631,
8600000,81.590,217.093,864.071,85.149,
8800000,92.140,221.974,767.043,85.633,
9000000,87.025,19.560,621.722,87.852,
9200000,90.462,234.543,791.519,88.963,
9400000,97.338,237.959,973.400,91.373,
9600000,92.878,245.545,796.373,93.639,
9800000,94.299,247.920,833.083,97.588,
10000000,101.539,252.043,853.391,96.774,
2,0.003,0.018,0.000,0.000,
200000,1.761,3.924,7.824,1.657,
400000,3.675,7.761,16.536,3.806,
600000,5.481,12.158,27.162,5.919,
800000,7.451,15.905,37.022,7.666,
1000000,9.395,0.264,58.838,4.188,
1200000,11.340,24.492,56.645,5.130,
1400000,13.195,28.465,69.975,6.010,
1600000,14.961,32.803,78.935,7.175,
1800000,18.161,37.310,97.554,17.737,
2000000,19.074,0.346,128.370,19.639,
2200000,20.580,45.185,118.602,23.173,
2400000,22.452,48.971,122.260,23.374,
2600000,24.973,53.449,155.546,25.947,
2800000,27.738,57.155,151.160,27.071,
3000000,28.684,61.108,170.531,29.106,
3200000,30.373,65.205,186.855,35.163,
3400000,32.218,71.386,221.066,33.090,
3600000,33.928,74.067,230.673,35.772,
3800000,36.321,77.627,271.862,37.450,
4000000,38.485,0.382,261.497,39.047,
4200000,39.972,85.496,289.744,43.135,
4400000,42.961,89.675,295.540,43.458,
4600000,43.941,93.696,349.611,44.365,
4800000,46.777,97.602,327.681,47.433,
5000000,46.282,101.393,359.310,49.834,
5200000,48.417,117.384,374.069,51.068,
5400000,53.511,117.977,417.113,52.252,
5600000,54.515,126.428,418.048,54.037,
5800000,54.753,130.915,490.530,57.699,
6000000,59.354,135.837,452.300,58.837,
6200000,60.022,142.431,535.093,58.933,
6400000,60.245,145.278,508.575,61.329,
6600000,66.267,150.129,562.839,62.686,
6800000,64.863,157.085,548.117,71.318,
7000000,71.702,158.798,554.879,69.517,
7200000,69.238,182.145,588.207,72.290,
7400000,70.678,178.360,1049.206,76.029,
7600000,72.564,186.078,627.408,73.551,
7800000,78.715,191.297,654.371,74.989,
8000000,75.383,0.561,558.521,83.733,
8200000,80.955,197.319,1164.462,82.225,
8400000,83.732,201.844,696.521,85.001,
8600000,82.893,213.157,862.741,89.153,
8800000,87.422,223.828,776.260,90.584,
9000000,87.656,0.470,624.002,96.053,
9200000,89.025,238.376,795.747,96.553,
9400000,96.035,228.940,961.978,95.809,
9600000,93.397,229.618,784.310,96.512,
9800000,94.482,234.370,827.011,100.735,
10000000,96.821,247.850,822.426,96.849,
2,0.002,0.017,0.001,0.000,
200000,1.843,3.924,7.689,1.666,
400000,4.293,8.091,18.018,4.007,
600000,5.757,12.112,26.873,5.860,
800000,7.326,15.891,36.803,3.299,
1000000,5.130,0.263,58.697,4.132,
1200000,5.365,32.308,56.392,5.063,
1400000,6.256,28.504,69.279,5.921,
1600000,15.937,32.812,78.063,6.776,
1800000,18.007,37.239,93.014,17.305,
2000000,18.472,0.348,129.093,21.672,
2200000,20.962,46.664,117.628,21.211,
2400000,23.518,49.126,120.813,23.099,
2600000,24.244,53.669,140.494,25.395,
2800000,26.060,57.097,151.073,28.588,
3000000,29.052,62.713,167.887,29.285,
3200000,30.811,65.207,183.548,31.008,
3400000,31.860,69.266,221.230,34.232,
3600000,37.095,74.156,228.187,36.476,
3800000,35.338,78.094,259.921,37.356,
4000000,38.385,0.355,257.868,41.399,
4200000,39.553,95.525,278.527,40.091,
4400000,42.673,100.219,306.114,42.631,
4600000,45.216,105.961,337.284,44.607,
4800000,45.932,110.105,325.136,46.324,
5000000,46.623,114.103,347.134,51.752,
5200000,50.352,132.530,370.240,49.801,
5400000,50.925,129.712,422.345,52.456,
5600000,52.570,137.153,407.023,57.030,
5800000,58.401,144.448,486.754,60.101,
6000000,56.722,149.002,460.343,60.869,
6200000,58.212,151.872,546.315,61.146,
6400000,61.597,156.628,507.712,67.460,
6600000,64.671,161.314,544.399,64.409,
6800000,64.167,165.957,533.037,67.730,
7000000,67.333,172.052,547.273,67.701,
7200000,70.626,178.816,584.904,68.923,
7400000,72.147,184.510,1046.147,77.196,
7600000,74.208,190.156,624.611,75.358,
7800000,73.158,191.386,651.028,75.919,
8000000,81.353,0.526,557.726,76.715,
8200000,84.800,197.288,1155.526,78.705,
8400000,84.677,205.259,679.323,79.139,
8600000,85.741,220.872,855.211,83.358,
8800000,81.904,221.272,767.519,89.089,
9000000,87.384,0.464,621.383,88.663,
9200000,86.998,238.197,794.005,87.252,
9400000,89.834,226.098,967.837,93.069,
9600000,94.912,233.469,789.892,99.078,
9800000,97.113,235.754,832.098,94.667,
10000000,95.431,245.604,834.465,99.892,
2,0.002,0.018,0.001,0.000,
200000,1.777,3.921,7.786,1.868,
400000,3.567,7.710,16.600,3.701,
600000,5.430,12.037,27.306,5.762,
800000,7.404,15.790,37.071,3.395,
1000000,5.378,0.268,60.354,4.257,
1200000,5.507,25.338,58.235,5.202,
1400000,6.444,29.140,69.556,6.162,
1600000,15.118,32.640,79.066,6.996,
1800000,16.661,37.092,94.099,17.362,
2000000,18.294,0.347,127.853,19.440,
2200000,21.468,44.754,117.961,21.404,
2400000,24.336,49.505,124.883,24.410,
2600000,26.112,53.417,141.778,25.381,
2800000,25.850,56.836,151.017,26.824,
3000000,30.442,61.012,176.046,30.728,
3200000,30.736,64.981,188.093,32.517,
3400000,34.178,69.045,220.329,32.247,
3600000,33.815,72.910,243.392,35.409,
3800000,35.749,77.008,260.346,36.287,
4000000,37.103,0.350,258.738,43.880,
4200000,42.678,97.155,280.764,40.063,
4400000,41.683,100.198,296.829,44.551,
4600000,46.932,105.646,341.413,44.233,
4800000,44.661,109.680,334.662,47.723,
5000000,46.697,115.294,349.977,49.075,
5200000,49.328,130.696,387.892,49.715,
5400000,51.124,129.931,424.028,55.183,
5600000,52.021,137.367,408.373,53.691,
5800000,53.882,143.622,487.001,58.708,
6000000,56.271,146.593,459.437,57.527,
6200000,57.674,152.792,542.119,59.143,
6400000,62.691,157.730,502.154,62.845,
6600000,62.839,162.176,538.564,63.293,
6800000,68.289,173.381,539.218,65.450,
7000000,65.679,175.058,551.818,67.856,
7200000,68.873,177.129,587.936,72.528,
7400000,72.115,183.918,1040.140,75.595,
7600000,72.232,190.767,626.351,75.272,
7800000,75.072,192.170,655.612,78.345,
8000000,76.770,0.508,550.783,78.024,
8200000,82.376,196.979,1160.201,79.455,
8400000,81.343,201.400,692.537,82.390,
8600000,84.029,211.538,865.603,82.716,
8800000,86.864,222.049,778.042,84.249,
9000000,85.324,0.490,616.950,90.333,
9200000,95.033,236.499,793.978,88.417,
9400000,92.294,225.635,967.065,97.487,
9600000,94.837,232.460,785.037,91.874,
9800000,97.037,236.652,826.194,93.780,
10000000,95.877,245.043,835.012,101.005,
2,0.003,0.019,0.000,0.000,
200000,2.004,3.903,7.767,1.869,
400000,3.613,7.751,16.519,3.750,
600000,5.447,12.121,27.134,5.745,
800000,7.989,15.848,37.118,3.407,
1000000,5.252,0.281,58.613,4.270,
1200000,5.500,24.503,56.569,5.207,
1400000,6.491,29.119,71.710,6.470,
1600000,15.559,33.455,79.181,7.016,
1800000,17.143,37.164,93.425,17.196,
2000000,18.413,0.436,127.752,19.069,
2200000,20.456,44.856,117.861,21.089,
2400000,22.318,48.989,125.164,24.407,
2600000,25.262,56.246,144.708,25.105,
2800000,26.263,57.066,151.539,26.731,
3000000,27.984,61.217,170.096,28.916,
3200000,30.058,66.128,198.163,33.418,
3400000,31.589,69.106,222.078,33.364,
3600000,33.682,73.064,232.320,36.403,
3800000,36.359,78.843,261.749,36.481,
4000000,37.550,0.352,259.412,38.319,
4200000,42.466,95.880,291.195,41.064,
4400000,41.667,100.217,301.006,44.138,
4600000,44.132,106.677,347.853,48.172,
4800000,45.630,109.409,320.769,47.397,
5000000,48.479,116.840,350.207,48.201,
5200000,50.737,132.295,381.900,50.332,
5400000,51.488,130.722,414.033,52.353,
5600000,59.052,139.202,407.398,55.324,
5800000,55.693,142.406,493.366,56.434,
6000000,61.624,146.668,458.755,58.366,
6200000,60.376,151.893,535.459,62.675,
6400000,63.547,156.920,498.543,61.697,
6600000,62.789,164.927,538.901,64.172,
6800000,69.716,171.750,541.326,68.205,
7000000,66.821,172.536,557.825,68.522,
7200000,68.721,176.229,591.021,69.486,
7400000,72.828,182.578,1044.821,73.999,
7600000,75.180,193.449,635.588,74.478,
7800000,76.189,191.425,647.356,78.192,
8000000,76.090,0.509,549.774,76.590,
8200000,80.993,200.626,1168.787,77.978,
8400000,79.376,203.174,693.481,87.167,
8600000,82.549,210.157,856.745,81.543,
8800000,82.448,225.822,753.430,85.674,
9000000,90.245,0.496,612.593,86.266,
9200000,90.726,234.440,778.935,90.754,
9400000,90.330,227.806,960.657,94.037,
9600000,90.581,231.091,785.160,91.367,
9800000,95.637,238.006,819.803,96.311,
10000000,101.857,246.889,835.572,96.716,
2,0.002,0.018,0.001,0.000,
200000,1.934,3.931,7.813,1.697,
400000,3.664,7.756,16.529,4.081,
600000,5.587,12.053,27.184,5.689,
800000,7.361,15.790,37.205,3.352,
1000000,5.325,0.281,58.576,4.206,
1200000,5.483,24.475,56.766,5.182,
1400000,6.400,28.550,69.731,6.062,
1600000,15.492,32.787,79.488,7.692,
1800000,19.813,37.441,96.510,17.119,
2000000,18.402,0.348,127.581,19.257,
2200000,20.824,44.880,118.142,22.852,
2400000,22.721,48.724,121.976,22.796,
2600000,25.267,53.442,149.227,25.479,
2800000,27.749,57.130,149.740,27.250,
3000000,30.361,61.206,174.762,29.005,
3200000,30.619,65.211,183.821,32.946,
3400000,31.936,70.930,224.023,33.503,
3600000,34.421,73.346,230.796,36.534,
3800000,36.698,77.442,273.244,37.357,
4000000,38.841,0.354,260.249,39.595,
4200000,40.977,96.514,286.411,43.357,
4400000,42.851,100.986,296.104,43.497,
4600000,44.371,105.145,351.267,44.343,
4800000,45.930,109.945,321.474,47.048,
5000000,47.541,114.977,359.678,49.458,
5200000,49.678,130.500,373.623,51.867,
5400000,54.792,130.676,412.298,51.784,
5600000,52.510,136.940,410.101,53.722,
5800000,55.462,141.819,492.055,55.667,
6000000,56.140,147.025,451.127,57.189,
6200000,63.151,154.393,536.422,59.671,
6400000,60.375,158.483,495.802,61.307,
6600000,63.008,161.082,540.503,63.772,
6800000,66.295,166.635,548.542,67.032,
7000000,65.885,170.978,554.637,66.948,
7200000,68.593,176.797,590.840,74.019,
7400000,69.155,181.995,1040.742,70.867,
7600000,71.220,186.981,623.836,76.278,
7800000,72.869,192.140,653.068,75.105,
8000000,74.527,0.557,554.918,79.123,
8200000,77.409,199.375,1160.640,82.594,
8400000,84.488,203.369,693.396,81.318,
8600000,86.496,211.271,863.846,88.589,
8800000,83.708,222.836,766.574,83.623,
9000000,85.765,0.460,619.972,88.176,
9200000,94.011,237.775,792.231,87.032,
9400000,88.800,229.489,968.080,91.222,
9600000,92.234,231.577,788.619,91.203,
9800000,95.322,236.664,826.194,93.995,
10000000,93.762,248.141,826.170,99.068,
2,0.002,0.017,0.001,0.000,
200000,1.722,3.907,7.744,1.655,
400000,4.000,8.045,17.633,4.126,
600000,5.417,12.021,26.858,5.623,
800000,7.200,15.779,36.760,3.316,
1000000,5.190,0.278,58.193,4.163,
1200000,5.401,24.447,55.962,5.106,
1400000,6.296,28.456,68.746,5.983,
1600000,14.633,32.595,78.136,6.860,
1800000,16.854,37.033,92.173,17.144,
2000000,18.735,0.345,130.395,21.258,
2200000,22.625,44.679,117.733,21.521,
2400000,22.256,48.684,121.465,23.025,
2600000,23.942,53.447,140.905,25.874,
2800000,26.403,56.814,157.271,28.841,
3000000,27.948,60.860,168.527,29.407,
3200000,29.862,65.140,185.482,31.592,
3400000,31.685,69.050,226.649,35.024,
3600000,34.638,73.226,230.569,37.525,
3800000,35.767,77.246,260.932,37.279,
4000000,39.703,0.358,261.540,39.429,
4200000,40.077,95.906,281.344,41.033,
4400000,42.371,100.578,305.967,42.572,
4600000,45.960,105.262,342.009,44.117,
4800000,45.104,112.265,324.782,48.437,
5000000,47.894,114.573,353.359,48.899,
5200000,49.484,132.336,375.162,49.594,
5400000,51.406,130.080,424.196,54.379,
5600000,52.899,136.990,412.465,56.065,
5800000,58.594,142.306,483.760,54.843,
6000000,57.453,150.727,450.659,57.737,
6200000,62.228,152.014,543.296,60.218,
6400000,62.701,158.546,508.476,61.692,
6600000,66.503,162.095,548.184,62.732,
6800000,64.498,170.676,545.548,66.149,
7000000,67.652,173.552,552.985,69.683,
7200000,69.752,178.315,583.937,71.609,
7400000,75.096,181.517,1056.569,73.621,
7600000,72.036,192.136,626.463,73.780,
7800000,77.308,190.666,654.206,76.980,
8000000,75.938,0.531,554.834,76.721,
8200000,79.830,198.044,1157.565,79.107,
8400000,83.604,206.413,687.499,85.137,
8600000,86.304,210.605,862.996,85.842,
8800000,84.986,221.708,766.548,84.767,
9000000,86.326,0.478,623.936,94.344,
9200000,89.687,236.006,793.612,91.623,
9400000,91.637,227.091,968.353,95.089,
9600000,95.044,230.672,802.725,93.301,
9800000,94.135,235.162,834.361,97.081,
10000000,96.375,244.402,834.229,96.894,
2,0.002,0.018,0.001,0.000,
200000,1.817,3.929,7.753,1.685,
400000,3.582,7.770,17.278,4.069,
600000,6.001,12.512,27.354,5.735,
800000,8.166,16.484,39.026,3.425,
1000000,5.400,0.269,60.023,4.187,
1200000,5.460,24.540,56.714,5.138,
1400000,6.353,28.596,69.899,6.017,
1600000,16.312,33.339,79.204,6.873,
1800000,16.869,37.277,93.630,17.357,
2000000,18.700,0.347,128.661,19.395,
2200000,20.827,46.069,123.534,21.803,
2400000,22.888,49.002,122.096,24.588,
2600000,24.551,53.643,142.919,25.733,
2800000,26.445,57.092,150.650,27.177,
3000000,29.574,62.733,176.297,29.362,
3200000,30.185,65.230,186.013,31.567,
3400000,33.474,69.270,220.992,33.862,
3600000,37.017,74.850,230.574,35.053,
3800000,36.325,77.629,259.954,36.771,
4000000,37.753,0.354,265.519,40.141,
4200000,39.442,95.811,283.360,40.535,
4400000,42.169,100.374,327.457,42.401,
4600000,45.770,108.870,345.597,44.999,
4800000,44.833,109.957,332.556,46.087,
5000000,46.881,114.330,349.870,47.563,
5200000,52.458,134.416,375.954,51.293,
5400000,50.788,130.640,424.292,51.923,
5600000,52.842,136.675,407.262,55.296,
5800000,59.174,141.997,483.958,56.538,
6000000,61.714,148.545,455.884,58.629,
6200000,58.039,152.181,542.445,60.360,
6400000,59.682,158.353,505.678,60.969,
6600000,61.373,163.815,539.601,66.187,
6800000,63.471,170.006,536.774,67.413,
7000000,72.182,171.664,548.721,67.055,
7200000,71.784,179.537,591.214,69.664,
7400000,73.689,183.053,1042.494,69.296,
7600000,73.060,191.637,621.392,71.627,
7800000,71.960,191.367,647.048,73.774,
8000000,75.152,0.526,558.186,79.194,
8200000,75.468,198.267,1153.298,77.793,
8400000,80.410,203.630,688.096,87.381,
8600000,81.816,214.866,859.141,85.182,
8800000,84.392,222.579,769.207,87.519,
9000000,87.462,0.457,623.091,88.198,
9200000,88.626,237.072,801.066,89.170,
9400000,92.268,225.987,968.625,90.747,
9600000,92.757,236.444,790.417,98.211,
9800000,99.594,236.778,834.547,94.461,
10000000,95.154,246.061,833.914,95.968,
2,0.001,0.020,0.001,0.001,
