kernel/C,device/C,x/I,y/I,z/I,mb/F,time/F
Uux3a,NvidiaRuntime - Tesla K20Xm,128, 1, 1,5.0,0.455333332221
Uux3a,NvidiaRuntime - Tesla K20Xm,32, 1, 1,160.0,6.91133332253
Uux3a,NvidiaRuntime - Tesla K20Xm,128, 1, 1,40.0,2.10300000509
Uux3a,NvidiaRuntime - Tesla K20Xm,32, 1, 1,80.0,3.63899993896
Uux3a,NvidiaRuntime - Tesla K20Xm,128, 1, 1,320.0,13.3721250296
Uux3a,IntelRuntime - Intel Xeon CPU E5-2695 v2 @ 2.40GHz,64, 1, 1,5.0,0.899333337943
Uux3a,IntelRuntime - Intel Xeon CPU E5-2695 v2 @ 2.40GHz,32, 1, 1,160.0,13.5401666959
Uux3a,IntelRuntime - Intel Xeon CPU E5-2695 v2 @ 2.40GHz,256, 1, 1,40.0,4.45466677348
Uux3a,IntelRuntime - Intel Xeon CPU E5-2695 v2 @ 2.40GHz,16, 1, 1,80.0,7.65366665522
Uux3a,IntelRuntime - Intel Xeon CPU E5-2695 v2 @ 2.40GHz,512, 1, 1,320.0,25.9253752232
Uux3a,CUDA - Tesla K20Xm,1, 1, 1,455.0,17.7367998123
Uux3a,CUDA - Tesla K20Xm,1, 1, 1,135.0,5.35120000839
Uux3a,CUDA - Tesla K20Xm,1, 1, 1,7.0,0.379099994898
Uux3a,CUDA - Tesla K20Xm,1, 1, 1,391.0,15.2630997658
Uux3a,CUDA - Tesla K20Xm,1, 1, 1,71.0,2.87770001888
Uux3a,CUDA - Tesla K20Xm,1, 1, 1,263.0,10.3053998947
Uux3a,CUDA - Tesla K20Xm,1, 1, 1,200.0,7.82489991188
Uux3a,CUDA - Tesla K20Xm,1, 1, 1,327.0,12.7813999176
Uux3a,NvidiaRuntime - GTX 780,64, 1, 1,5.0,0.240666662653
Uux3a,NvidiaRuntime - GTX 780,32, 1, 1,160.0,6.34916655223
Uux3a,NvidiaRuntime - GTX 780,128, 1, 1,40.0,1.81033333143
Uux3a,NvidiaRuntime - GTX 780,32, 1, 1,80.0,3.39866662025
Uux3a,NvidiaRuntime - GTX 780,32, 1, 1,320.0,11.996125102
Uux3a,CUDA - GTX 780,1, 1, 1,455.0,16.2854000092
Uux3a,CUDA - GTX 780,1, 1, 1,135.0,4.91499996185
Uux3a,CUDA - GTX 780,1, 1, 1,7.0,0.331499999762
Uux3a,CUDA - GTX 780,1, 1, 1,391.0,14.0122999191
Uux3a,CUDA - GTX 780,1, 1, 1,71.0,2.63959999084
Uux3a,CUDA - GTX 780,1, 1, 1,263.0,9.46650018692
Uux3a,CUDA - GTX 780,1, 1, 1,200.0,7.19279999733
Uux3a,CUDA - GTX 780,1, 1, 1,327.0,11.7375
Uux3a,AmdRuntime - Intel Xeon CPU E5-2695 v2 @ 2.40GHz,4, 1, 1,5.0,3.1173333327
Uux3a,AmdRuntime - Intel Xeon CPU E5-2695 v2 @ 2.40GHz,256, 1, 1,160.0,63.6173337301
Uux3a,AmdRuntime - Intel Xeon CPU E5-2695 v2 @ 2.40GHz,512, 1, 1,40.0,18.5286661784
Uux3a,AmdRuntime - Intel Xeon CPU E5-2695 v2 @ 2.40GHz,256, 1, 1,80.0,33.8066660563
Uux3a,AmdRuntime - Intel Xeon CPU E5-2695 v2 @ 2.40GHz,512, 1, 1,320.0,121.857624054
Uux3a,IntelRuntime - Intel Xeon Phi coprocessor x100 family,1024, 1, 1,5.0,3.99299987157
Uux3a,IntelRuntime - Intel Xeon Phi coprocessor x100 family,128, 1, 1,160.0,24.5309998194
Uux3a,IntelRuntime - Intel Xeon Phi coprocessor x100 family,256, 1, 1,40.0,9.63699976603
Uux3a,IntelRuntime - Intel Xeon Phi coprocessor x100 family,128, 1, 1,80.0,15.3583332698
Uux3a,IntelRuntime - Intel Xeon Phi coprocessor x100 family,128, 1, 1,320.0,44.5080003738
Uux3a,AmdRuntime - AMD Firepro W9100,128, 1, 1,5.0,0.506666670243
Uux3a,AmdRuntime - AMD Firepro W9100,64, 1, 1,160.0,2.35483332475
Uux3a,AmdRuntime - AMD Firepro W9100,128, 1, 1,40.0,0.953333318233
Uux3a,AmdRuntime - AMD Firepro W9100,64, 1, 1,80.0,1.55866662661
Uux3a,AmdRuntime - AMD Firepro W9100,64, 1, 1,320.0,4.39025002718
