device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,1,2,42.875,410.6,13.661,0.001,26.272,30.91,4.018
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,1,4,42.875,424.867,12.957,0.002,14.988,27.695,2.326
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,1,8,42.875,420.923,12.746,0.002,9.183,26.136,2.174
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,1,16,42.875,420.777,12.95,0.002,8.598,25.677,2.332
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,1,32,42.875,425.99,10.3,0.002,9.71,24.105,1.992
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,2,1,42.875,415.501,13.504,0.003,26.102,30.34,4.076
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,2,2,42.875,421.69,13.008,0.003,14.947,27.998,2.351
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,2,4,42.875,421.311,12.693,0.003,8.118,27.335,1.983
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,2,8,42.875,421.201,12.956,0.002,7.609,27.187,2.346
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,2,16,42.875,424.99,10.756,0.002,8.239,25.286,2.132
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,2,32,42.875,423.698,10.818,0.002,10.246,28.691,2.361
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,4,1,42.875,416.151,13.645,0.003,13.943,27.515,3.883
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,4,2,42.875,422.564,12.962,0.003,8.038,25.008,2.337
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,4,4,42.875,425.072,10.252,0.002,7.08,25.279,2.033
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,4,8,42.875,424.965,10.761,0.002,7.869,25.261,2.053
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,4,16,42.875,423.868,10.809,0.003,8.836,25.007,2.31
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,4,32,42.875,424.899,10.221,0.002,9.601,28.583,1.917
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,8,1,42.875,410.166,13.661,0.003,7.781,26.032,3.48
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,8,2,42.875,421.015,12.789,0.002,7.539,25.282,2.346
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,8,4,42.875,425.521,10.255,0.002,7.487,25.414,2.037
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,8,8,42.875,425.491,10.484,0.002,8.116,25.185,1.986
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,8,16,42.875,423.638,10.791,0.002,8.726,24.983,2.034
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,8,32,42.875,423.298,10.853,0.002,9.293,24.583,2.044
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,16,1,42.875,422.942,10.806,0.002,7.466,25.177,2.116
AMD Firepro W9100,Array3dAverage,THREE_D,224,1,16,2,42.875,425.429,10.511,0.003,7.553,25.792,1.976
