device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,1,1,1,27,145.847,32.961,0.004,8576.69,8.84,2.681
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,2,1,1,27,197.43,27.936,0.002,4290.03,8.882,1.018
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,4,1,1,27,199.583,29.402,0.002,2146.88,8.969,1.002
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,8,1,1,27,196.94,28.879,0.003,1075.38,7.707,0.736
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,16,1,1,27,196.863,28.036,0.003,541.753,8.9,0.573
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,32,1,1,27,198.745,28.075,0.003,283.947,8.9,0.604
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,64,1,1,27,198.604,27.959,0.002,184.124,8.738,0.597
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,128,1,1,27,198.72,28.711,0.002,182.04,8.966,0.601
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,256,1,1,27,199.054,28.441,0.003,179.115,7.502,0.565
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,1,1,1,27,143.72,18.458,0.004,8576.78,6.843,2.276
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,2,1,1,27,166.036,16.975,0.001,4290.09,7.965,0.15
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,4,1,1,27,146.065,16.868,0.002,2146.71,7.969,0.183
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,8,1,1,27,152.704,13.681,0.002,1075.54,7.959,0.171
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,16,1,1,27,169.978,16.726,0.002,541.462,7.981,0.08
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,32,1,1,27,145.746,13.461,0.002,284.052,7.98,0.079
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,64,1,1,27,145.174,16.695,0.002,184.211,7.967,0.078
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,128,1,1,27,142.497,16.69,0.002,182.077,7.958,0.075
AMD Firepro W9100,Convolution,ONE_D,2709,2709,64,64,256,1,1,27,143.667,16.722,0.002,179.318,7.974,0.082
