device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,1,1,1,36,291.235,8.846,0.003,127331,30.038,3.422
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,1,2,1,36,351.188,9.571,0.006,65030.3,28.299,2.997
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,1,4,1,36,368.247,7.688,0.003,34617.4,26.796,4.958
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,1,8,1,36,386.694,8.63,0.004,20008.9,28.052,4.895
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,1,16,1,36,385.166,9.866,0.004,13584.5,31.442,4.915
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,1,32,1,36,380.573,11.396,0.005,12094.7,26.321,5.07
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,1,64,1,36,388.072,11.344,0.021,24181.9,25.034,5.056
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,1,128,1,36,382.999,9.717,0.003,31146.3,26.033,5.103
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,1,256,1,36,392.009,10.954,0.005,34500,31.804,4.935
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,2,1,1,36,381.063,11.391,0.004,65122.4,27.105,5.041
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,2,2,1,36,364.591,10.702,0.005,34518.6,28.05,4.808
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,2,4,1,36,375.033,9.646,0.005,19963.5,28.068,4.95
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,2,8,1,36,383.589,10.321,0.006,13446.8,26.354,4.931
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,2,16,1,36,382.206,10.551,0.005,10743.2,27.422,4.855
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,2,32,1,36,382.657,10.449,0.006,11561.1,28.513,2.993
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,2,64,1,36,385.796,11.351,0.005,14841.4,28.533,4.862
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,2,128,1,36,383.862,10.599,0.006,18678.6,26.318,4.786
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,4,1,1,36,386.561,10.069,0.006,34453.7,26.129,4.948
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,4,2,1,36,379.64,8.312,0.004,19958.7,26.401,4.704
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,4,4,1,36,386.422,10.693,0.006,13427.9,28.052,4.93
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,4,8,1,36,383.578,8.641,0.004,10568.3,30.321,4.914
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,4,16,1,36,380.413,10.193,0.006,10217.6,29.01,4.805
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,4,32,1,36,384.116,11.294,0.006,10276.5,31.053,4.877
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,4,64,1,36,382.463,8.58,0.004,11522.8,26.922,5.035
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,8,1,1,36,382.326,9.897,0.003,20110.4,25.838,4.913
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,8,2,1,36,374.842,11.046,0.006,13524.3,28.57,4.944
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,8,4,1,36,384.111,11.501,0.006,10586.6,30.508,4.964
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,8,8,1,36,381.065,11.587,0.005,9823.66,30.171,4.916
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,8,16,1,36,380.659,10.983,0.022,9406.17,28.666,4.893
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,8,32,1,36,379.501,10.91,0.004,9506.14,28.226,4.866
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,16,1,1,36,379.852,10.879,0.004,13430.7,26.639,4.904
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,16,2,1,36,382.602,8.667,0.004,10263,28.293,4.638
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,16,4,1,36,381.472,11.179,0.006,9415.8,27.555,4.933
AMD Firepro W9100,FloydWarshall,TWO_D,3072,3072,16,8,1,36,384.974,8.94,0.004,9061.49,28.161,4.549
