device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,1,1,1,37,394.481,25.775,0.006,10588.8,33.716,8.272
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,1,2,1,37,463.993,24.341,0.005,5506.99,34.807,4.884
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,1,4,1,37,458.526,35.935,0.005,2750.94,32.832,6.076
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,1,8,1,37,472.661,32.777,0.005,2226.19,32.595,6.072
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,1,16,1,37,462.046,32.193,0.005,1169.74,27.163,6.048
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,1,32,1,37,474.999,24.16,0.004,2196.35,32.081,6.072
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,1,64,1,37,466.834,30.18,0.005,2035.45,32.034,6.088
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,1,128,1,37,456.213,31.896,0.005,3764.81,31.497,6.087
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,1,256,1,37,450.488,32.586,0.005,5091.27,27.394,6.107
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,2,1,1,37,463.832,23.751,0.005,5436.1,24.875,5.412
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,2,2,1,37,433.212,24.379,0.006,2757.35,27.053,6.092
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,2,4,1,37,455.41,24.472,0.005,1385.07,26.67,6.053
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,2,8,1,37,465.603,23.77,0.005,786.245,22.274,5.708
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,2,16,1,37,395.248,19.742,0.005,1131.05,26.676,6.077
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,2,32,1,37,465.81,23.848,0.004,760.952,23.074,5.881
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,2,64,1,37,394.68,23.555,0.005,443.867,23.357,5.786
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,2,128,1,37,394.321,24.426,0.004,1518.83,25.807,6.037
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,4,1,1,37,455.644,24.161,0.004,2870,25.844,5.474
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,4,2,1,37,457.247,19.074,0.004,1460.75,25.892,6.083
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,4,4,1,37,463.985,23.78,0.004,730.867,24.039,5.866
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,4,8,1,37,394.922,24.308,0.005,523.364,22.502,5.791
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,4,16,1,37,394.6,24.325,0.004,505.801,21.1,5.171
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,4,32,1,37,394.88,24.369,0.004,562.828,21.957,5.648
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,4,64,1,37,394.663,23.827,0.004,527.618,20.546,5.211
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,8,1,1,37,402.373,24.54,0.005,1580.81,29.708,6.127
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,8,2,1,37,486.194,23.962,0.005,776.089,23.15,5.331
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,8,4,1,37,394.434,24.342,0.004,402.562,22.643,5.687
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,8,8,1,37,399.232,24.24,0.004,256.319,23.206,5.764
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,8,16,1,37,394.975,24.237,0.004,261.362,24.109,5.88
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,8,32,1,37,394.579,24.037,0.005,271.311,23.598,5.907
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,16,1,1,37,400.687,20.338,0.005,996.909,26.571,4.902
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,16,2,1,37,412.945,23.604,0.005,507.755,24.475,4.211
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,16,4,1,37,393.701,24.369,0.004,247.927,26.103,4.97
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,16,8,1,37,394.107,23.625,0.005,224.772,27.075,4.978
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,16,16,1,37,397.458,23.633,0.005,183.818,25.745,4.978
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,32,1,1,37,394.155,23.579,0.004,699.298,27.5,4.996
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,32,2,1,37,395.237,23.721,0.005,334.125,25.055,4.486
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,32,4,1,37,393.701,23.77,0.005,328.957,21.873,4.974
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,32,8,1,37,396.804,22.921,0.005,203.544,26.298,4.988
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,64,1,1,37,393.917,23.593,0.005,506.971,27.375,4.972
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,64,2,1,37,395.974,23.507,0.005,479.036,23.449,4.187
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,64,4,1,37,393.874,20.401,0.005,282.297,25.614,5
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,128,1,1,37,393.895,23.557,0.005,521.524,22.494,4.977
AMD Firepro W9100,MatrixMultiplication,TWO_D,3156,3156,3156,128,2,1,37,396.878,23.661,0.005,313.575,25.343,5.005
