device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,1,1,1,7,40.451,4.205,0.004,9.829,2.179,0.048
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,1,2,1,7,43.997,3.919,0.002,5.299,2.033,0.038
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,1,4,1,7,40.61,3.993,0.002,2.934,2.274,0.039
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,1,8,1,7,40.522,3.472,0.002,1.701,2.279,0.038
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,1,16,1,7,41.132,3.74,0.002,1.042,2.248,0.036
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,1,32,1,7,42.156,3.554,0.003,0.782,1.717,0.04
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,1,64,1,7,42.818,3.157,0.001,0.743,2.272,0.038
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,1,128,1,7,43.307,3.941,0.003,0.889,2.292,0.036
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,1,256,1,7,43.755,3.326,0.003,0.758,2.283,0.037
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,2,1,1,7,43.311,3.473,0.003,5.292,2.25,0.04
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,2,2,1,7,41.295,3.996,0.003,2.918,2.281,0.037
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,2,4,1,7,40.978,3.851,0.002,1.705,2.258,0.036
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,2,8,1,7,41.255,3.72,0.002,1.072,2.245,0.037
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,2,16,1,7,42.209,3.56,0.003,0.734,1.708,0.037
AMD Firepro W9100,MatrixTranspose,TWO_D,1448,1448,2,32,1,7,42.337,3.952,0.003,0.484,2.273,0.036
