device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,1,1,41.99,936.183,0.087,0.003,3842.96,0.012,16.321
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,2,1,41.99,986.108,0.086,0.003,1968.78,0.009,13.724
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,4,1,41.99,933.342,0.086,0.003,1219.91,0.01,13.808
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,8,1,41.99,933.391,0.089,0.002,844.331,0.005,13.86
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,16,1,41.99,933.35,0.091,0.003,597.048,0.006,17.936
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,32,1,41.99,932.533,0.089,0.003,491.555,0.006,13.666
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,64,1,41.99,932.211,0.086,0.003,449.336,0.006,18.385
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,128,1,41.99,935.127,0.087,0.003,445.169,0.006,17.411
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,256,1,41.99,940.86,0.087,0.002,434.893,0.005,18.352
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,2,1,1,41.99,932.447,0.085,0.003,1966.91,0.007,13.76
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,2,2,1,41.99,933.591,0.091,0.002,1249.36,0.007,15.105
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,2,4,1,41.99,934.187,0.062,0.003,822.955,0.01,13.861
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,2,8,1,41.99,935.198,0.087,0.002,605.474,0.01,19.82
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,2,16,1,41.99,941.396,0.084,0.002,489.109,0.006,13.808
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,2,32,1,41.99,934.628,0.086,0.003,447.235,0.011,18.607
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,2,64,1,41.99,936.771,0.056,0.003,431.913,0.006,15.857
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,2,128,1,41.99,933.864,0.054,0.003,440.315,0.005,15.015
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,4,1,1,41.99,933.888,0.057,0.003,1239.58,0.006,13.872
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,4,2,1,41.99,934.759,0.087,0.002,832.775,0.006,13.906
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,4,4,1,41.99,935.115,0.089,0.002,609.133,0.006,14.23
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,4,8,1,41.99,938.401,0.081,0.003,495.784,0.005,13.861
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,4,16,1,41.99,935.34,0.088,0.003,446.027,0.007,19.691
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,4,32,1,41.99,936.963,0.057,0.003,445.295,0.007,19.27
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,4,64,1,41.99,935.277,0.063,0.003,435.175,0.006,13.976
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,8,1,1,41.99,933.837,0.055,0.002,807.297,0.006,13.767
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,8,2,1,41.99,933.42,0.054,0.003,591.985,0.006,13.855
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,8,4,1,41.99,932.705,0.054,0.004,493.532,0.006,13.973
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,8,8,1,41.99,939.122,0.056,0.002,433.313,0.006,13.875
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,8,16,1,41.99,934.08,0.055,0.004,437.192,0.007,14.025
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,8,32,1,41.99,934.101,0.055,0.003,441.483,0.011,22.697
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,16,1,1,41.99,934.245,0.088,0.002,620.785,0.01,13.843
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,16,2,1,41.99,934.316,0.086,0.003,490.616,0.005,13.833
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,16,4,1,41.99,935.23,0.088,0.002,446.226,0.009,25.215
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,16,8,1,41.99,935.356,0.089,0.003,447.556,0.008,23.671
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,16,16,1,41.99,935.812,0.087,0.002,434.533,0.007,23.485
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,32,1,1,41.99,940.927,0.089,0.002,497.017,0.006,13.839
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,32,2,1,41.99,935.231,0.085,0.003,446.839,0.011,18.136
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,32,4,1,41.99,934.682,0.087,0.003,445.411,0.006,18.277
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,32,8,1,41.99,933.735,0.087,0.003,447.522,0.007,26.325
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,64,1,1,41.99,936.44,0.092,0.003,449.477,0.01,18.171
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,64,2,1,41.99,943.713,0.058,0.003,435.378,0.005,13.73
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,64,4,1,41.99,932.505,0.054,0.003,428.004,0.006,13.734
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,128,1,1,41.99,933.378,0.055,0.003,438.946,0.006,13.727
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,128,2,1,41.99,932.928,0.074,0.002,437.648,0.006,13.775
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,256,1,1,41.99,932.919,0.055,0.002,433.153,0.005,13.768
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,1,1,41.99,936.434,0.1,0.003,3793.38,0.012,16.346
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,2,1,41.99,965.089,0.088,0.002,1963.04,0.006,13.875
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,4,1,41.99,936.292,0.085,0.003,1244.86,0.011,13.693
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,8,1,41.99,936.091,0.085,0.003,834.989,0.007,13.803
AMD Firepro W9100,MonteCarloAsian,TWO_D,1173,2346,4,1,16,1,41.99,934.55,0.084,0.003,626.952,0.005,13.746
