device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,1,1,1,28,160.561,26.251,0.003,2.09399e+06,0.002,4.728
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,2,1,1,28,198.909,22.822,0.005,1.04673e+06,0.002,2.476
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,4,1,1,28,187.857,25.858,0.004,523242,0.002,2.481
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,8,1,1,28,188.513,25.099,0.004,261625,0.002,2.475
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,16,1,1,28,184.118,23.144,0.004,130843,0.002,2.479
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,32,1,1,28,180.692,22.868,0.004,65461.3,0.001,2.423
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,64,1,1,28,200.776,37.13,0.004,36511.9,0.001,2.433
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,128,1,1,28,182.813,35.036,0.004,37197.7,0,2.422
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,256,1,1,28,208.609,32.5,0.004,37429.5,0.001,2.43
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,1,1,1,28,157.844,49.88,0.003,2.09385e+06,0.001,4.456
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,2,1,1,28,209.763,20.121,0.003,1.04681e+06,0,2.379
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,4,1,1,28,213.073,23.199,0.003,523244,0.001,2.394
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,8,1,1,28,191.139,22.329,0.003,261632,0,2.354
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,16,1,1,28,216.926,25.504,0.004,130841,0.001,2.392
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,32,1,1,28,214.101,25.185,0.004,67213.9,0.001,2.385
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,64,1,1,28,188.854,36.738,0.003,38084.1,0.001,2.397
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,128,1,1,28,195.429,39.461,0.02,38834.9,0,2.373
AMD Firepro W9100,NBody,ONE_D,1.83501e+06,0.005,1,256,1,1,28,213.668,40.85,0.003,39323.6,0.001,2.491
