device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,1,1,1,256,282.564,127.712,0.003,52.059,213.966,28.487
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,2,1,1,256,284.66,130.714,0.005,35.169,211.966,23.497
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,4,1,1,256,282.863,129.88,0.004,18.263,214.681,20.53
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,8,1,1,256,283.068,130.288,0.003,13.08,213.007,28.531
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,16,1,1,256,285.141,125.282,0.003,10.939,221.057,20.544
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,32,1,1,256,283.674,128.766,0.002,9.716,216.642,20.554
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,64,1,1,256,283.031,130.093,0.003,9.462,215.688,28.501
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,128,1,1,256,284.891,126.369,0.005,16.934,214.292,23.43
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,256,1,1,256,280.907,129.561,0.002,16.431,214.317,23.462
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,1,1,1,256,289.046,130.078,0.004,54.767,212.569,16.121
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,2,1,1,256,284.823,128.372,0.004,35.562,214.769,23.635
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,4,1,1,256,281.832,128.554,0.003,18.186,217.601,28.851
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,8,1,1,256,284.469,129.808,0.003,13.098,218.836,19.825
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,16,1,1,256,282.032,130.511,0.004,18.667,219.084,28.836
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,32,1,1,256,281.73,128.367,0.002,9.841,216.996,20.81
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,64,1,1,256,282.554,128.921,0.003,9.488,216.726,28.823
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,128,1,1,256,285.255,129.716,0.003,16.789,210.264,21.266
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,256,1,1,256,282.657,129.123,0.005,16.664,215.098,19.948
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,1,1,1,256,282.448,128.547,0.004,54.53,216.314,21.109
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,2,1,1,256,287.242,130.722,0.004,35.202,211.97,23.535
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,4,1,1,256,282.642,128.243,0.003,17.883,216.755,28.518
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,8,1,1,256,285.723,129.665,0.004,20.585,215.436,28.546
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,16,1,1,256,285.599,129.958,0.003,10.791,216.136,28.583
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,32,1,1,256,285.159,129.19,0.003,9.73,216.435,28.558
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,64,1,1,256,286.019,129.305,0.003,9.38,216.685,28.547
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,128,1,1,256,285.364,130.983,0.003,9.206,215.963,27.203
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,256,1,1,256,282.441,130.016,0.003,16.654,217.523,21.135
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,1,1,1,256,282.615,129.257,0.004,47.502,215.307,28.468
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,2,1,1,256,285.713,129.841,0.003,27.773,213.806,28.564
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,4,1,1,256,289.749,130.792,0.003,18.196,217.367,28.433
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,8,1,1,256,285.4,129.373,0.003,13.561,218.797,28.489
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,16,1,1,256,282.3,132.207,0.002,11.175,213.157,28.485
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,32,1,1,256,284.673,127.681,0.003,9.925,216.19,28.482
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,64,1,1,256,285.57,129.878,0.003,9.564,219.127,28.5
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,128,1,1,256,283.737,129.117,0.002,9.289,220.17,28.567
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,256,1,1,256,290.898,130.169,0.004,16.704,222.759,23.569
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,1,1,1,256,282.505,130.653,0.003,47.447,215.384,28.461
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,2,1,1,256,285.202,130.234,0.003,27.846,217.379,28.485
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,4,1,1,256,285.626,129.823,0.002,18.15,213.73,28.483
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,8,1,1,256,282.358,129.18,0.003,13.243,219.913,28.433
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,16,1,1,256,286.361,131.159,0.002,10.877,215.35,28.484
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,32,1,1,256,284.729,129.594,0.002,9.863,217.187,28.489
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,64,1,1,256,285.049,129.906,0.003,9.555,216.912,28.511
AMD Firepro W9100,Oxxxxx,ONE_D,8.38861e+06,128,1,1,256,285.069,130.176,0.003,9.309,216.173,28.489
