device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,1,1,1,320,1653.06,91.43,0.005,388.529,182.228,22.132
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,2,1,1,320,1657.18,90.811,0.003,189.961,180.044,28.396
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,4,1,1,320,1653.73,90.702,0.004,99.277,182.182,28.496
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,8,1,1,320,1657.01,89.561,0.004,53.542,177.302,28.469
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,16,1,1,320,1653.51,91.561,0.004,30.717,176.622,26.901
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,32,1,1,320,1654.77,91.58,0.004,19.053,178.476,26.915
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,64,1,1,320,1653.41,90.046,0.004,12.939,178.583,26.879
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,128,1,1,320,1653.31,90.723,0.003,16.485,183.787,15.212
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,256,1,1,320,1653.2,90.818,0.003,10.592,184.935,26.891
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,1,1,1,320,1652.75,92.992,0.003,372.29,178.55,28.432
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,2,1,1,320,1656.86,88.734,0.003,190.122,178.441,28.524
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,4,1,1,320,1655.15,90.936,0.003,99.186,178.352,28.441
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,8,1,1,320,1660.23,91.971,0.003,53.479,181.532,21.5
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,16,1,1,320,1658.06,88.86,0.002,30.395,180.338,28.497
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,32,1,1,320,1657.45,89.324,0.002,19.076,180.011,28.551
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,64,1,1,320,1660.86,90.975,0.003,12.912,183.368,21.433
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,128,1,1,320,1656.79,88.757,0.002,10.285,181.912,28.499
AMD Firepro W9100,SquareArray,ONE_D,8.38861e+07,256,1,1,320,1653.11,91.131,0.002,10.583,185.624,28.457
