device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,1,1,1,200,1343.13,74.526,0.002,12.105,0.046,5.199
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,2,1,1,200,1342.1,55.372,0.002,6.293,0.045,5.204
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,4,1,1,200,1343.55,55.538,0.002,3.391,0.048,5.206
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,8,1,1,200,1347.02,54.449,0.003,1.996,0.045,5.214
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,16,1,1,200,1345.57,56.64,0.003,1.247,0.044,5.134
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,32,1,1,200,1345.06,56.448,0.004,1.007,0.042,8.999
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,64,1,1,200,1346.2,55.538,0.002,0.626,0.043,5.184
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,128,1,1,200,1346.41,58.588,0.004,0.597,0.028,8.959
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,256,1,1,200,1342.91,57.583,0.002,0.591,0.024,5.163
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,1,1,1,200,1343.94,60.372,0.003,12.073,0.051,5.167
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,2,1,1,200,1345.02,54.788,0.002,6.222,0.049,5.134
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,4,1,1,200,1342.47,56.478,0.002,3.391,0.09,8.713
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,8,1,1,200,1342.88,57.452,0.002,1.972,0.042,5.188
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,16,1,1,200,1344.76,56.716,0.002,1.317,0.043,9.072
AMD Firepro W9100,Uux3a,ONE_D,2.62144e+06,32,1,1,200,1348.42,55.19,0.003,0.892,0.044,5.225
