device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,1,4,28.7229,263.585,15.276,0.003,40.995,13.483,1.151
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,2,4,28.7229,262.345,17.038,0.004,67.031,14.234,1.169
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,4,1,28.7229,283.113,17.02,0.003,35.602,14.197,1.32
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,4,2,28.7229,287.113,19.077,0.003,69.85,14.24,1.174
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,4,4,28.7229,287.609,18.299,0.003,48.033,15.145,1.167
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,1,4,28.7229,261.937,13.94,0.004,64.228,14.357,1.034
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,2,4,28.7229,263.111,15.557,0.003,70.751,14.467,1.113
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,4,1,28.7229,282.448,15.844,0.003,23.295,14.653,1.289
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,4,2,28.7229,287.561,19.519,0.003,65.169,14.11,1.14
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,4,4,28.7229,287.119,15.963,0.004,34.597,14.43,1.135
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,1,1,28.7229,280.08,14.128,0.003,41.712,13.709,1.271
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,1,2,28.7229,287.211,14.059,0.003,39.416,14.356,1.16
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,1,4,28.7229,287.683,14.218,0.004,55.039,13.91,1.063
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,2,1,28.7229,286.808,14.173,0.003,60.254,15.037,1.275
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,2,2,28.7229,287.22,14.182,0.003,77.009,13.96,1.09
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,2,4,28.7229,291.468,17.4,0.003,70.923,13.727,1.122
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,4,1,28.7229,292.057,19.959,0.004,67.88,14.218,1.268
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,4,2,28.7229,286.986,19.143,0.003,65.717,14.313,1.148
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,4,4,4,28.7229,287.155,15.488,0.003,60.021,14.516,1.094
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,1,4,28.7229,288.793,19.768,0.003,33.672,14.425,1.081
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,2,4,28.7229,288.239,19.19,0.002,24.889,13.633,0.362
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,4,1,28.7229,284.729,19.66,0.003,39.611,13.907,1.242
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,4,2,28.7229,287.758,14.861,0.002,28.084,14.32,1.105
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,1,4,4,28.7229,287.741,15.305,0.002,41.731,14.584,1.076
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,1,4,28.7229,288.444,14.934,0.003,23.841,12.816,1.042
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,2,4,28.7229,289.041,15.226,0.003,47.364,13.845,1.017
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,4,1,28.7229,285.106,16.266,0.003,55.46,13.892,1.32
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Array3dAverage,THREE_D,196,2,4,2,28.7229,289.41,18.172,0.003,40.959,14.192,1.049
