device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,1,1,1,2,17.948,1.098,0.001,71.121,0.713,0.147
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,2,1,1,2,13.27,0.635,0,49.957,0.707,0.091
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,4,1,1,2,13.132,0.612,0.001,29.902,0.754,0.159
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,8,1,1,2,13.671,0.716,0.001,16.655,0.762,0.079
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,16,1,1,2,13.112,0.693,0,14.441,0.745,0.074
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,32,1,1,2,13.306,0.589,0,7.426,0.728,0.095
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,64,1,1,2,15.791,0.574,0,5.488,0.718,0.113
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,128,1,1,2,13.251,0.538,0.001,4.579,1.184,0.093
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,256,1,1,2,14.754,1.098,0.001,6.46,1.217,0.088
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,512,1,1,2,18.664,1.063,0.001,5.14,0.725,0.103
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,1024,1,1,2,17.739,0.943,0.001,6.343,0.761,0.073
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,1,1,1,2,17.304,1.682,0.001,82.589,1.339,0.13
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,2,1,1,2,13.548,1.044,0,39.074,1.235,0.113
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,4,1,1,2,13.714,0.964,0.001,29.397,1.277,0.188
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,8,1,1,2,18.663,1.372,0.001,14.563,1.274,0.112
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,16,1,1,2,13.876,1.227,0.001,7.814,1.253,0.11
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,32,1,1,2,14.633,1.214,0.001,8.832,1.629,0.12
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,64,1,1,2,20.887,1.634,0.001,5.504,1.258,0.116
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,128,1,1,2,17.62,1.307,0,5.149,1.636,0.081
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,256,1,1,2,14.567,1.567,0.002,6.673,1.214,0.145
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,512,1,1,2,21.695,1.391,0,5.96,1.238,0.118
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,1024,1,1,2,15.836,1.626,0,7.22,1.566,0.112
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,1,1,1,2,13.951,0.673,0.002,67.814,0.731,0.089
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,2,1,1,2,10.323,0.572,0.001,56.827,0.671,0.113
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,4,1,1,2,15.885,0.548,0.001,21.496,0.691,0.064
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,8,1,1,2,11.278,0.609,0.001,14.352,0.73,0.063
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,16,1,1,2,11.238,0.62,0.001,7.325,1.203,0.087
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,32,1,1,2,13.186,1.082,0.002,7.401,1.214,0.082
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,64,1,1,2,18.241,0.651,0,7.667,1.239,0.129
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,128,1,1,2,17.979,1.061,0.001,4.871,0.681,0.088
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,256,1,1,2,11.871,0.478,0.001,4.622,0.669,0.062
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,512,1,1,2,11.307,0.486,0.001,5.654,1.203,0.084
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,1024,1,1,2,16.674,1.075,0.002,5.094,0.716,0.064
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,1,1,1,2,15.3,0.618,0.001,79.992,0.864,0.183
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,2,1,1,2,14.219,0.627,0.001,39.053,0.669,0.085
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,4,1,1,2,13.523,0.577,0.001,22.961,0.758,0.085
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,8,1,1,2,13.433,0.681,0.001,15.084,0.785,0.076
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,16,1,1,2,13.564,0.624,0.001,8.883,0.755,0.11
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,32,1,1,2,13.426,0.566,0,6.801,0.748,0.108
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,64,1,1,2,14.097,0.596,0,5.493,1.241,0.079
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,128,1,1,2,16.354,1.052,0.002,5.983,0.894,0.074
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,256,1,1,2,16.827,1.048,0.002,4.201,0.74,0.074
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,512,1,1,2,13.398,0.57,0,4.341,0.756,0.072
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,524288,1024,1,1,2,13.513,0.574,0.001,6.238,0.748,0.099
