device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,1,1,1,20,111.972,13.18,0.002,486682,0.001,0.787
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,2,1,1,20,112.187,13.471,0.002,486674,0.001,0.257
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,4,1,1,20,124.642,19.62,0.016,486718,0.002,0.237
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,8,1,1,20,112.177,12.605,0.001,486669,0.002,0.228
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,16,1,1,20,114.143,16.512,0.001,486744,0.001,0.252
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,32,1,1,20,113.035,19.717,0.018,486738,0.001,0.216
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,64,1,1,20,112.241,12.627,0.002,487015,0.001,0.208
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,128,1,1,20,116.756,19.092,0.003,486995,0.001,0.224
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,256,1,1,20,116.39,18.611,0.002,488158,0.001,1.627
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,512,1,1,20,115.214,19.602,0.017,488378,0.002,0.806
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,1024,1,1,20,112.662,19.668,0.017,493047,0.002,0.223
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,1,1,1,20,156.675,34.267,0.002,486636,0.001,1.195
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,2,1,1,20,117.127,23.976,0.002,486605,0.001,1.178
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,4,1,1,20,115.093,21.169,0.002,486659,0.002,1.205
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,8,1,1,20,118.638,29.83,0.003,486594,0.001,1.357
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,16,1,1,20,114.763,21.358,0.002,486677,0,1.344
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,32,1,1,20,115.359,21.939,0.002,486670,0.001,1.18
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,64,1,1,20,114.719,27.878,0.002,486887,0,2.071
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,128,1,1,20,124.09,18.805,0.002,486901,0.002,1.309
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,256,1,1,20,114.219,30.825,0.003,488103,0.001,2.009
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,512,1,1,20,120.254,25.796,0.002,488117,0.002,2.27
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,1.31072e+06,0.005,1,1024,1,1,20,124.086,26.619,0.002,493242,0.001,2.391
