device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,1,1,1,96,108.445,66.835,0.004,39.468,116.14,1.781
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,2,1,1,96,140.461,76.973,0.004,29.669,112.964,1.714
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,4,1,1,96,140.528,76.115,0.004,21.89,114.52,1.72
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,8,1,1,96,140.721,78.155,0.003,27.585,113.405,1.705
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,16,1,1,96,140.311,78.93,0.004,33.489,117.26,1.786
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,32,1,1,96,140.478,78.296,0.003,9.022,139.287,2.572
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,64,1,1,96,143.825,84.181,0.003,8.233,120.014,2.923
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,128,1,1,96,142.904,78.272,0.003,7.281,118.824,2.648
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,256,1,1,96,142.89,78.279,0.003,6.865,118.669,2.813
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,512,1,1,96,143.128,78.596,0.004,6.912,118.209,2.504
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,1024,1,1,96,143.882,78.533,0.003,13.534,117.386,1.743
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,1,1,1,96,111.408,67.021,0.003,46.611,117.004,1.789
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,2,1,1,96,140.743,79.896,0.004,23.646,118.068,1.809
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,4,1,1,96,140.456,82.102,0.004,16.711,126.376,1.809
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,8,1,1,96,144.5,81.333,0.004,12.217,118.475,1.862
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,16,1,1,96,140.643,79.77,0.004,9.795,117.423,2.621
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,32,1,1,96,142.87,76.811,0.003,38.184,115.024,1.809
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,64,1,1,96,140.476,79.752,0.004,37.59,118.328,1.842
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,128,1,1,96,140.492,78.513,0.004,7.564,119.356,2.98
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,256,1,1,96,142.036,78.419,0.004,6.688,118.629,2.66
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,512,1,1,96,142.837,78.555,0.003,6.964,119.184,2.992
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,1024,1,1,96,148.457,82.933,0.004,6.833,119.191,2.97
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,1,1,1,96,106.123,71.003,0.004,40.49,95.881,1.549
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,2,1,1,96,106.113,67.236,0.003,28.447,93.901,1.57
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,4,1,1,96,106.08,68.211,0.003,22.619,94.577,1.559
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,8,1,1,96,106.869,66.439,0.003,23.815,94.371,1.597
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,16,1,1,96,106.184,65.39,0.003,9.264,95.169,2.689
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,32,1,1,96,107.353,65.134,0.003,8.784,97.421,2.849
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,64,1,1,96,106.454,64.663,0.003,7.823,95.286,2.831
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,128,1,1,96,108.203,66.082,0.004,32.247,96.173,1.593
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,256,1,1,96,106.175,64.088,0.003,7.372,95.049,2.895
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,512,1,1,96,123.215,69.89,0.004,21.104,93.545,1.527
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,1024,1,1,96,106.211,67.09,0.004,21.011,94.117,1.514
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,1,1,1,96,109.774,71.365,0.003,39.122,97.158,1.725
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,2,1,1,96,106.639,69.592,0.004,22.905,96.725,1.674
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,4,1,1,96,110.421,69.4,0.002,22.905,93.771,1.663
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,8,1,1,96,106.228,65.175,0.004,21.177,92.969,1.671
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,16,1,1,96,106.153,66.862,0.003,25.513,93.839,1.624
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,32,1,1,96,106.144,64.696,0.003,28.592,95.903,1.606
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,64,1,1,96,108.673,66.348,0.003,9.652,97.003,1.64
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,128,1,1,96,106.158,66.159,0.004,22.678,95.827,1.597
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,256,1,1,96,108.124,68.77,0.003,25.513,95.176,1.671
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,512,1,1,96,107.161,70.027,0.003,33.301,94.616,1.667
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,1024,1,1,96,106.179,66.475,0.003,19.724,95.328,1.589
