device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,1,1,1,40,226.655,20.406,0.018,20.615,13.186,0.837
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,2,1,1,40,215.614,20.809,0.019,10.107,6.591,0.857
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,4,1,1,40,212.661,20.776,0.004,5.531,3.373,0.817
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,8,1,1,40,211.264,21.167,0.018,4.42,1.746,0.821
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,16,1,1,40,210.981,20.881,0.004,3.213,0.942,0.854
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,32,1,1,40,209.868,20.805,0.004,2.283,0.531,0.78
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,64,1,1,40,209.727,20.812,0.003,1.947,0.279,0.782
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,128,1,1,40,209.618,20.826,0.017,1.918,0.145,0.778
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,256,1,1,40,209.965,20.707,0.018,2.083,0.08,0.736
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,512,1,1,40,209.522,20.668,0.017,2.459,0.048,0.722
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,1024,1,1,40,209.435,20.762,0.018,2.755,0.034,0.762
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,1,1,1,40,214.496,20.235,0.005,20.332,13.16,0.515
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.62144e+06,2,1,1,40,215.502,20.794,0.004,10.06,6.607,0.505
