device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,6.81574e+06,1,1,1,26,139.17,18.312,0.002,75.472,12.318,0.748
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,6.81574e+06,2,1,1,26,129.903,27.022,0.003,43.155,13.183,0.809
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,6.81574e+06,4,1,1,26,129.784,24.887,0.002,34.424,11.992,0.807
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,6.81574e+06,8,1,1,26,131.664,15.726,0.003,34.508,12.872,0.821
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,6.81574e+06,16,1,1,26,132.078,17.945,0.003,32.213,11.892,0.823
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,6.81574e+06,32,1,1,26,131.64,15.539,0.002,29.825,12.322,0.845
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,6.81574e+06,64,1,1,26,131.658,15.332,0.002,14.983,11.98,0.756
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,6.81574e+06,128,1,1,26,131.644,18.095,0.002,12.262,11.174,0.807
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,6.81574e+06,256,1,1,26,131.199,16.593,0.003,17.083,11.719,0.827
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,6.81574e+06,512,1,1,26,131.777,17.737,0.003,16.414,12.287,0.874
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,6.81574e+06,1024,1,1,26,131.377,18.071,0.003,15.718,11.305,0.871
