device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,MatrixMultiplication,TWO_D,2896,2896,2896,1,1,1,31,333.171,22.77,0.009,387.59,14.661,0.636
GTX 780,MatrixMultiplication,TWO_D,2896,2896,2896,1,1,1,31,336.078,22.815,0.009,355.228,14.472,0.686
GTX 780,MatrixMultiplication,TWO_D,2896,2896,2896,1,1,1,31,334.856,22.795,0.01,387.576,14.688,0.671
GTX 780,MatrixMultiplication,TWO_D,2896,2896,2896,1,1,1,31,341.132,22.809,0.009,355.48,14.648,0.686
GTX 780,MatrixMultiplication,TWO_D,2896,2896,2896,1,1,1,31,333.717,22.784,0.01,385.833,14.683,0.674
GTX 780,MatrixMultiplication,TWO_D,2896,2896,2896,1,1,1,31,333.386,22.779,0.009,355.254,14.759,0.687
GTX 780,MatrixMultiplication,TWO_D,2896,2896,2896,1,1,1,31,333.424,22.918,0.01,378.397,14.622,0.678
GTX 780,MatrixMultiplication,TWO_D,2896,2896,2896,1,1,1,31,333.305,22.864,0.009,355.062,14.501,0.688
GTX 780,MatrixMultiplication,TWO_D,2896,2896,2896,1,1,1,31,333.889,22.643,0.009,378.48,14.935,0.721
GTX 780,MatrixMultiplication,TWO_D,2896,2896,2896,1,1,1,31,333.319,22.916,0.009,355.145,14.784,0.699
