device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Oxxxxx,ONE_D,3.67002e+06,1,1,1,112,125.155,56.524,0.009,1.628,82.449,0.999
GTX 780,Oxxxxx,ONE_D,3.67002e+06,1,1,1,112,125.527,96.34,0.011,1.625,87.517,1.141
GTX 780,Oxxxxx,ONE_D,3.67002e+06,1,1,1,112,124.43,96.416,0.011,1.621,87.509,1.122
GTX 780,Oxxxxx,ONE_D,3.67002e+06,1,1,1,112,124.876,57.035,0.009,1.622,82.863,1.048
GTX 780,Oxxxxx,ONE_D,3.67002e+06,1,1,1,112,124.555,56.385,0.009,1.616,83.27,1.046
GTX 780,Oxxxxx,ONE_D,3.67002e+06,1,1,1,112,124.449,56.469,0.009,1.62,82.602,1.038
GTX 780,Oxxxxx,ONE_D,3.67002e+06,1,1,1,112,124.587,56.522,0.009,1.623,82.661,1.038
GTX 780,Oxxxxx,ONE_D,3.67002e+06,1,1,1,112,124.834,56.623,0.009,1.62,82.856,1.042
GTX 780,Oxxxxx,ONE_D,3.67002e+06,1,1,1,112,124.511,56.561,0.009,1.622,82.922,1.043
GTX 780,Oxxxxx,ONE_D,3.67002e+06,1,1,1,112,124.429,56.576,0.009,1.623,82.564,1.047
