device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Uux3a,ONE_D,1.78258e+06,1,1,1,135,725.427,46.871,0.009,4.916,7.1,0.692
GTX 780,Uux3a,ONE_D,1.78258e+06,1,1,1,135,723.113,46.537,0.009,4.917,4.854,0.718
GTX 780,Uux3a,ONE_D,1.78258e+06,1,1,1,135,724.479,46.669,0.009,4.916,4.881,0.663
GTX 780,Uux3a,ONE_D,1.78258e+06,1,1,1,135,724.088,46.834,0.009,4.916,4.874,0.714
GTX 780,Uux3a,ONE_D,1.78258e+06,1,1,1,135,722.751,47.033,0.009,4.909,4.843,0.677
GTX 780,Uux3a,ONE_D,1.78258e+06,1,1,1,135,722.434,47.055,0.009,4.918,4.863,0.688
GTX 780,Uux3a,ONE_D,1.78258e+06,1,1,1,135,722.704,46.673,0.009,4.914,4.861,0.709
GTX 780,Uux3a,ONE_D,1.78258e+06,1,1,1,135,722.089,46.702,0.009,4.913,4.869,0.717
GTX 780,Uux3a,ONE_D,1.78258e+06,1,1,1,135,722.353,46.66,0.009,4.915,4.868,0.706
GTX 780,Uux3a,ONE_D,1.78258e+06,1,1,1,135,724.08,46.668,0.009,4.916,4.871,0.711
