device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,1,1,39,207.793,14.199,0.012,1.644,20.283,0.714
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,1,1,39,207.68,14.164,0.01,1.644,19.706,0.715
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,1,1,39,207.808,14.069,0.011,1.641,20.165,0.741
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,1,1,39,207.724,14.214,0.011,1.64,20.184,0.74
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,1,1,39,215.029,14.526,0.009,1.641,21.019,0.754
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,1,1,39,207.839,14.198,0.011,1.644,20.196,0.737
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,1,1,39,208.425,14.139,0.012,1.643,20.187,0.722
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,1,1,39,208.209,14.064,0.012,1.642,19.988,0.74
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,1,1,39,207.766,14.074,0.012,1.644,20.369,0.759
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,1,1,39,207.88,14.074,0.012,1.645,20.499,0.746
