device/C,kernel/C,workDimension/C,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.221,0.046,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0.001,0,0.222,0.064,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.209,0.066,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.212,0.069,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.234,0.07,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.3,0.06,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.217,0.082,0.001,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.219,0.079,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.214,0.06,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.213,0.098,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.232,0.063,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0.001,0,0.206,0.075,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.224,0.061,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.231,0.074,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0.001,0,0.213,0.061,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.023,0.061,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.427,0.063,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.233,0.066,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.224,0.062,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.231,0.06,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.214,0.065,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.218,0.068,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.218,0.063,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.202,0.049,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.233,0.06,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0.001,0,0.209,0.061,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.217,0.061,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.213,0.06,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0.001,0,0.209,0.06,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.209,0.065,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.23,0.059,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.211,0.066,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.215,0.06,0,0.001
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.214,0.062,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0.001,0,0.228,0.064,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.216,0.064,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.21,0.064,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.21,0.044,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.224,0.059,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.234,0.06,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.214,0.066,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.201,0.046,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0.001,0,0.377,0.061,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0.001,0,0.219,0.06,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.217,0.059,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.244,0.061,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.024,0.061,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.211,0.06,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.212,0.059,0.001,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0,0.2,0.043,0,0
Tesla K20Xm,NoMemory,ONE_D,1,1,1,40,0,0.001,0.232,0.062,0.001,0
