device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Oxxxxx,ONE_D,7.86432e+06,1,1,1,240,266.173,121.59,0.012,4.066,174.328,1.717
Tesla K20Xm,Oxxxxx,ONE_D,7.86432e+06,1,1,1,240,265.642,206.952,0.013,4.027,188.087,1.791
Tesla K20Xm,Oxxxxx,ONE_D,7.86432e+06,1,1,1,240,266.11,121.214,0.011,4.047,174.435,1.696
Tesla K20Xm,Oxxxxx,ONE_D,7.86432e+06,1,1,1,240,267.166,121.409,0.01,4.032,176.403,1.724
Tesla K20Xm,Oxxxxx,ONE_D,7.86432e+06,1,1,1,240,267.187,121.638,0.01,3.999,176.34,1.736
Tesla K20Xm,Oxxxxx,ONE_D,7.86432e+06,1,1,1,240,265.95,121.793,0.011,4.047,177.492,1.739
Tesla K20Xm,Oxxxxx,ONE_D,7.86432e+06,1,1,1,240,266.486,121.708,0.011,4.096,176.398,1.732
Tesla K20Xm,Oxxxxx,ONE_D,7.86432e+06,1,1,1,240,266.324,123.958,0.012,4.018,177.235,1.75
Tesla K20Xm,Oxxxxx,ONE_D,7.86432e+06,1,1,1,240,267.121,121.436,0.011,4.01,176.408,1.751
Tesla K20Xm,Oxxxxx,ONE_D,7.86432e+06,1,1,1,240,266.263,121.565,0.011,4.093,176.426,1.749
