device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,SquareArray,ONE_D,1.04858e+07,1,1,1,40,207.884,14.16,0.011,0.582,20.309,0.727
Tesla K20Xm,SquareArray,ONE_D,1.04858e+07,1,1,1,40,208.388,14.263,0.012,0.578,19.937,0.713
Tesla K20Xm,SquareArray,ONE_D,1.04858e+07,1,1,1,40,207.772,14.143,0.014,0.58,20.279,0.717
Tesla K20Xm,SquareArray,ONE_D,1.04858e+07,1,1,1,40,207.904,14.26,0.011,0.58,20.267,0.713
Tesla K20Xm,SquareArray,ONE_D,1.04858e+07,1,1,1,40,208.683,14.153,0.011,0.579,20.137,0.738
Tesla K20Xm,SquareArray,ONE_D,1.04858e+07,1,1,1,40,208.089,14.209,0.011,0.579,20.562,0.725
Tesla K20Xm,SquareArray,ONE_D,1.04858e+07,1,1,1,40,208.396,14.138,0.011,0.576,20.182,0.725
Tesla K20Xm,SquareArray,ONE_D,1.04858e+07,1,1,1,40,208.221,15.936,0.009,0.581,21.887,0.736
Tesla K20Xm,SquareArray,ONE_D,1.04858e+07,1,1,1,40,207.772,14.093,0.012,0.578,20.394,0.747
Tesla K20Xm,SquareArray,ONE_D,1.04858e+07,1,1,1,40,207.961,15.19,0.009,0.577,22.24,0.739
