device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Uux3a,ONE_D,1.78258e+06,1,1,1,135,880.413,46.826,0.011,0.969,7.196,0.92
Tesla K20Xm,Uux3a,ONE_D,1.78258e+06,1,1,1,135,723.995,47.235,0.011,0.967,4.943,0.8
Tesla K20Xm,Uux3a,ONE_D,1.78258e+06,1,1,1,135,723.832,46.832,0.011,0.965,4.961,0.857
Tesla K20Xm,Uux3a,ONE_D,1.78258e+06,1,1,1,135,724.735,46.729,0.01,0.968,4.943,0.863
Tesla K20Xm,Uux3a,ONE_D,1.78258e+06,1,1,1,135,723.365,47.224,0.011,0.968,5.048,0.829
Tesla K20Xm,Uux3a,ONE_D,1.78258e+06,1,1,1,135,724.234,46.821,0.011,0.965,5.094,0.854
Tesla K20Xm,Uux3a,ONE_D,1.78258e+06,1,1,1,135,724.241,46.746,0.011,0.968,4.938,0.86
Tesla K20Xm,Uux3a,ONE_D,1.78258e+06,1,1,1,135,723.128,46.75,0.011,0.97,5.053,0.839
Tesla K20Xm,Uux3a,ONE_D,1.78258e+06,1,1,1,135,722.929,47.035,0.01,0.965,5.27,0.905
Tesla K20Xm,Uux3a,ONE_D,1.78258e+06,1,1,1,135,723.682,46.908,0.011,0.969,4.96,0.891
