device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,1,1,1,4,27.649,8.124,0.006,420.111,1.104,1.349
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,2,1,1,4,20.239,5.482,0.002,384.827,1.17,1.161
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,4,1,1,4,20.119,5.132,0.003,389.003,2.095,1.05
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,8,1,1,4,20.056,5.067,0.003,390.557,1.067,0.911
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,16,1,1,4,20.068,4.976,0.013,383.201,1.09,0.904
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,32,1,1,4,20.085,5.916,0.016,382.589,2.044,0.813
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,64,1,1,4,20.137,8.217,0.003,380.36,2.114,0.928
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,128,1,1,4,20.144,7.761,0.017,384.712,2.091,0.776
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,256,1,1,4,20.035,6.083,0.003,385.117,2.137,1.046
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,512,1,1,4,20.084,5.198,0.002,389.712,1.125,0.973
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,1024,1,1,4,20.064,5.43,0.016,397.739,1.171,1.16
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,2048,1,1,4,20.108,5.157,0.003,399.382,1.161,1.076
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,4096,1,1,4,20.115,7.571,0.026,418.639,2.121,0.874
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,8192,1,1,4,20.077,8.335,0.003,461.303,2.114,1.003
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,1,1,1,4,32.469,7.043,0.005,423.067,2.091,1.242
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,2,1,1,4,20.298,5.482,0.003,392.141,2.031,0.947
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,4,1,1,4,20.112,5.472,0.003,388.163,2.036,1.061
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,8,1,1,4,20.409,5.584,0.003,386.84,2.022,0.998
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,16,1,1,4,20.049,5.338,0.003,382.944,1.092,0.936
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,32,1,1,4,20.125,9.721,0.002,381.992,1.084,0.971
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,64,1,1,4,20.108,5.914,0.002,382.682,2.073,0.815
