device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2896,2896,1,1,1,31,168.999,16.065,0.007,14.302,19.981,2.599
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2896,2896,1,2,1,31,218.929,19.302,0.009,8.966,18.746,2.665
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2896,2896,1,4,1,31,217.935,19.32,0.009,7.468,19.761,2.559
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2896,2896,1,8,1,31,219.388,19.224,0.008,7.593,19.077,2.671
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2896,2896,1,16,1,31,218.952,19.245,0.009,7.991,19.131,2.767
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2896,2896,1,32,1,31,218.02,19.406,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2896,2896,1,64,1,31,219.254,19.216,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2896,2896,1,128,1,31,219.438,19.202,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2896,2896,1,256,1,31,210.115,15.843,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2896,2896,1,512,1,31,165.005,15.931,0.008,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2896,2896,1,1024,1,31,165.096,15.796,0.007,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,MatrixTranspose,TWO_D,2896,2896,1,2048,1,31,165.813,15.881,0.008,-1,-1,-1
