device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,1,1,1,832,4329.22,417.11,0.008,180.028,409.993,8.499
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,2,1,1,832,4310.84,418.69,0.009,95.259,426.004,8.333
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,4,1,1,832,4310.9,420.845,0.008,70.471,450.489,7.501
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,8,1,1,832,4310.7,417.208,0.009,69.542,479.468,8.653
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,16,1,1,832,4315.02,423.969,0.009,67.012,465.078,7.696
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,32,1,1,832,4313.03,419.985,0.009,70.992,488.911,8.611
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,64,1,1,832,4325.28,426.699,0.009,72.197,494.73,8.512
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,128,1,1,832,4315,424.096,0.009,69.389,472.073,7.418
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,256,1,1,832,4311,414.204,0.009,71.337,469.876,7.463
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,512,1,1,832,4312.5,418.388,0.008,69.98,459.261,7.527
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,1024,1,1,832,4313.01,419.019,0.008,69.235,463.057,7.482
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,2048,1,1,832,4312.21,417.889,0.008,71.843,464.916,7.597
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,4096,1,1,832,4312.13,417.829,0.009,70.2,410.899,8.485
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Memory,ONE_D,2.18104e+08,8192,1,1,832,4313.16,425.511,0.009,70.581,482.627,8.97
