device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,262144,0.005,1,1,1,1,4,34.488,5.816,0.004,17894,0.003,1.882
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,262144,0.005,1,2,1,1,4,22.543,5.613,0.003,17880.5,0.001,1.979
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,262144,0.005,1,4,1,1,4,22.536,5.614,0.003,17886,0.002,1.978
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,262144,0.005,1,8,1,1,4,22.515,5.685,0.003,4361.53,0.001,2.051
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,262144,0.005,1,16,1,1,4,22.48,5.486,0.002,4362.13,0.001,2.08
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,262144,0.005,1,32,1,1,4,22.615,5.504,0.002,4375.75,0.001,1.911
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,262144,0.005,1,64,1,1,4,22.524,5.631,0.003,4398.87,0.001,1.906
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,262144,0.005,1,128,1,1,4,22.475,5.379,0.003,4433.96,0.001,1.895
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,262144,0.005,1,256,1,1,4,22.605,5.605,0.002,4519.83,0,1.907
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,262144,0.005,1,512,1,1,4,22.529,5.399,0.003,4695.91,0.002,1.879
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,262144,0.005,1,1024,1,1,4,22.543,5.472,0.002,5381.83,0.001,1.958
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,262144,0.005,1,2048,1,1,4,22.531,5.678,0.003,4914.36,0.001,1.991
