device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,1,1,1,96,140.689,135.759,0.011,5.774,120.083,3.568
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,2,1,1,96,140.705,135.67,0.011,3.835,115.967,3.54
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,4,1,1,96,140.728,135.307,0.011,4.999,113.81,3.875
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,8,1,1,96,140.881,135.753,0.011,6.89,119.44,3.649
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,16,1,1,96,140.845,135.408,0.01,6.236,110.534,3.928
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,32,1,1,96,140.691,135.849,0.011,5.706,110.592,3.913
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,64,1,1,96,140.604,135.984,0.01,6.287,115.84,3.695
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,128,1,1,96,140.792,135.339,0.011,6.746,119.555,3.651
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,256,1,1,96,140.954,135.336,0.011,4.918,120.024,3.587
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,512,1,1,96,140.783,135.25,0.011,5.815,117.105,3.579
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Oxxxxx,ONE_D,3.14573e+06,1024,1,1,96,140.728,135.532,0.011,4.641,113.873,3.891
