device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,1,1,1,64,330.845,67.045,0.012,16.071,36.446,1.897
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,2,1,1,64,331.625,65.702,0.008,9.845,40.248,1.972
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,4,1,1,64,331.406,65.79,0.008,7.223,39.989,2.028
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,8,1,1,64,331.689,65.57,0.009,7.961,35.535,1.812
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,16,1,1,64,331.368,65.331,0.008,7.923,38.526,2.03
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,32,1,1,64,333.071,66.129,0.008,9.43,33.403,6.14
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,64,1,1,64,336.913,66.641,0.009,9.709,34.729,1.965
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,128,1,1,64,331.836,65.553,0.01,10.174,36.931,2.109
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,256,1,1,64,331.601,66.659,0.008,10.321,37.262,2.095
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,512,1,1,64,332.004,66.734,0.008,11.106,37.277,2.177
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,1024,1,1,64,331.402,66.202,0.009,10.247,37.862,2.079
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,2048,1,1,64,331.318,66.927,0.008,8.901,38.288,2.094
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,4096,1,1,64,332.1,65.902,0.008,9.444,34.664,1.89
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,8192,1,1,64,331.113,66.677,0.008,8.458,40.274,2.153
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,1,1,1,64,335.659,66.061,0.01,16.336,35.876,2.6
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,2,1,1,64,330.457,66.365,0.021,10.182,34.367,2.671
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,4,1,1,64,330.455,66.165,0.009,9.015,33.431,2.679
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,8,1,1,64,331.107,66.187,0.008,8.605,34.515,2.583
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,16,1,1,64,330.373,66.402,0.009,8.796,39.559,2.746
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,32,1,1,64,330.557,66.073,0.009,9.165,33.397,2.602
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,64,1,1,64,330.392,66.268,0.007,13.718,32.104,2.605
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,128,1,1,64,331.463,65.968,0.009,9.501,38.093,2.658
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,256,1,1,64,330.564,66.176,0.009,9.396,32.428,2.627
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,512,1,1,64,330.47,66.173,0.009,9.056,32.997,2.635
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,1024,1,1,64,330.544,66.197,0.008,9.199,37.891,2.668
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,2048,1,1,64,330.603,66.457,0.007,9.596,32.954,2.659
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,4096,1,1,64,331.219,65.995,0.009,9.623,34.424,2.592
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,SquareArray,ONE_D,1.67772e+07,8192,1,1,64,330.435,66.093,0.009,10.29,33.81,2.631
