device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,1,1,1,8,110.942,10.074,0.007,4.875,5.714,1.739
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,2,1,1,8,107.74,9.484,0.006,3.689,3.861,1.683
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,4,1,1,8,107.6,9.511,0.005,4.169,6.107,1.707
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,8,1,1,8,107.702,9.605,0.005,3.559,5.563,1.706
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,16,1,1,8,107.857,9.484,0.006,3.381,3.059,1.666
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,32,1,1,8,107.722,9.564,0.005,3.612,6.102,1.667
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,64,1,1,8,108.15,9.358,0.005,3.682,4.573,1.698
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,128,1,1,8,107.747,9.478,0.005,3.687,5.07,1.683
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,256,1,1,8,107.67,9.874,0.005,3.497,6.04,1.721
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,512,1,1,8,107.854,9.625,0.005,3.392,3.036,1.723
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,1024,1,1,8,107.7,9.645,0.005,3.721,4.842,1.727
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,2048,1,1,8,107.472,9.859,0.005,5.622,6.211,1.671
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,4096,1,1,8,108.008,9.549,0.005,5.933,5.858,1.74
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,8192,1,1,8,108.457,9.694,0.005,3.34,4.78,1.757
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,1,1,1,8,110.399,9.897,0.005,3.152,3.47,1.673
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,2,1,1,8,107.737,9.746,0.005,3.539,3.452,1.696
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,4,1,1,8,108.254,9.73,0.004,3.097,3.484,1.824
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,8,1,1,8,107.95,9.429,0.004,3.242,3.553,1.769
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,16,1,1,8,107.534,9.88,0.005,5.346,6.397,1.846
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,32,1,1,8,107.938,9.72,0.005,3.065,6.346,1.832
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,64,1,1,8,107.666,9.794,0.004,3.391,6.395,1.768
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,128,1,1,8,107.815,9.536,0.005,2.628,3.65,1.852
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,VectorAdd,ONE_D,2.09715e+06,256,1,1,8,108.159,9.835,0.005,2.933,5.668,1.833
