device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,1,8,98.593,8.657,0.004,22.46,6.213,1.726
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,2,8,109.672,10.255,0.007,17.619,3.122,1.527
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,4,8,95.193,9.73,0.006,18.522,3.908,1.78
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,8,8,97.799,10.212,0.007,19.004,22.164,1.346
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,16,8,93.19,9.783,0.007,19.92,2.696,1.453
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,32,8,93.953,9.959,0.006,19.976,3.137,1.595
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,64,8,94.592,9.825,0.006,19.966,8.598,1.451
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,128,8,92.834,9.594,0.005,20.179,3.386,1.595
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,256,8,98.723,9.604,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,512,8,93.826,7.983,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,1024,8,93.046,7.764,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,2048,8,92.388,7.695,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,4096,8,93,8.198,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,1,8192,8,92.768,7.935,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,2,1,8,92.55,8.487,0.004,15.541,3.65,1.476
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,2,2,8,92.814,10.394,0.005,14.042,3.169,1.676
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,2,4,8,101.052,9.812,0.006,16.433,2.34,1.592
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,2,8,8,95.447,10.172,0.006,17.145,3.65,1.543
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,2,16,8,96.175,10.198,0.005,17.368,3.312,1.313
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,2,32,8,96.683,10.101,0.005,17.184,5.152,1.274
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,2,64,8,92.803,9.836,0.005,16.82,4.242,1.675
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,2,128,8,97.46,9.762,0.007,17.448,4.62,1.76
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,2,256,8,98.419,9.764,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,2,512,8,94.289,8.409,0.005,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,2,1024,8,93.519,8.663,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,2,2048,8,93.485,8.147,0.006,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,2,4096,8,92.829,7.902,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,4,1,8,93.158,7.965,0.005,13.177,5.828,1.672
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,4,2,8,97.538,10.049,0.006,13.056,4.722,1.696
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,4,4,8,107.665,7.639,0.005,15.844,4.043,1.399
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,4,8,8,108.738,10.256,0.007,15.999,4.592,1.412
Intel Xeon Phi coprocessor x100 family,Array3dAverage,THREE_D,128,1,4,16,8,97.017,9.918,0.006,16.507,4.185,1.472
