device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,1,1,37,327.415,23.616,0.007,104622,44.672,2.269
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,2,1,37,333.093,25.485,0.01,60068.6,36.825,2.394
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,4,1,37,324.846,21.183,0.009,38137.2,32.995,2.171
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,8,1,37,329.343,24.062,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,16,1,37,327.054,21.817,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,32,1,37,328.137,21.676,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,64,1,37,319.977,18.458,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,128,1,37,253.376,19.051,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,256,1,37,258.439,18.358,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,512,1,37,257.674,19.029,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,1024,1,37,249.511,19.187,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,2048,1,37,258.296,19.092,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,4096,1,37,256.169,19.14,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,1,8192,1,37,250.463,19.018,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,2,1,1,37,250.865,19.221,0.01,55850.3,31.999,1.873
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,2,2,1,37,328.778,23.962,0.011,33795.1,32.125,2.084
Intel Xeon Phi coprocessor x100 family,FloydWarshall,TWO_D,3156,3156,2,4,1,37,329.143,24.604,0.012,22755.6,27.998,2.543
