device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,1,1,31,219.385,8.293,0.01,47.73,33.092,2.019
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,2,1,31,219.188,10.254,0.01,34.755,34.15,1.994
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,4,1,31,224.426,10.497,0.01,29.95,21.694,3.026
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,8,1,31,221.858,12.505,0.009,26.807,19.892,2.178
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,16,1,31,218.922,10.432,0.011,24.983,12.387,1.971
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,32,1,31,226.318,12.237,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,64,1,31,182.948,9.458,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,128,1,31,169.752,10.054,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,256,1,31,170.228,9.173,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,512,1,31,169.648,9.744,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,1024,1,31,169.795,9.964,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,2048,1,31,171.418,10.904,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,4096,1,31,173.73,10.006,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,1,8192,1,31,171.185,10.581,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,2,1,1,31,169.97,10.212,0.007,33.549,5.059,2.356
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,2,2,1,31,219.299,10.495,0.01,28.748,5.038,1.646
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,2,4,1,31,215.822,9.16,0.008,23.544,5.07,1.581
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,2,8,1,31,167.863,9.272,0.008,21.968,4.94,1.507
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,2,16,1,31,164.208,8.961,0.008,21.736,5.138,2.009
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,2,32,1,31,169.218,9.639,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,2,64,1,31,162.299,7.174,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,2,128,1,31,162.782,7.262,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,2,256,1,31,162.974,7.222,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,2,512,1,31,162.29,7.417,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,2,1024,1,31,162.219,7.273,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,2,2048,1,31,162.657,7.204,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,2,4096,1,31,162.453,7.189,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,4,1,1,31,162.366,7.276,0.008,26.047,5.047,1.962
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,4,2,1,31,171.664,9.619,0.008,22.856,5.032,1.618
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,4,4,1,31,171.032,9.71,0.009,21.693,5.055,1.819
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,4,8,1,31,171.637,9.362,0.009,20.491,4.939,1.998
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,4,16,1,31,166.311,9.233,0.009,20.576,5.049,1.43
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,4,32,1,31,165.022,9.274,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,4,64,1,31,162.156,7.178,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,4,128,1,31,162.459,6.967,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,4,256,1,31,162.687,7.22,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,4,512,1,31,162.594,7.177,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,4,1024,1,31,162.606,7.162,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,4,2048,1,31,162.478,7.257,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,8,1,1,31,162.291,7.271,0.008,22.977,5.06,1.512
Intel Xeon Phi coprocessor x100 family,MatrixTranspose,TWO_D,2896,2896,8,2,1,31,167.108,9.024,0.01,21.487,12.521,1.655
