device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,1,1,1,208,236.892,176.592,0.011,207.581,134.143,7.48
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,2,1,1,208,287.917,174.719,0.009,163.961,116.299,6.352
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,4,1,1,208,230.768,174.044,0.007,156.561,117.681,5.978
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,8,1,1,208,240.778,175.518,0.012,155.907,114.909,8.626
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,16,1,1,208,229.941,175.403,0.01,145.695,119.35,5.905
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,32,1,1,208,230.746,174.092,0.008,154.023,115.509,6.564
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,64,1,1,208,231.694,174.238,0.011,145.812,113.637,6.643
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,128,1,1,208,238.021,177.163,0.008,159.225,118.246,6.574
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,256,1,1,208,238.099,177.167,0.009,158.231,118.892,6.68
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,512,1,1,208,236.409,174.273,0.009,148.314,114.76,8.205
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,1024,1,1,208,230.001,175.27,0.007,155.702,117.764,6.184
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,2048,1,1,208,230.322,175.357,0.011,158.347,113.769,8.257
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,4096,1,1,208,231.095,175.404,0.025,159.861,116.286,6.234
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,8192,1,1,208,230.014,175.172,0.008,158.611,118.022,6.613
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,1,1,1,208,229.692,173.996,0.008,174.675,115.168,6.671
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,2,1,1,208,231.067,174.043,0.012,162.891,115.183,6.372
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,4,1,1,208,230.991,175.379,0.009,162.236,112.952,6.27
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,8,1,1,208,237.936,176.898,0.007,152.028,115.507,6.463
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,16,1,1,208,231.018,174.026,0.008,148.943,114.178,6.266
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,32,1,1,208,232.292,174.722,0.008,156.103,117.105,6.186
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,64,1,1,208,238.072,176.839,0.007,143.841,115.678,6.47
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,128,1,1,208,238.364,177.002,0.007,160.791,118.976,6.339
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,256,1,1,208,238.625,174.235,0.007,161.867,112.795,6.428
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,512,1,1,208,237.957,178.089,0.008,154.413,115.209,6.221
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,1024,1,1,208,232.563,173.975,0.008,149.694,117.862,6.404
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,2048,1,1,208,231.948,174.128,0.008,156.303,114.852,6.273
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,4096,1,1,208,237.983,177.344,0.008,161.639,116.838,6.277
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,8192,1,1,208,231.419,173.96,0.007,160.547,116.555,6.64
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,1,1,1,208,231.699,176.576,0.01,177.251,135.614,7.985
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,2,1,1,208,298.183,175.135,0.011,163.946,115.924,6.522
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,4,1,1,208,237.863,176.587,0.008,155.966,113.893,6.199
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,8,1,1,208,238.24,176.549,0.01,156.677,114.926,6.417
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,16,1,1,208,231.358,174.174,0.009,151.775,113.892,6.224
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,32,1,1,208,237.772,176.724,0.008,156.522,115.147,6.373
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,64,1,1,208,245.512,179.526,0.009,159.347,113.146,6.645
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,128,1,1,208,231.949,173.735,0.012,152.958,112.77,6.488
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,256,1,1,208,230.881,173.689,0.008,150.683,112.847,6.411
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,512,1,1,208,237.876,176.628,0.008,157.773,114.909,6.65
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,1024,1,1,208,233.824,173.654,0.012,146.333,115.785,6.518
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,2048,1,1,208,230.987,173.889,0.008,152.674,112.737,6.653
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,4096,1,1,208,237.82,176.742,0.008,160.894,115.126,6.643
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,8192,1,1,208,231.519,174.11,0.008,165.531,112.871,7.378
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,1,1,1,208,231.884,173.962,0.008,175.913,114.38,6.62
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,2,1,1,208,236.933,173.751,0.01,160.616,118.043,6.324
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,4,1,1,208,237.747,176.717,0.007,156.636,115.486,6.326
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,8,1,1,208,230.625,173.74,0.008,154.646,112.732,6.375
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,16,1,1,208,231.461,173.944,0.007,152.506,116.473,6.198
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,32,1,1,208,230.871,173.858,0.008,154.217,115.805,6.179
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,64,1,1,208,230.669,173.735,0.009,142.635,113.134,6.59
Intel Xeon Phi coprocessor x100 family,Oxxxxx,ONE_D,6.81574e+06,128,1,1,208,231.184,173.841,0.007,147.554,112.9,6.382
