device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,1,1,1,263,1424.06,229.599,0.006,139.038,15.102,4.452
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,2,1,1,263,1502.56,189.502,0.009,115.372,8.814,3.15
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,4,1,1,263,1413.8,186.186,0.014,113.915,12.581,4.045
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,8,1,1,263,1417.09,186.032,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,16,1,1,263,1416.11,177.217,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,32,1,1,263,1412.93,183.249,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,64,1,1,263,1412.5,177.353,0.015,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,128,1,1,263,1412.39,183.291,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,256,1,1,263,1412.27,177.18,0.013,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,512,1,1,263,1412.21,182.45,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,1024,1,1,263,1412.87,177.085,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,2048,1,1,263,1414.16,182.77,0.01,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,4096,1,1,263,1418.98,177.217,0.014,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Uux3a,ONE_D,3.4603e+06,8192,1,1,263,1411.76,182.316,0.012,-1,-1,-1
