device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Array3dAverage,THREE_D,176,1,1,16,20.7969,184.595,6.891,0.001,8.241,6.567,0.165
GTX 780,Array3dAverage,THREE_D,176,1,2,16,20.7969,184.068,7.011,0.001,7.569,6.568,0.172
GTX 780,Array3dAverage,THREE_D,176,1,4,16,20.7969,184.279,6.882,0.001,7.458,6.561,0.17
GTX 780,Array3dAverage,THREE_D,176,1,8,16,20.7969,183.985,6.89,0.002,7.448,6.612,0.166
GTX 780,Array3dAverage,THREE_D,176,1,16,1,20.7969,184.18,6.888,0.001,8.136,6.613,0.164
GTX 780,Array3dAverage,THREE_D,176,1,16,2,20.7969,183.757,6.932,0.002,7.563,6.795,0.165
GTX 780,Array3dAverage,THREE_D,176,1,16,4,20.7969,183.782,6.897,0.002,7.441,6.788,0.164
GTX 780,Array3dAverage,THREE_D,176,1,16,8,20.7969,183.711,6.889,0.001,7.44,6.796,0.171
GTX 780,Array3dAverage,THREE_D,176,1,16,16,20.7969,184.186,6.9,0.001,7.483,6.765,0.172
GTX 780,Array3dAverage,THREE_D,176,2,1,16,20.7969,184.099,6.955,0.001,4.273,6.565,0.167
GTX 780,Array3dAverage,THREE_D,176,2,2,16,20.7969,184.298,6.888,0,3.872,6.588,0.165
GTX 780,Array3dAverage,THREE_D,176,2,4,16,20.7969,184.447,6.885,0.001,3.877,6.606,0.165
GTX 780,Array3dAverage,THREE_D,176,2,8,16,20.7969,184.435,6.945,0.001,3.906,6.576,0.171
GTX 780,Array3dAverage,THREE_D,176,2,16,1,20.7969,201.555,6.896,0.001,4.218,6.854,0.164
GTX 780,Array3dAverage,THREE_D,176,2,16,2,20.7969,183.449,6.892,0.002,3.86,6.82,0.164
GTX 780,Array3dAverage,THREE_D,176,2,16,4,20.7969,183.178,6.894,0.001,3.868,6.817,0.165
GTX 780,Array3dAverage,THREE_D,176,2,16,8,20.7969,183.359,6.905,0.001,3.904,6.82,0.164
GTX 780,Array3dAverage,THREE_D,176,2,16,16,20.7969,184.542,6.943,0.001,3.92,6.808,0.173
GTX 780,Array3dAverage,THREE_D,176,4,1,16,20.7969,184,6.885,0.002,2.095,6.606,0.164
GTX 780,Array3dAverage,THREE_D,176,4,2,16,20.7969,184.133,6.916,0,2.111,6.556,0.165
GTX 780,Array3dAverage,THREE_D,176,4,4,16,20.7969,186.19,6.902,0,2.129,6.575,0.169
GTX 780,Array3dAverage,THREE_D,176,4,8,16,20.7969,184.187,6.865,0.001,2.173,6.566,0.171
GTX 780,Array3dAverage,THREE_D,176,4,16,1,20.7969,190.695,6.873,0.002,2.052,6.782,0.165
GTX 780,Array3dAverage,THREE_D,176,4,16,2,20.7969,185.019,6.893,0.001,2.109,6.786,0.166
