device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Computation,ONE_D,903,428,1,1,1,512,0.007,0,0.001,0.033,0,0.006
GTX 780,Computation,ONE_D,903,428,2,1,1,512,0.004,0,0.001,0.016,0,0.006
GTX 780,Computation,ONE_D,903,428,4,1,1,512,0.003,0,0.001,0.014,0,0.006
GTX 780,Computation,ONE_D,903,428,8,1,1,512,0.003,0.001,0,0.013,0,0.006
GTX 780,Computation,ONE_D,903,428,16,1,1,512,0.003,0,0,0.014,0,0.006
GTX 780,Computation,ONE_D,903,428,32,1,1,512,0.003,0,0,0.014,0,0.005
GTX 780,Computation,ONE_D,903,428,64,1,1,512,0.003,0,0,0.014,0,0.005
GTX 780,Computation,ONE_D,903,428,128,1,1,512,0.002,0,0,0.013,0,0.006
GTX 780,Computation,ONE_D,903,428,256,1,1,512,0.003,0,0,0.013,0.001,0.004
GTX 780,Computation,ONE_D,903,428,512,1,1,512,0.003,0,0.001,0.013,0.001,0.004
GTX 780,Computation,ONE_D,903,428,1024,1,1,512,0.003,0,0.001,-1,-1,-1
