device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,FluidSimulation,ONE_D,3,724,724,3,1,1,1,4,65.178,13.61,0.004,232.074,0.001,1.436
GTX 780,FluidSimulation,ONE_D,3,724,724,3,2,1,1,4,60.928,13.684,0.002,180.674,0.001,2.232
GTX 780,FluidSimulation,ONE_D,3,724,724,3,4,1,1,4,63.933,13.7,0.004,155.148,0.001,2.014
GTX 780,FluidSimulation,ONE_D,3,724,724,3,8,1,1,4,63.853,13.665,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,16,1,1,4,63.855,13.732,0.004,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,32,1,1,4,64.112,13.754,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,64,1,1,4,64.033,13.672,0.004,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,128,1,1,4,64.952,13.649,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,256,1,1,4,64.829,13.652,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,512,1,1,4,64.006,13.643,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,1024,1,1,4,63.982,13.709,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,1,1,1,4,62.819,13.532,0.004,230.766,0.001,2.002
GTX 780,FluidSimulation,ONE_D,3,724,724,3,2,1,1,4,63.723,13.564,0.003,179.768,0.001,1.936
GTX 780,FluidSimulation,ONE_D,3,724,724,3,4,1,1,4,64.027,13.625,0.003,154.146,0.001,1.947
GTX 780,FluidSimulation,ONE_D,3,724,724,3,8,1,1,4,63.885,13.524,0.004,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,16,1,1,4,63.864,13.55,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,32,1,1,4,63.869,13.522,0.004,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,64,1,1,4,64.449,13.622,0.002,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,128,1,1,4,63.714,13.558,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,256,1,1,4,63.865,13.57,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,512,1,1,4,64.694,13.563,0.004,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,1024,1,1,4,63.651,13.557,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,1,1,1,4,62.619,13.555,0.004,230.852,0.001,2.081
GTX 780,FluidSimulation,ONE_D,3,724,724,3,2,1,1,4,64.6,13.47,0.003,179.23,0.001,1.987
GTX 780,FluidSimulation,ONE_D,3,724,724,3,4,1,1,4,63.688,13.505,0.003,153.81,0.001,1.941
GTX 780,FluidSimulation,ONE_D,3,724,724,3,8,1,1,4,63.666,13.448,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,16,1,1,4,64,13.49,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,32,1,1,4,63.779,13.521,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,64,1,1,4,63.91,13.517,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,128,1,1,4,63.771,13.51,0.004,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,256,1,1,4,63.603,13.518,0.004,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,512,1,1,4,63.919,13.631,0.004,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,1024,1,1,4,63.831,13.47,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,1,1,1,4,63.015,13.603,0.004,231.983,0.002,2.019
GTX 780,FluidSimulation,ONE_D,3,724,724,3,2,1,1,4,64.543,13.7,0.002,181.204,0.001,1.983
GTX 780,FluidSimulation,ONE_D,3,724,724,3,4,1,1,4,64.081,13.64,0.002,155.616,0.002,1.943
GTX 780,FluidSimulation,ONE_D,3,724,724,3,8,1,1,4,64.184,13.586,0.002,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,16,1,1,4,64.188,13.63,0.004,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,32,1,1,4,64.111,13.594,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,64,1,1,4,64.202,13.665,0.002,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,128,1,1,4,65.173,13.599,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,256,1,1,4,64.247,13.564,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,512,1,1,4,64.071,13.618,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,1024,1,1,4,64.215,13.61,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,1,1,1,4,62.858,13.539,0.003,230.093,0.002,2.069
GTX 780,FluidSimulation,ONE_D,3,724,724,3,2,1,1,4,64.344,13.512,0.003,179.628,0.001,1.978
GTX 780,FluidSimulation,ONE_D,3,724,724,3,4,1,1,4,64.245,13.528,0.004,155.049,0.001,1.915
