device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,LUDecomposition,TWO_D,724,724,1,1,1,3,10.017,3.449,0.003,303.741,1.296,0.856
GTX 780,LUDecomposition,TWO_D,724,724,1,2,1,3,10.058,2.447,0.001,158.002,1.247,0.882
GTX 780,LUDecomposition,TWO_D,724,724,1,4,1,3,10.004,2.517,0,92.902,1.249,0.811
GTX 780,LUDecomposition,TWO_D,724,724,1,8,1,3,10.003,2.482,0,65.871,1.244,0.807
GTX 780,LUDecomposition,TWO_D,724,724,1,16,1,3,10.04,2.487,0.001,48.221,1.245,0.795
GTX 780,LUDecomposition,TWO_D,724,724,1,32,1,3,10.099,2.51,0,41.182,1.241,0.806
GTX 780,LUDecomposition,TWO_D,724,724,1,64,1,3,10.005,2.48,0.001,38.899,1.264,0.773
GTX 780,LUDecomposition,TWO_D,724,724,1,128,1,3,10.038,2.477,0,30.936,1.249,0.798
GTX 780,LUDecomposition,TWO_D,724,724,1,256,1,3,10.003,2.48,0.001,21.964,1.241,0.795
GTX 780,LUDecomposition,TWO_D,724,724,1,512,1,3,10.001,2.485,0,22.706,1.242,0.805
GTX 780,LUDecomposition,TWO_D,724,724,1,1024,1,3,10.005,2.566,0.001,25.147,1.249,0.737
GTX 780,LUDecomposition,TWO_D,724,724,2,1,1,3,10.001,2.487,0,158.01,1.244,0.809
GTX 780,LUDecomposition,TWO_D,724,724,2,2,1,3,10.059,2.646,0.001,93.081,1.236,0.807
GTX 780,LUDecomposition,TWO_D,724,724,2,4,1,3,10.002,2.478,0,65.912,1.245,0.808
GTX 780,LUDecomposition,TWO_D,724,724,2,8,1,3,10.004,2.482,0.001,48.415,1.25,0.799
GTX 780,LUDecomposition,TWO_D,724,724,2,16,1,3,10,2.482,0.001,41.467,1.245,0.805
GTX 780,LUDecomposition,TWO_D,724,724,2,32,1,3,10.004,2.488,0.001,38.858,1.251,0.791
GTX 780,LUDecomposition,TWO_D,724,724,2,64,1,3,10.205,2.475,0.001,31.269,1.252,0.801
GTX 780,LUDecomposition,TWO_D,724,724,2,128,1,3,10,2.489,0.001,21.913,1.243,0.743
GTX 780,LUDecomposition,TWO_D,724,724,2,256,1,3,10.039,2.479,0.001,22.716,1.246,0.807
GTX 780,LUDecomposition,TWO_D,724,724,2,512,1,3,10.002,2.49,0,25.052,1.242,0.742
GTX 780,LUDecomposition,TWO_D,724,724,4,1,1,3,10,2.536,0,93.118,1.253,0.801
GTX 780,LUDecomposition,TWO_D,724,724,4,2,1,3,10.004,2.495,0,65.913,1.239,0.827
GTX 780,LUDecomposition,TWO_D,724,724,4,4,1,3,10.142,2.494,0,48.41,1.3,0.826
GTX 780,LUDecomposition,TWO_D,724,724,4,8,1,3,10.169,2.557,0.001,41.384,1.245,0.798
GTX 780,LUDecomposition,TWO_D,724,724,4,16,1,3,10.004,2.472,0.001,38.941,1.248,0.81
GTX 780,LUDecomposition,TWO_D,724,724,4,32,1,3,10.002,2.482,0.001,31.09,1.252,0.74
GTX 780,LUDecomposition,TWO_D,724,724,4,64,1,3,10.009,2.478,0.001,22.015,1.245,0.793
GTX 780,LUDecomposition,TWO_D,724,724,4,128,1,3,10.125,2.476,0.001,22.704,1.247,0.805
GTX 780,LUDecomposition,TWO_D,724,724,4,256,1,3,10.04,2.503,0.001,25.747,1.356,0.795
GTX 780,LUDecomposition,TWO_D,724,724,8,1,1,3,10.798,2.674,0.001,65.773,1.259,0.807
GTX 780,LUDecomposition,TWO_D,724,724,8,2,1,3,10.005,2.482,0,48.31,1.241,0.807
GTX 780,LUDecomposition,TWO_D,724,724,8,4,1,3,10.003,2.486,0.001,41.48,1.249,0.753
GTX 780,LUDecomposition,TWO_D,724,724,8,8,1,3,10.039,2.482,0.001,38.839,1.244,0.806
GTX 780,LUDecomposition,TWO_D,724,724,8,16,1,3,10.041,2.491,0.001,31.14,1.247,0.746
GTX 780,LUDecomposition,TWO_D,724,724,8,32,1,3,10.04,2.49,0,22.031,1.248,0.789
GTX 780,LUDecomposition,TWO_D,724,724,8,64,1,3,10.037,2.485,0.001,22.526,1.241,0.804
GTX 780,LUDecomposition,TWO_D,724,724,8,128,1,3,9.997,2.502,0.001,25.356,1.246,0.792
GTX 780,LUDecomposition,TWO_D,724,724,16,1,1,3,10.04,2.485,0,48.095,1.246,0.806
GTX 780,LUDecomposition,TWO_D,724,724,16,2,1,3,10.002,2.474,0,41.578,1.261,0.796
GTX 780,LUDecomposition,TWO_D,724,724,16,4,1,3,10.041,2.486,0,38.735,1.248,0.795
GTX 780,LUDecomposition,TWO_D,724,724,16,8,1,3,10.041,2.485,0.001,31.249,1.29,0.789
GTX 780,LUDecomposition,TWO_D,724,724,16,16,1,3,10.037,2.48,0.001,21.955,1.251,0.797
GTX 780,LUDecomposition,TWO_D,724,724,16,32,1,3,10.004,2.476,0,22.711,1.247,0.744
GTX 780,LUDecomposition,TWO_D,724,724,16,64,1,3,10.043,2.483,0.001,25.292,1.245,0.803
GTX 780,LUDecomposition,TWO_D,724,724,32,1,1,3,10.007,2.488,0.001,41.479,1.249,0.753
GTX 780,LUDecomposition,TWO_D,724,724,32,2,1,3,10.041,2.481,0.001,38.914,1.242,0.801
GTX 780,LUDecomposition,TWO_D,724,724,32,4,1,3,10.041,2.485,0,31.129,1.243,0.742
GTX 780,LUDecomposition,TWO_D,724,724,32,8,1,3,10.045,2.492,0.001,21.991,1.241,0.794
GTX 780,LUDecomposition,TWO_D,724,724,32,16,1,3,10.081,2.481,0.001,22.666,1.237,0.803
GTX 780,LUDecomposition,TWO_D,724,724,32,32,1,3,10.008,2.479,0,25.255,1.249,0.797
GTX 780,LUDecomposition,TWO_D,724,724,64,1,1,3,10.04,2.505,0,38.933,1.251,0.801
GTX 780,LUDecomposition,TWO_D,724,724,64,2,1,3,10.001,2.48,0,31.257,1.247,0.793
GTX 780,LUDecomposition,TWO_D,724,724,64,4,1,3,10.004,2.53,0,21.98,1.25,0.806
GTX 780,LUDecomposition,TWO_D,724,724,64,8,1,3,10,2.59,0.001,22.599,1.254,0.745
