device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,8,8,1,576,5965.25,802.59,0.004,48345.8,302.834,4.643
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,8,16,1,576,5963.9,802.356,0.003,53462.1,302.945,4.619
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,8,32,1,576,5970.39,802.444,0.003,53862.1,302.725,4.648
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,8,64,1,576,5965.42,802.658,0.003,53017.7,302.791,4.629
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,8,128,1,576,5966.12,802.727,0.003,50819.3,302.521,4.645
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,16,8,1,576,5963.71,802.47,0.004,34119.4,303.167,4.587
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,16,16,1,576,5965.04,801.997,0.003,32779.7,302.975,4.595
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,16,32,1,576,5966.39,802.64,0.004,32333.7,303.292,4.559
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,16,64,1,576,5972.61,801.922,0.003,31383.4,302.752,4.567
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,32,8,1,576,5968.3,802.233,0.003,25329.1,302.796,4.614
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,32,16,1,576,5965.73,802.108,0.002,25492.8,303.243,4.753
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,32,32,1,576,5966.89,802.575,0.004,25438.2,303.693,4.55
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,64,8,1,576,5967.52,802.087,0.002,25463.8,302.712,4.617
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,64,16,1,576,5966.52,801.925,0.004,25409.1,303.052,4.618
GTX 780,MatrixMultiplication,TWO_D,12288,12288,12288,128,8,1,576,5966.33,802.865,0.003,25583,302.847,4.548
