device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,1,1,11,59.804,4.009,0.001,9.935,2.981,0.156
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,2,1,11,59.311,3.995,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,4,1,11,59.351,3.974,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,8,1,11,59.332,3.994,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,16,1,11,59.344,3.973,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,32,1,11,59.339,4.02,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,64,1,11,59.306,4.011,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,128,1,11,59.398,3.992,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,256,1,11,59.45,4.042,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,512,1,11,59.338,3.986,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,1024,1,11,59.301,4.02,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,2,1,1,11,59.446,4.019,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,2,2,1,11,59.477,4.018,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,2,4,1,11,59.333,4,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,2,8,1,11,59.422,3.988,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,2,16,1,11,59.319,3.983,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,2,32,1,11,59.271,3.975,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,2,64,1,11,59.451,4.022,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,2,128,1,11,59.341,3.979,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,2,256,1,11,59.392,4.002,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,2,512,1,11,59.449,3.973,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,4,1,1,11,59.707,4.102,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,4,2,1,11,59.655,4.037,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,4,4,1,11,59.652,3.987,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,4,8,1,11,59.342,3.99,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,4,16,1,11,59.331,4.018,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,4,32,1,11,59.461,4.019,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,4,64,1,11,59.457,3.991,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,4,128,1,11,59.283,4.026,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,4,256,1,11,59.409,3.989,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,8,1,1,11,59.342,3.984,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,8,2,1,11,59.396,3.99,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,8,4,1,11,59.536,3.978,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,8,8,1,11,59.346,3.988,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,8,16,1,11,59.357,3.982,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,8,32,1,11,59.429,3.993,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,8,64,1,11,59.345,3.971,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,8,128,1,11,59.561,3.98,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,16,1,1,11,59.381,3.992,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,16,2,1,11,59.435,3.999,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,16,4,1,11,59.43,4.013,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,16,8,1,11,59.42,3.981,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,16,16,1,11,59.455,3.98,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,16,32,1,11,59.316,4.037,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,16,64,1,11,59.389,3.991,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,32,1,1,11,59.332,3.978,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,32,2,1,11,59.297,3.979,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,32,4,1,11,59.499,4.002,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,32,8,1,11,59.345,4.01,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,32,16,1,11,59.308,3.989,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,32,32,1,11,59.389,4.002,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,64,1,1,11,60.056,4.059,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,64,2,1,11,59.921,3.979,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,64,4,1,11,59.357,3.982,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,64,8,1,11,59.457,3.978,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,64,16,1,11,59.423,3.982,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,128,1,1,11,59.379,4.011,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,128,2,1,11,59.463,3.981,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,128,4,1,11,59.298,4.011,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,128,8,1,11,59.345,3.981,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,256,1,1,11,59.344,4.026,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,256,2,1,11,59.316,4.023,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,256,4,1,11,59.374,3.986,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,512,1,1,11,59.39,3.976,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,512,2,1,11,59.351,3.979,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1024,1,1,11,59.354,4.021,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,1,1,11,59.92,4.071,0.002,9.947,3.04,0.158
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,2,1,11,59.845,4.039,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,4,1,11,59.663,3.988,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,8,1,11,59.295,4,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,16,1,11,59.539,3.987,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,32,1,11,59.504,4.001,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,64,1,11,59.459,3.981,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,128,1,11,59.46,3.991,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,256,1,11,59.603,3.994,0.001,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,512,1,11,59.306,3.987,0,-1,-1,-1
GTX 780,MatrixTranspose,TWO_D,1773,1773,1,1024,1,11,59.44,4.034,0.001,-1,-1,-1
