device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Oxxxxx,ONE_D,1.57286e+07,1,1,1,480,531.603,242.991,0.002,121.589,383.994,2.916
GTX 780,Oxxxxx,ONE_D,1.57286e+07,2,1,1,480,530.842,243.908,0.003,56.196,384.906,2.918
GTX 780,Oxxxxx,ONE_D,1.57286e+07,4,1,1,480,530.648,243.026,0.002,29.24,384.107,2.938
GTX 780,Oxxxxx,ONE_D,1.57286e+07,8,1,1,480,530.645,243.803,0.002,17.006,384.052,2.911
GTX 780,Oxxxxx,ONE_D,1.57286e+07,16,1,1,480,530.733,243.111,0.003,10.795,384.955,2.927
GTX 780,Oxxxxx,ONE_D,1.57286e+07,32,1,1,480,531.43,243.014,0.003,9.07,384.02,2.902
GTX 780,Oxxxxx,ONE_D,1.57286e+07,64,1,1,480,530.629,243.058,0.002,9.043,385.055,2.954
GTX 780,Oxxxxx,ONE_D,1.57286e+07,128,1,1,480,530.673,243.057,0.002,9.053,384.211,2.895
GTX 780,Oxxxxx,ONE_D,1.57286e+07,256,1,1,480,530.438,244.052,0.002,9.053,384.063,2.923
GTX 780,Oxxxxx,ONE_D,1.57286e+07,512,1,1,480,530.561,243.226,0.003,9.26,384.021,2.899
GTX 780,Oxxxxx,ONE_D,1.57286e+07,1024,1,1,480,531.544,243.214,0.003,10.693,384.221,2.892
GTX 780,Oxxxxx,ONE_D,1.57286e+07,1,1,1,480,530.427,243.273,0.002,121.499,384.103,2.905
GTX 780,Oxxxxx,ONE_D,1.57286e+07,2,1,1,480,531.506,243.169,0.002,58.163,384.028,2.951
GTX 780,Oxxxxx,ONE_D,1.57286e+07,4,1,1,480,530.527,243.305,0.002,30.219,385.219,2.987
GTX 780,Oxxxxx,ONE_D,1.57286e+07,8,1,1,480,530.967,243.02,0.002,17.003,384.031,2.936
GTX 780,Oxxxxx,ONE_D,1.57286e+07,16,1,1,480,530.467,243.726,0.002,10.786,384.634,2.924
GTX 780,Oxxxxx,ONE_D,1.57286e+07,32,1,1,480,530.458,243.225,0.002,9.067,384.094,2.922
GTX 780,Oxxxxx,ONE_D,1.57286e+07,64,1,1,480,531.438,243.474,0.002,9.044,383.809,2.906
GTX 780,Oxxxxx,ONE_D,1.57286e+07,128,1,1,480,530.592,243.117,0.002,9.055,383.984,2.918
GTX 780,Oxxxxx,ONE_D,1.57286e+07,256,1,1,480,531.686,243.256,0.002,9.055,384.137,2.952
GTX 780,Oxxxxx,ONE_D,1.57286e+07,512,1,1,480,530.493,243.775,0.002,9.273,385.172,2.947
GTX 780,Oxxxxx,ONE_D,1.57286e+07,1024,1,1,480,530.419,243.242,0.002,10.643,384.169,2.937
GTX 780,Oxxxxx,ONE_D,1.57286e+07,1,1,1,480,530.674,243.567,0.002,121.08,383.909,2.959
GTX 780,Oxxxxx,ONE_D,1.57286e+07,2,1,1,480,530.171,243.246,0.002,56.241,383.716,2.909
GTX 780,Oxxxxx,ONE_D,1.57286e+07,4,1,1,480,531.182,243.194,0.003,29.254,383.927,2.919
GTX 780,Oxxxxx,ONE_D,1.57286e+07,8,1,1,480,530.335,243.049,0.002,16.999,384.418,2.982
GTX 780,Oxxxxx,ONE_D,1.57286e+07,16,1,1,480,530.857,243.128,0.002,10.791,383.938,2.956
GTX 780,Oxxxxx,ONE_D,1.57286e+07,32,1,1,480,530.238,243.297,0.002,9.115,384.566,2.941
GTX 780,Oxxxxx,ONE_D,1.57286e+07,64,1,1,480,530.086,243.164,0.002,9.052,383.807,2.913
GTX 780,Oxxxxx,ONE_D,1.57286e+07,128,1,1,480,531.187,243.292,0.003,9.056,383.629,2.937
GTX 780,Oxxxxx,ONE_D,1.57286e+07,256,1,1,480,530.583,243.045,0.002,9.053,383.788,2.913
GTX 780,Oxxxxx,ONE_D,1.57286e+07,512,1,1,480,531.549,242.977,0.002,9.278,383.948,2.93
GTX 780,Oxxxxx,ONE_D,1.57286e+07,1024,1,1,480,530.373,243.877,0.002,10.662,384.82,2.919
GTX 780,Oxxxxx,ONE_D,1.57286e+07,1,1,1,480,530.166,243.211,0.002,121.524,384.183,2.943
GTX 780,Oxxxxx,ONE_D,1.57286e+07,2,1,1,480,529.975,243.205,0.002,56.203,386.322,3.032
GTX 780,Oxxxxx,ONE_D,1.57286e+07,4,1,1,480,530.967,243.035,0.002,29.228,383.896,2.98
GTX 780,Oxxxxx,ONE_D,1.57286e+07,8,1,1,480,530.221,243.066,0.003,17.002,385.089,2.995
GTX 780,Oxxxxx,ONE_D,1.57286e+07,16,1,1,480,530.09,243.026,0.003,10.793,384.175,2.955
GTX 780,Oxxxxx,ONE_D,1.57286e+07,32,1,1,480,530.01,243.59,0.003,9.072,384.66,2.968
GTX 780,Oxxxxx,ONE_D,1.57286e+07,64,1,1,480,529.98,243.06,0.002,9.042,384.057,2.947
GTX 780,Oxxxxx,ONE_D,1.57286e+07,128,1,1,480,531.14,243.115,0.003,9.048,384.262,2.95
GTX 780,Oxxxxx,ONE_D,1.57286e+07,256,1,1,480,530.048,243.212,0.002,9.045,384.849,2.952
GTX 780,Oxxxxx,ONE_D,1.57286e+07,512,1,1,480,536.096,242.986,0.002,9.269,384.294,2.988
GTX 780,Oxxxxx,ONE_D,1.57286e+07,1024,1,1,480,530.879,242.987,0.003,10.661,384.935,2.975
