device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Reduction,ONE_D,262144,1,1,1,4,21.856,2.769,0,0.869,2.301,1.07
GTX 780,Reduction,ONE_D,262144,2,1,1,4,20.411,2.566,0.001,0.667,1.047,0.972
GTX 780,Reduction,ONE_D,262144,4,1,1,4,20.344,2.677,0,0.553,0.691,0.933
GTX 780,Reduction,ONE_D,262144,8,1,1,4,20.28,2.666,0.001,0.481,0.53,0.858
GTX 780,Reduction,ONE_D,262144,16,1,1,4,20.186,2.711,0.001,0.439,0.448,0.856
GTX 780,Reduction,ONE_D,262144,32,1,1,4,20.254,2.674,0.001,0.416,0.413,0.909
GTX 780,Reduction,ONE_D,262144,64,1,1,4,20.281,2.674,0.001,0.399,0.388,0.915
GTX 780,Reduction,ONE_D,262144,128,1,1,4,20.181,2.667,0.001,0.409,0.381,0.854
GTX 780,Reduction,ONE_D,262144,256,1,1,4,20.17,2.68,0,0.403,0.373,0.854
GTX 780,Reduction,ONE_D,262144,512,1,1,4,20.29,2.668,0,0.416,0.369,0.909
GTX 780,Reduction,ONE_D,262144,1024,1,1,4,20.282,2.671,0.001,0.427,0.373,0.92
GTX 780,Reduction,ONE_D,262144,1,1,1,4,21.395,3.044,0,0.872,2.34,1.07
GTX 780,Reduction,ONE_D,262144,2,1,1,4,20.385,2.395,0,0.676,1.199,0.97
GTX 780,Reduction,ONE_D,262144,4,1,1,4,20.255,2.607,0.001,0.544,0.827,0.961
GTX 780,Reduction,ONE_D,262144,8,1,1,4,20.224,2.6,0.001,0.479,0.606,0.849
GTX 780,Reduction,ONE_D,262144,16,1,1,4,20.252,2.592,0.001,0.439,0.559,0.844
GTX 780,Reduction,ONE_D,262144,32,1,1,4,20.305,2.618,0.001,0.407,0.485,0.9
GTX 780,Reduction,ONE_D,262144,64,1,1,4,20.27,2.587,0,0.408,0.462,0.851
GTX 780,Reduction,ONE_D,262144,128,1,1,4,20.232,2.59,0,0.407,0.448,0.906
