device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,SquareArray,ONE_D,1.04858e+06,1,1,1,4,36.399,1.716,0.002,3.243,2.649,0.178
GTX 780,SquareArray,ONE_D,1.04858e+06,2,1,1,4,22.609,1.502,0.001,1.66,1.517,0.149
GTX 780,SquareArray,ONE_D,1.04858e+06,4,1,1,4,22.641,1.496,0.001,0.877,1.505,0.15
GTX 780,SquareArray,ONE_D,1.04858e+06,8,1,1,4,22.565,1.499,0.001,0.491,1.512,0.145
GTX 780,SquareArray,ONE_D,1.04858e+06,16,1,1,4,22.535,1.526,0.001,0.302,1.511,0.144
GTX 780,SquareArray,ONE_D,1.04858e+06,32,1,1,4,23.093,1.593,0.001,0.211,1.617,0.167
GTX 780,SquareArray,ONE_D,1.04858e+06,64,1,1,4,23.775,1.533,0.001,0.167,1.514,0.143
GTX 780,SquareArray,ONE_D,1.04858e+06,128,1,1,4,22.834,1.521,0.001,0.167,1.513,0.144
GTX 780,SquareArray,ONE_D,1.04858e+06,256,1,1,4,22.649,1.494,0,0.152,1.524,0.144
GTX 780,SquareArray,ONE_D,1.04858e+06,512,1,1,4,22.849,1.513,0.001,0.153,1.528,0.148
GTX 780,SquareArray,ONE_D,1.04858e+06,1024,1,1,4,22.882,1.541,0.001,0.157,1.497,0.151
GTX 780,SquareArray,ONE_D,1.04858e+06,1,1,1,4,22.548,1.537,0,3.207,2.006,0.153
GTX 780,SquareArray,ONE_D,1.04858e+06,2,1,1,4,22.532,1.488,0.001,1.656,1.509,0.159
GTX 780,SquareArray,ONE_D,1.04858e+06,4,1,1,4,22.55,1.483,0.001,0.876,1.539,0.146
GTX 780,SquareArray,ONE_D,1.04858e+06,8,1,1,4,22.603,1.487,0,0.49,1.504,0.141
GTX 780,SquareArray,ONE_D,1.04858e+06,16,1,1,4,22.524,1.489,0.001,0.299,1.504,0.141
GTX 780,SquareArray,ONE_D,1.04858e+06,32,1,1,4,22.672,1.48,0.001,0.207,1.504,0.155
GTX 780,SquareArray,ONE_D,1.04858e+06,64,1,1,4,22.759,1.606,0.001,0.165,1.618,0.141
GTX 780,SquareArray,ONE_D,1.04858e+06,128,1,1,4,22.996,1.535,0,0.154,1.564,0.14
GTX 780,SquareArray,ONE_D,1.04858e+06,256,1,1,4,22.523,1.486,0.001,0.154,1.499,0.14
GTX 780,SquareArray,ONE_D,1.04858e+06,512,1,1,4,22.551,1.482,0.001,0.149,1.505,0.14
GTX 780,SquareArray,ONE_D,1.04858e+06,1024,1,1,4,22.605,1.478,0.001,0.15,1.543,0.141
