device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Uux3a,ONE_D,1.101e+07,1,1,1,840,5636.5,585.811,0.003,22.832,0.003,2.516
GTX 780,Uux3a,ONE_D,1.101e+07,2,1,1,840,5639.35,584.536,0.003,11.442,0.002,2.292
GTX 780,Uux3a,ONE_D,1.101e+07,4,1,1,840,5630.58,584.66,0.003,5.748,0.002,2.291
GTX 780,Uux3a,ONE_D,1.101e+07,8,1,1,840,5631.13,584.355,0.003,2.902,0.002,2.275
GTX 780,Uux3a,ONE_D,1.101e+07,16,1,1,840,5630.17,586.274,0.003,1.476,0.003,2.415
GTX 780,Uux3a,ONE_D,1.101e+07,32,1,1,840,5629.66,585.175,0.003,0.764,0.001,2.373
GTX 780,Uux3a,ONE_D,1.101e+07,64,1,1,840,5632.74,584.885,0.003,0.408,0.003,2.272
GTX 780,Uux3a,ONE_D,1.101e+07,128,1,1,840,5630.61,584.452,0.004,0.229,0.002,2.299
GTX 780,Uux3a,ONE_D,1.101e+07,256,1,1,840,5636.22,591.577,0.003,0.148,0.003,2.336
GTX 780,Uux3a,ONE_D,1.101e+07,512,1,1,840,5636.31,584.469,0.003,0.148,0.002,2.251
GTX 780,Uux3a,ONE_D,1.101e+07,1024,1,1,840,5630.61,584.406,0.004,0.169,0.003,2.29
GTX 780,Uux3a,ONE_D,1.101e+07,1,1,1,840,5635.48,587.673,0.004,22.833,0.003,2.293
GTX 780,Uux3a,ONE_D,1.101e+07,2,1,1,840,5635.82,588.051,0.003,11.442,0.002,2.293
GTX 780,Uux3a,ONE_D,1.101e+07,4,1,1,840,5633.93,587.631,0.003,5.749,0.003,2.436
GTX 780,Uux3a,ONE_D,1.101e+07,8,1,1,840,5634.71,587.901,0.003,2.9,0.003,2.298
GTX 780,Uux3a,ONE_D,1.101e+07,16,1,1,840,5635.13,587.614,0.003,1.483,0.003,2.342
GTX 780,Uux3a,ONE_D,1.101e+07,32,1,1,840,5634.82,587.934,0.003,0.763,0.002,2.252
GTX 780,Uux3a,ONE_D,1.101e+07,64,1,1,840,5648.96,588.701,0.003,0.41,0.003,2.311
GTX 780,Uux3a,ONE_D,1.101e+07,128,1,1,840,5636.28,588.303,0.003,0.232,0.003,2.303
GTX 780,Uux3a,ONE_D,1.101e+07,256,1,1,840,5635.42,587.229,0.003,0.148,0.002,2.345
GTX 780,Uux3a,ONE_D,1.101e+07,512,1,1,840,5635.51,587.549,0.003,0.15,0.003,2.361
GTX 780,Uux3a,ONE_D,1.101e+07,1024,1,1,840,5634.73,587.869,0.003,0.171,0.002,2.466
GTX 780,Uux3a,ONE_D,1.101e+07,1,1,1,840,5630.82,585.411,0.003,22.835,0.005,2.325
GTX 780,Uux3a,ONE_D,1.101e+07,2,1,1,840,5629.79,585.943,0.003,11.443,0.003,2.243
GTX 780,Uux3a,ONE_D,1.101e+07,4,1,1,840,5629.46,585.809,0.002,5.747,0.003,2.321
GTX 780,Uux3a,ONE_D,1.101e+07,8,1,1,840,5629.99,585.864,0.003,2.899,0.003,2.291
GTX 780,Uux3a,ONE_D,1.101e+07,16,1,1,840,5630.02,585.486,0.003,1.476,0.003,2.351
GTX 780,Uux3a,ONE_D,1.101e+07,32,1,1,840,5641.97,586.148,0.004,0.764,0.003,2.328
GTX 780,Uux3a,ONE_D,1.101e+07,64,1,1,840,5629.3,586.167,0.004,0.407,0.002,2.28
GTX 780,Uux3a,ONE_D,1.101e+07,128,1,1,840,5628.74,583.617,0.003,0.23,0.003,2.423
GTX 780,Uux3a,ONE_D,1.101e+07,256,1,1,840,5630.09,585.603,0.003,0.149,0.002,2.389
GTX 780,Uux3a,ONE_D,1.101e+07,512,1,1,840,5630.54,585.773,0.003,0.148,0.003,2.368
GTX 780,Uux3a,ONE_D,1.101e+07,1024,1,1,840,5629.33,585.79,0.007,0.169,0.003,2.305
GTX 780,Uux3a,ONE_D,1.101e+07,1,1,1,840,5633.81,285.584,0.003,22.833,0.002,2.442
GTX 780,Uux3a,ONE_D,1.101e+07,2,1,1,840,5635.27,285.758,0.003,11.435,0.002,2.357
GTX 780,Uux3a,ONE_D,1.101e+07,4,1,1,840,5634.29,286.346,0.002,5.737,0.002,2.423
GTX 780,Uux3a,ONE_D,1.101e+07,8,1,1,840,5635.65,286.26,0.003,2.897,0.002,2.398
GTX 780,Uux3a,ONE_D,1.101e+07,16,1,1,840,5644.76,286.251,0.003,1.464,0.002,2.486
GTX 780,Uux3a,ONE_D,1.101e+07,32,1,1,840,5635.2,285.373,0.002,0.752,0.002,2.415
GTX 780,Uux3a,ONE_D,1.101e+07,64,1,1,840,5635.86,284.991,0.003,0.401,0.002,2.43
GTX 780,Uux3a,ONE_D,1.101e+07,128,1,1,840,5635.8,285.156,0.003,0.226,0.001,2.37
GTX 780,Uux3a,ONE_D,1.101e+07,256,1,1,840,5634.6,285.058,0.003,0.143,0.002,2.468
GTX 780,Uux3a,ONE_D,1.101e+07,512,1,1,840,5635.66,285.019,0.003,0.143,0.002,2.426
GTX 780,Uux3a,ONE_D,1.101e+07,1024,1,1,840,5635.05,284.984,0.003,0.158,0.003,2.463
GTX 780,Uux3a,ONE_D,1.101e+07,1,1,1,840,5633.77,587.026,0.003,22.832,0.003,2.498
GTX 780,Uux3a,ONE_D,1.101e+07,2,1,1,840,5633.78,586.662,0.003,11.442,0.002,2.423
GTX 780,Uux3a,ONE_D,1.101e+07,4,1,1,840,5633.64,586.269,0.003,5.748,0.003,2.269
GTX 780,Uux3a,ONE_D,1.101e+07,8,1,1,840,5642.66,589.163,0.003,2.9,0.003,2.33
GTX 780,Uux3a,ONE_D,1.101e+07,16,1,1,840,5635.99,587.336,0.003,1.476,0.003,2.442
GTX 780,Uux3a,ONE_D,1.101e+07,32,1,1,840,5635.87,587.259,0.003,0.765,0.002,2.428
GTX 780,Uux3a,ONE_D,1.101e+07,64,1,1,840,5635.08,587.1,0.003,0.408,0.003,2.438
GTX 780,Uux3a,ONE_D,1.101e+07,128,1,1,840,5635.92,586.609,0.003,0.233,0.002,2.364
GTX 780,Uux3a,ONE_D,1.101e+07,256,1,1,840,5635.65,586.761,0.003,0.148,0.003,2.387
GTX 780,Uux3a,ONE_D,1.101e+07,512,1,1,840,5635.59,586.629,0.003,0.149,0.002,2.362
GTX 780,Uux3a,ONE_D,1.101e+07,1024,1,1,840,5635.63,586.216,0.003,0.173,0.003,2.429
GTX 780,Uux3a,ONE_D,1.101e+07,1,1,1,840,5639.46,587.252,0.004,22.832,0.003,2.365
GTX 780,Uux3a,ONE_D,1.101e+07,2,1,1,840,5638.98,586.799,0.003,11.443,0.003,2.499
GTX 780,Uux3a,ONE_D,1.101e+07,4,1,1,840,5638.85,587.22,0.003,5.747,0.003,2.341
GTX 780,Uux3a,ONE_D,1.101e+07,8,1,1,840,5638.36,587.273,0.004,2.9,0.003,2.366
GTX 780,Uux3a,ONE_D,1.101e+07,16,1,1,840,5651.55,586.977,0.004,1.476,0.003,2.367
GTX 780,Uux3a,ONE_D,1.101e+07,32,1,1,840,5639.27,587.122,0.003,0.768,0.003,2.451
GTX 780,Uux3a,ONE_D,1.101e+07,64,1,1,840,5638.61,587.694,0.003,0.407,0.002,2.331
GTX 780,Uux3a,ONE_D,1.101e+07,128,1,1,840,5638.81,587.85,0.002,0.231,0.002,2.304
GTX 780,Uux3a,ONE_D,1.101e+07,256,1,1,840,5637.58,587.654,0.003,0.147,0.002,2.342
GTX 780,Uux3a,ONE_D,1.101e+07,512,1,1,840,5638.98,586.929,0.004,0.15,0.003,2.36
GTX 780,Uux3a,ONE_D,1.101e+07,1024,1,1,840,5638.71,587.196,0.003,0.17,0.003,2.334
GTX 780,Uux3a,ONE_D,1.101e+07,1,1,1,840,5639.36,590.739,0.003,22.834,0.002,2.524
GTX 780,Uux3a,ONE_D,1.101e+07,2,1,1,840,5641.11,589.436,0.004,11.442,0.003,2.638
GTX 780,Uux3a,ONE_D,1.101e+07,4,1,1,840,5655.25,589.717,0.002,5.747,0.003,2.58
GTX 780,Uux3a,ONE_D,1.101e+07,8,1,1,840,5640.36,589.694,0.003,2.902,0.002,2.606
GTX 780,Uux3a,ONE_D,1.101e+07,16,1,1,840,5640.92,589.882,0.003,1.48,0.005,2.55
GTX 780,Uux3a,ONE_D,1.101e+07,32,1,1,840,5640.03,589.444,0.003,0.766,0.004,2.542
GTX 780,Uux3a,ONE_D,1.101e+07,64,1,1,840,5640.35,589.932,0.003,0.408,0.001,2.542
GTX 780,Uux3a,ONE_D,1.101e+07,128,1,1,840,5639.51,590.115,0.003,0.231,0.002,2.622
GTX 780,Uux3a,ONE_D,1.101e+07,256,1,1,840,5639.33,590.123,0.004,0.148,0.002,2.487
GTX 780,Uux3a,ONE_D,1.101e+07,512,1,1,840,5639.65,589.346,0.004,0.151,0.002,2.655
GTX 780,Uux3a,ONE_D,1.101e+07,1024,1,1,840,5654.52,589.8,0.003,0.168,0.003,2.629
GTX 780,Uux3a,ONE_D,1.101e+07,1,1,1,840,5632.48,286.027,0.002,22.825,0.002,2.42
GTX 780,Uux3a,ONE_D,1.101e+07,2,1,1,840,5631.86,288.494,0.003,11.436,0.003,2.348
GTX 780,Uux3a,ONE_D,1.101e+07,4,1,1,840,5640.79,286.454,0.003,5.742,0.003,2.374
GTX 780,Uux3a,ONE_D,1.101e+07,8,1,1,840,5632.19,285.616,0.002,2.888,0.002,2.405
GTX 780,Uux3a,ONE_D,1.101e+07,16,1,1,840,5633.09,285.583,0.002,1.47,0.002,2.443
GTX 780,Uux3a,ONE_D,1.101e+07,32,1,1,840,5633,284.911,0.002,0.759,0.002,2.433
GTX 780,Uux3a,ONE_D,1.101e+07,64,1,1,840,5634.25,285.749,0.002,0.397,0.001,2.436
GTX 780,Uux3a,ONE_D,1.101e+07,128,1,1,840,5633.61,284.939,0.002,0.222,0.002,2.364
GTX 780,Uux3a,ONE_D,1.101e+07,256,1,1,840,5634.29,285.025,0.002,0.139,0.001,2.445
GTX 780,Uux3a,ONE_D,1.101e+07,512,1,1,840,5634.92,284.952,0.002,0.139,0.003,2.382
GTX 780,Uux3a,ONE_D,1.101e+07,1024,1,1,840,5643.46,284.977,0.001,0.161,0.002,2.373
