device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Array3dAverage,THREE_D,144,1,1,4,11.3906,98.297,3.909,0.001,11.901,4.136,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,1,1,8,11.3906,98.548,3.925,0.001,7.302,4.186,0.164
Tesla K20Xm,Array3dAverage,THREE_D,144,1,1,16,11.3906,99.066,3.903,0,5.455,4.278,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,103.567,3.898,0.001,1.015,4.219,0.169
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,98.316,3.9,0.001,1.013,4.175,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,98.295,3.93,0.001,1.013,4.175,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,98.293,3.886,0.001,1.013,4.178,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,1,2,4,11.3906,98.755,3.894,0,7.07,4.13,0.164
Tesla K20Xm,Array3dAverage,THREE_D,144,1,2,8,11.3906,98.353,3.9,0.001,5.445,4.178,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,1,2,16,11.3906,98.481,3.89,0.001,5.021,4.183,0.167
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,103.07,3.888,0.001,1.012,4.167,0.167
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,98.308,3.904,0.001,1.014,4.177,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,98.361,3.896,0,1.035,4.214,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,1,4,1,11.3906,98.292,3.888,0.001,11.69,4.166,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,1,4,2,11.3906,98.303,3.903,0,7.271,4.177,0.172
Tesla K20Xm,Array3dAverage,THREE_D,144,1,4,4,11.3906,98.518,3.912,0.001,5.635,4.172,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,1,4,8,11.3906,98.3,3.938,0.001,5.046,4.247,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,1,4,16,11.3906,98.833,3.924,0.001,4.949,4.213,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,103.068,3.926,0,1.095,4.174,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,98.285,3.889,0.001,1.026,4.17,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,1,8,1,11.3906,98.293,3.895,0.001,7.271,4.206,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,1,8,2,11.3906,98.279,3.882,0.001,5.468,4.209,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,1,8,4,11.3906,98.526,3.9,0.001,5.015,4.187,0.168
Tesla K20Xm,Array3dAverage,THREE_D,144,1,8,8,11.3906,98.323,3.897,0,4.938,4.161,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,1,8,16,11.3906,98.851,3.96,0,4.925,4.221,0.164
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,103.076,3.922,0.001,1.041,4.221,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,1,16,1,11.3906,98.283,3.893,0,5.449,4.173,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,1,16,2,11.3906,98.283,3.887,0,5.018,4.213,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,1,16,4,11.3906,98.251,3.926,0.001,4.926,4.18,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,1,16,8,11.3906,98.387,3.884,0.001,4.944,4.215,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,1,16,16,11.3906,98.499,3.912,0,4.955,4.178,0.174
Tesla K20Xm,Array3dAverage,THREE_D,144,2,1,4,11.3906,98.306,3.898,0.001,6.172,4.125,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,2,1,8,11.3906,98.474,3.904,0.001,3.855,4.182,0.168
Tesla K20Xm,Array3dAverage,THREE_D,144,2,1,16,11.3906,98.651,3.927,0.001,2.762,4.183,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,104.342,4.016,0,1.016,4.169,0.172
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,98.592,3.916,0.001,1.037,4.165,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,98.343,3.883,0,1.035,4.165,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,2,2,4,11.3906,98.291,3.893,0,3.875,4.126,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,2,2,8,11.3906,98.401,3.896,0.001,2.755,4.183,0.164
Tesla K20Xm,Array3dAverage,THREE_D,144,2,2,16,11.3906,98.512,3.887,0,2.69,4.179,0.166
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,103.589,3.89,0.001,1.035,4.186,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,98.369,3.879,0.001,1.018,4.174,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,2,4,1,11.3906,98.269,3.898,0.001,6.081,4.239,0.168
Tesla K20Xm,Array3dAverage,THREE_D,144,2,4,2,11.3906,98.291,3.891,0.001,3.877,4.175,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,2,4,4,11.3906,98.276,3.912,0,2.984,4.19,0.167
Tesla K20Xm,Array3dAverage,THREE_D,144,2,4,8,11.3906,98.273,3.896,0.001,2.686,4.179,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,2,4,16,11.3906,98.384,3.899,0.001,2.711,4.17,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,103.357,3.935,0,1.04,4.197,0.18
Tesla K20Xm,Array3dAverage,THREE_D,144,2,8,1,11.3906,98.719,3.884,0.001,3.865,4.218,0.165
Tesla K20Xm,Array3dAverage,THREE_D,144,2,8,2,11.3906,98.345,3.907,0.001,2.946,4.16,0.169
Tesla K20Xm,Array3dAverage,THREE_D,144,2,8,4,11.3906,98.291,3.891,0.001,2.738,4.173,0.168
Tesla K20Xm,Array3dAverage,THREE_D,144,2,8,8,11.3906,98.27,3.892,0,2.684,4.176,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,2,8,16,11.3906,98.288,3.89,0.001,2.705,4.183,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,2,16,1,11.3906,103.313,3.893,0,2.961,4.19,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,2,16,2,11.3906,98.301,3.895,0.001,2.706,4.183,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,2,16,4,11.3906,98.998,3.924,0,2.697,4.192,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,2,16,8,11.3906,98.412,3.88,0,2.702,4.174,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,2,16,16,11.3906,98.318,3.89,0,2.72,4.231,0.168
Tesla K20Xm,Array3dAverage,THREE_D,144,4,1,1,11.3906,103.292,3.937,0.001,9.645,4.163,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,4,1,2,11.3906,98.324,3.876,0.001,5.632,4.196,0.169
Tesla K20Xm,Array3dAverage,THREE_D,144,4,1,4,11.3906,98.326,3.901,0.001,3.311,4.17,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,4,1,8,11.3906,98.356,3.881,0.001,2.149,4.219,0.167
Tesla K20Xm,Array3dAverage,THREE_D,144,4,1,16,11.3906,98.497,3.896,0,1.601,4.178,0.168
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,103.733,3.886,0.001,1.034,4.181,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,98.302,3.898,0,1.037,4.179,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,4,2,1,11.3906,98.659,3.906,0.001,5.534,4.181,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,4,2,2,11.3906,98.286,3.892,0,3.267,4.177,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,4,2,4,11.3906,98.286,3.906,0.001,2.15,4.178,0.166
Tesla K20Xm,Array3dAverage,THREE_D,144,4,2,8,11.3906,98.272,3.902,0.001,1.568,4.169,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,4,2,16,11.3906,98.311,3.91,0.001,1.57,4.422,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,103.329,3.965,0.001,1.014,4.177,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,4,4,1,11.3906,98.703,3.897,0,3.24,4.178,0.169
Tesla K20Xm,Array3dAverage,THREE_D,144,4,4,2,11.3906,98.275,3.877,0,2.146,4.183,0.172
Tesla K20Xm,Array3dAverage,THREE_D,144,4,4,4,11.3906,98.279,3.895,0.001,1.583,4.17,0.16
Tesla K20Xm,Array3dAverage,THREE_D,144,4,4,8,11.3906,98.271,3.908,0.001,1.564,4.183,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,4,4,16,11.3906,98.736,3.886,0.001,1.573,4.166,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,4,8,1,11.3906,103.316,3.883,0.001,2.143,4.221,0.168
Tesla K20Xm,Array3dAverage,THREE_D,144,4,8,2,11.3906,98.299,3.89,0,1.562,4.176,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,4,8,4,11.3906,98.991,3.915,0.001,1.572,4.205,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,4,8,8,11.3906,98.401,3.892,0.001,1.578,4.182,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,4,8,16,11.3906,98.265,3.88,0,1.625,4.162,0.167
Tesla K20Xm,Array3dAverage,THREE_D,144,4,16,1,11.3906,103.087,3.894,0.001,1.555,4.191,0.166
Tesla K20Xm,Array3dAverage,THREE_D,144,4,16,2,11.3906,98.294,3.881,0,1.567,4.179,0.166
Tesla K20Xm,Array3dAverage,THREE_D,144,4,16,4,11.3906,98.269,3.894,0,1.573,4.184,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,4,16,8,11.3906,98.51,3.905,0.001,1.612,4.178,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,4,16,16,11.3906,98.323,3.898,0.001,1.61,4.221,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,1,1,11.3906,103.247,3.904,0.001,5.042,4.232,0.169
Tesla K20Xm,Array3dAverage,THREE_D,144,8,1,2,11.3906,98.63,3.895,0,3.015,4.183,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,8,1,4,11.3906,98.321,3.887,0,1.843,4.185,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,1,8,11.3906,98.617,3.894,0.001,1.184,4.166,0.16
Tesla K20Xm,Array3dAverage,THREE_D,144,8,1,16,11.3906,98.759,3.927,0.001,1.027,4.171,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,103.143,3.878,0.001,1.01,4.221,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,8,2,1,11.3906,98.244,3.937,0,2.956,4.17,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,2,2,11.3906,98.292,3.908,0.001,1.864,4.172,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,2,4,11.3906,98.487,3.92,0.001,1.177,4.169,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,8,2,8,11.3906,98.536,3.891,0,1.023,4.212,0.168
Tesla K20Xm,Array3dAverage,THREE_D,144,8,2,16,11.3906,98.272,3.888,0,1.026,4.197,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,8,4,1,11.3906,103.16,3.923,0,1.822,4.169,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,8,4,2,11.3906,98.279,3.878,0.001,1.146,4.175,0.166
Tesla K20Xm,Array3dAverage,THREE_D,144,8,4,4,11.3906,98.29,3.89,0.001,1.024,4.183,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,8,4,8,11.3906,98.273,3.905,0.001,1.023,4.177,0.165
Tesla K20Xm,Array3dAverage,THREE_D,144,8,4,16,11.3906,98.283,3.935,0.001,1.017,4.175,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,1,11.3906,103.264,3.937,0.001,1.14,4.172,0.168
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,2,11.3906,98.281,3.9,0.001,0.999,4.209,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,4,11.3906,98.622,3.885,0.001,1,4.236,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,98.68,3.894,0,1.02,4.167,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,16,11.3906,98.35,3.889,0.001,1.09,4.17,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,8,16,1,11.3906,98.288,3.887,0,1.022,4.182,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,16,2,11.3906,98.269,3.89,0.001,1.012,4.181,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,16,4,11.3906,98.291,3.894,0.001,1.035,4.164,0.16
Tesla K20Xm,Array3dAverage,THREE_D,144,8,16,8,11.3906,98.275,3.901,0.001,1.062,4.173,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,16,1,1,11.3906,103.149,3.887,0.001,2.79,4.169,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,16,1,2,11.3906,98.292,3.891,0.001,1.7,4.166,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,16,1,4,11.3906,98.285,3.885,0,1.059,4.166,0.16
Tesla K20Xm,Array3dAverage,THREE_D,144,16,1,8,11.3906,98.285,3.892,0,0.783,4.166,0.174
Tesla K20Xm,Array3dAverage,THREE_D,144,16,1,16,11.3906,98.27,3.888,0.001,0.786,4.173,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,16,2,1,11.3906,103.092,3.875,0.001,1.662,4.187,0.174
Tesla K20Xm,Array3dAverage,THREE_D,144,16,2,2,11.3906,98.762,3.934,0.001,1.072,4.209,0.175
Tesla K20Xm,Array3dAverage,THREE_D,144,16,2,4,11.3906,98.403,3.892,0.001,0.764,4.178,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,16,2,8,11.3906,98.354,3.883,0,0.782,4.169,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,16,2,16,11.3906,98.285,3.898,0.001,0.812,4.173,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,16,4,1,11.3906,103.07,3.898,0,1.058,4.176,0.16
Tesla K20Xm,Array3dAverage,THREE_D,144,16,4,2,11.3906,98.267,3.897,0.001,0.765,4.162,0.159
Tesla K20Xm,Array3dAverage,THREE_D,144,16,4,4,11.3906,98.598,3.881,0.001,0.795,4.208,0.168
Tesla K20Xm,Array3dAverage,THREE_D,144,16,4,8,11.3906,98.313,3.898,0.001,0.794,4.225,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,16,4,16,11.3906,98.493,3.927,0.001,0.861,4.186,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,16,8,1,11.3906,98.751,3.898,0.001,0.742,4.21,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,16,8,2,11.3906,98.363,3.89,0.001,0.78,4.175,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,16,8,4,11.3906,98.282,3.889,0,0.789,4.198,0.162
Tesla K20Xm,Array3dAverage,THREE_D,144,16,8,8,11.3906,98.288,3.892,0.001,0.852,4.171,0.173
Tesla K20Xm,Array3dAverage,THREE_D,144,16,16,1,11.3906,98.273,3.897,0.001,0.778,4.234,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,16,16,2,11.3906,98.299,3.907,0.001,0.79,4.204,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,16,16,4,11.3906,98.351,3.889,0.001,0.855,4.177,0.17
Tesla K20Xm,Array3dAverage,THREE_D,144,1,1,4,11.3906,100.185,8.12,0.001,11.929,3.828,0.164
Tesla K20Xm,Array3dAverage,THREE_D,144,1,1,8,11.3906,100.247,8.085,0.001,7.279,3.861,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,1,1,16,11.3906,100.324,8.056,0.001,5.478,3.862,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.185,8.047,0.001,1.012,3.854,0.16
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.308,8.028,0.001,1.013,3.861,0.158
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.246,8.051,0.001,1.019,3.903,0.175
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.463,8.051,0.001,1.037,3.851,0.159
Tesla K20Xm,Array3dAverage,THREE_D,144,1,2,4,11.3906,100.342,8.046,0.001,7.068,3.806,0.165
Tesla K20Xm,Array3dAverage,THREE_D,144,1,2,8,11.3906,100.265,8.076,0,5.468,3.862,0.16
Tesla K20Xm,Array3dAverage,THREE_D,144,1,2,16,11.3906,100.262,8.075,0.001,5.023,3.852,0.172
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.734,8.052,0.001,1.011,3.871,0.16
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.846,8.05,0,1.024,3.847,0.164
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.207,8.036,0.001,1.033,3.866,0.16
Tesla K20Xm,Array3dAverage,THREE_D,144,1,4,1,11.3906,100.255,8.09,0,11.697,3.856,0.16
Tesla K20Xm,Array3dAverage,THREE_D,144,1,4,2,11.3906,100.32,8.048,0.001,7.277,3.857,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,1,4,4,11.3906,100.257,8.105,0,5.522,3.867,0.158
Tesla K20Xm,Array3dAverage,THREE_D,144,1,4,8,11.3906,100.213,8.067,0,5.043,3.888,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,1,4,16,11.3906,100.293,8.109,0,4.924,3.848,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.365,8.121,0.001,1.036,3.867,0.165
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.182,8.112,0.001,1.012,3.855,0.159
Tesla K20Xm,Array3dAverage,THREE_D,144,1,8,1,11.3906,100.253,8.027,0.001,7.274,3.854,0.159
Tesla K20Xm,Array3dAverage,THREE_D,144,1,8,2,11.3906,100.337,8.065,0,5.444,3.856,0.159
Tesla K20Xm,Array3dAverage,THREE_D,144,1,8,4,11.3906,100.673,8.057,0.001,5.038,3.853,0.16
Tesla K20Xm,Array3dAverage,THREE_D,144,1,8,8,11.3906,100.467,8.158,0,4.946,3.887,0.159
Tesla K20Xm,Array3dAverage,THREE_D,144,1,8,16,11.3906,100.409,8.043,0,4.924,3.888,0.161
Tesla K20Xm,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.819,8.016,0.001,1.037,3.923,0.16
Tesla K20Xm,Array3dAverage,THREE_D,144,1,16,1,11.3906,100.166,8.067,0,5.442,3.89,0.159
Tesla K20Xm,Array3dAverage,THREE_D,144,1,16,2,11.3906,100.222,8.085,0,5.016,3.852,0.159
Tesla K20Xm,Array3dAverage,THREE_D,144,1,16,4,11.3906,100.409,8.035,0.001,4.946,3.852,0.163
Tesla K20Xm,Array3dAverage,THREE_D,144,1,16,8,11.3906,100.249,8.047,0,4.926,3.843,0.158
Tesla K20Xm,Array3dAverage,THREE_D,144,1,16,16,11.3906,100.221,8.037,0.001,4.952,3.89,0.159
Tesla K20Xm,Array3dAverage,THREE_D,144,2,1,4,11.3906,100.329,8.089,0.001,6.192,3.812,0.159
Tesla K20Xm,Array3dAverage,THREE_D,144,2,1,8,11.3906,100.271,8.073,0.001,3.858,3.856,0.164
Tesla K20Xm,Array3dAverage,THREE_D,144,2,1,16,11.3906,100.337,8.083,0,2.985,3.841,0.159
