device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Computation,ONE_D,874,400,1,1,1,256,0.004,0,0.001,0.065,0.001,0.01
Tesla K20Xm,Computation,ONE_D,874,400,2,1,1,256,0.004,0,0,0.018,0,0.007
Tesla K20Xm,Computation,ONE_D,874,400,4,1,1,256,0.004,0,0.001,0.014,0,0.007
Tesla K20Xm,Computation,ONE_D,874,400,8,1,1,256,0.003,0,0,0.014,0,0.006
Tesla K20Xm,Computation,ONE_D,874,400,16,1,1,256,0.003,0,0.001,0.013,0,0.006
Tesla K20Xm,Computation,ONE_D,874,400,32,1,1,256,0.003,0,0.001,0.013,0.001,0.005
Tesla K20Xm,Computation,ONE_D,874,400,64,1,1,256,0.002,0,0,0.014,0,0.006
Tesla K20Xm,Computation,ONE_D,874,400,128,1,1,256,0.002,0,0,0.014,0.001,0.005
Tesla K20Xm,Computation,ONE_D,874,400,256,1,1,256,0.002,0,0,0.014,0,0.005
Tesla K20Xm,Computation,ONE_D,874,400,512,1,1,256,0.003,0,0,0.014,0,0.005
Tesla K20Xm,Computation,ONE_D,874,400,1024,1,1,256,0.003,0,0,-1,-1,-1
Tesla K20Xm,Computation,ONE_D,94,711,1,1,1,256,0.004,0,0.001,0.051,0,0.008
Tesla K20Xm,Computation,ONE_D,94,711,2,1,1,256,0.003,0,0,0.017,0.001,0.007
Tesla K20Xm,Computation,ONE_D,94,711,4,1,1,256,0.003,0,0,0.016,0.001,0.007
Tesla K20Xm,Computation,ONE_D,94,711,8,1,1,256,0.003,0,0,0.015,0,0.007
Tesla K20Xm,Computation,ONE_D,94,711,16,1,1,256,0.003,0,0,0.014,0,0.007
Tesla K20Xm,Computation,ONE_D,94,711,32,1,1,256,0.003,0.001,0,0.014,0.001,0.006
Tesla K20Xm,Computation,ONE_D,94,711,64,1,1,256,0.003,0,0,0.016,0,0.005
Tesla K20Xm,Computation,ONE_D,94,711,128,1,1,256,0.003,0,0,0.014,0,0.006
Tesla K20Xm,Computation,ONE_D,94,711,256,1,1,256,0.003,0,0,0.015,0,0.006
Tesla K20Xm,Computation,ONE_D,94,711,512,1,1,256,0.003,0,0.001,0.014,0,0.006
Tesla K20Xm,Computation,ONE_D,94,711,1024,1,1,256,0.003,0,0,-1,-1,-1
