device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1,1,1,39,204.375,36.841,0.002,53851.3,14.168,0.46
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,2,1,1,39,206.107,36.961,0.002,27016.9,13.46,0.454
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,4,1,1,39,206.085,36.969,0.002,13594.3,14.056,0.455
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,8,1,1,39,206.304,36.961,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,16,1,1,39,206.449,36.987,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,32,1,1,39,206.948,36.944,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,64,1,1,39,206.161,36.873,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,128,1,1,39,206.033,36.914,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,256,1,1,39,206.478,36.91,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,512,1,1,39,207.971,36.845,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1024,1,1,39,206.277,36.89,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1,1,1,39,204.081,36.536,0.002,53851.9,14.217,0.487
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,2,1,1,39,205.809,36.551,0.002,27017.2,13.411,0.458
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,4,1,1,39,205.674,36.673,0.002,13594.4,14.099,0.493
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,8,1,1,39,205.621,36.64,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,16,1,1,39,205.8,36.627,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,32,1,1,39,206.31,36.557,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,64,1,1,39,206.171,36.567,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,128,1,1,39,206.345,36.592,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,256,1,1,39,206.478,36.67,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,512,1,1,39,207.221,36.656,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1024,1,1,39,206.016,36.595,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1,1,1,39,205.671,36.425,0.002,53852,14.151,0.451
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,2,1,1,39,206.896,36.671,0.002,27017.3,13.934,0.453
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,4,1,1,39,205.969,36.656,0.002,13594.5,13.216,0.454
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,8,1,1,39,205.953,36.568,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,16,1,1,39,205.981,36.682,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,32,1,1,39,206.154,36.529,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,64,1,1,39,207.961,36.595,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,128,1,1,39,205.849,36.545,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,256,1,1,39,205.909,36.593,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,512,1,1,39,206.279,36.527,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1024,1,1,39,206.49,36.54,0.003,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,1,1,1,39,203.934,36.557,0.002,53851.7,13.718,0.479
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,2,1,1,39,206.263,36.608,0.003,27017.2,13.29,0.478
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,4,1,1,39,210.699,40.058,0.002,13594.5,12.881,0.454
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,8,1,1,39,205.682,36.536,0.002,-1,-1,-1
Tesla K20Xm,Convolution,ONE_D,3238,3238,64,64,16,1,1,39,205.532,36.4,0.002,-1,-1,-1
