device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,1,1,32,86.8,31.364,0.003,7505.38,16.244,4.787
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,2,1,32,88.245,30.508,0.002,3803.85,16.233,4.754
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,4,1,32,88.059,30.496,0.002,2180.75,16.316,4.789
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,8,1,32,88.134,30.828,0.003,1473.42,16.204,4.781
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,16,1,32,88.119,30.409,0.003,1037.48,16.381,4.816
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,32,1,32,88.146,30.252,0.002,799.985,16.443,4.818
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,64,1,32,87.982,30.434,0.003,763.348,16.484,4.823
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,128,1,32,88.009,30.259,0.002,702.975,16.485,4.782
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,256,1,32,88,30.459,0.002,636.209,16.426,4.797
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,512,1,32,88.168,30.258,0.002,389.211,16.442,4.764
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,1,1024,1,32,88.158,30.438,0.002,470.69,16.491,4.814
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,1,1,32,88.228,30.223,0.002,3804.19,16.233,4.825
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,2,1,32,88.109,30.49,0.002,2180.75,16.239,4.795
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,4,1,32,88.021,30.279,0.002,1473.33,16.263,4.795
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,8,1,32,88.105,30.44,0.002,1037.43,16.296,4.784
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,16,1,32,88.1,30.307,0.002,799.662,16.442,4.8
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,32,1,32,88.191,30.511,0.002,763.385,16.414,4.892
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,64,1,32,87.962,30.38,0.003,702.885,16.402,4.79
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,128,1,32,88.254,30.403,0.003,635.957,16.507,4.781
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,256,1,32,88.163,30.239,0.003,389.346,16.459,4.805
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,2,512,1,32,88.22,30.384,0.002,470.61,16.386,4.822
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,1,1,32,88.051,30.247,0.003,2180.86,16.292,4.782
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,2,1,32,88.182,30.483,0.003,1473.06,16.271,4.791
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,4,1,32,88.019,30.394,0.003,1037.55,16.44,4.797
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,8,1,32,88.673,30.342,0.003,799.813,16.599,4.775
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,16,1,32,88.044,30.506,0.002,763.032,16.552,4.803
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,32,1,32,88.032,30.77,0.002,702.874,16.477,4.786
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,64,1,32,88.235,30.233,0.002,636.03,16.413,4.795
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,128,1,32,88.557,30.33,0.002,389.664,16.485,4.786
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,4,256,1,32,88.77,30.252,0.002,470.697,16.358,4.818
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,1,1,32,88.035,30.446,0.003,1473.63,16.275,4.785
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,2,1,32,90.315,30.453,0.003,1037.29,16.242,4.788
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,4,1,32,88.098,30.366,0.002,800.105,16.432,4.817
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,8,1,32,88.034,30.405,0.002,763.256,16.457,4.797
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,16,1,32,88.201,30.578,0.003,703.092,16.465,4.802
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,32,1,32,88.157,30.326,0.003,635.87,16.514,4.838
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,64,1,32,88.055,30.432,0.002,389.197,16.406,4.789
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,8,128,1,32,88.07,30.252,0.002,471.18,16.581,4.782
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,1,1,32,88.824,30.397,0.003,1037.54,16.483,4.787
Tesla K20Xm,LUDecomposition,TWO_D,2048,2048,16,2,1,32,88.024,30.337,0.002,800.102,16.532,4.845
