device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,1,1,7,39.668,2.878,0.001,8.724,2.208,0.167
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,2,1,7,39.578,2.863,0,4.947,2.982,0.16
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,4,1,7,39.556,2.866,0,2.77,2.977,0.168
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,8,1,7,39.623,2.859,0.001,1.787,2.976,0.158
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,16,1,7,39.541,2.841,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,32,1,7,39.599,2.859,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,64,1,7,39.561,2.864,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,128,1,7,39.66,2.853,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,256,1,7,39.56,2.849,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,512,1,7,39.562,2.909,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,1024,1,7,39.498,2.842,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,1,1,7,39.716,2.874,0,4.286,3.001,0.164
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,2,1,7,39.729,2.871,0.001,2.662,2.969,0.157
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,4,1,7,39.593,2.883,0,1.536,2.976,0.156
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,8,1,7,39.508,2.896,0.001,1.089,2.981,0.157
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,16,1,7,39.57,2.86,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,32,1,7,39.67,2.856,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,64,1,7,39.697,2.849,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,128,1,7,39.956,2.869,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,256,1,7,39.565,2.848,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,512,1,7,39.794,2.85,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,1,1,7,39.564,2.854,0,2.399,2.971,0.159
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,2,1,7,39.58,2.885,0.001,1.506,2.985,0.156
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,4,1,7,39.548,2.855,0.001,0.927,2.98,0.155
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,8,1,7,39.599,2.854,0,0.715,2.982,0.156
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,16,1,7,39.534,2.849,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,32,1,7,39.561,2.85,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,64,1,7,39.486,2.883,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,128,1,7,39.539,2.861,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,256,1,7,39.563,2.845,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,1,1,7,39.558,2.851,0.001,1.409,2.971,0.155
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,2,1,7,39.588,2.861,0,0.956,2.977,0.156
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,4,1,7,39.63,2.86,0,0.464,2.973,0.157
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,8,1,7,39.631,2.851,0.001,0.549,2.974,0.157
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,16,1,7,39.822,2.864,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,32,1,7,39.607,2.878,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,64,1,7,39.563,2.85,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,128,1,7,39.588,2.897,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,16,1,1,7,39.657,2.878,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,16,2,1,7,39.557,2.919,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,16,4,1,7,39.808,2.853,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,16,8,1,7,39.532,2.862,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,16,16,1,7,39.667,2.845,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,16,32,1,7,39.555,2.864,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,16,64,1,7,39.592,2.849,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,32,1,1,7,39.566,2.853,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,32,2,1,7,39.642,2.854,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,32,4,1,7,39.556,2.855,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,32,8,1,7,39.57,2.866,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,32,16,1,7,39.502,2.842,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,32,32,1,7,39.578,2.851,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,64,1,1,7,39.472,2.879,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,64,2,1,7,39.522,2.844,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,64,4,1,7,39.576,2.855,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,64,8,1,7,39.614,2.85,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,64,16,1,7,39.628,2.859,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,128,1,1,7,39.583,2.854,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,128,2,1,7,39.64,2.898,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,128,4,1,7,39.568,2.852,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,128,8,1,7,39.634,2.857,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,256,1,1,7,39.77,2.855,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,256,2,1,7,39.605,2.867,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,256,4,1,7,39.823,2.843,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,512,1,1,7,39.536,2.855,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,512,2,1,7,39.515,2.85,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1024,1,1,7,39.53,2.852,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,1,1,7,39.666,5.796,0.001,8.719,2.325,0.169
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,2,1,7,39.544,5.875,0,4.944,2.998,0.164
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,4,1,7,39.596,5.797,0.001,2.751,3.007,0.158
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,8,1,7,39.511,5.826,0,1.772,3.007,0.159
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,16,1,7,39.659,5.808,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,32,1,7,39.548,5.807,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,64,1,7,39.744,5.796,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,128,1,7,39.645,5.808,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,256,1,7,39.631,5.809,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,512,1,7,39.591,5.796,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,1,1024,1,7,39.6,5.812,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,1,1,7,39.508,5.859,0.001,4.289,3.047,0.155
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,2,1,7,39.729,5.793,0.001,2.626,3.003,0.155
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,4,1,7,39.55,5.79,0,1.579,3.011,0.155
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,8,1,7,39.583,5.802,0,1.051,3.008,0.153
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,16,1,7,39.516,5.777,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,32,1,7,39.609,5.806,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,64,1,7,39.59,5.817,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,128,1,7,39.73,5.814,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,256,1,7,39.556,5.839,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,2,512,1,7,39.626,5.803,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,1,1,7,39.549,5.797,0.001,2.427,3.075,0.155
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,2,1,7,39.589,5.803,0.001,1.477,3.001,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,4,1,7,39.513,5.789,0.001,0.965,3.007,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,8,1,7,39.662,5.818,0.001,0.673,3.006,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,16,1,7,39.606,5.793,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,32,1,7,39.673,5.864,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,64,1,7,39.519,5.8,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,128,1,7,39.637,5.844,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,4,256,1,7,39.518,5.835,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,1,1,7,39.555,5.824,0,1.205,3.002,0.155
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,2,1,7,39.522,5.803,0,0.992,3.004,0.159
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,4,1,7,39.688,5.8,0,0.688,3.087,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,8,1,7,39.507,5.83,0.001,0.582,3.002,0.154
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,16,1,7,39.555,5.791,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,32,1,7,39.588,5.819,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,64,1,7,39.56,5.771,0,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,8,128,1,7,39.813,5.883,0.001,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,1448,1448,16,1,1,7,39.762,5.872,0,-1,-1,-1
