device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,1,1,1,8,177.621,0.771,0.002,1365.45,0.002,1.637
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,1,2,1,8,177.34,0.725,0.002,729.022,0.002,1.377
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,1,4,1,8,178.414,0.723,0.002,400.277,0.001,1.309
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,1,8,1,8,178.721,0.728,0.002,230.866,0.002,1.233
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,1,16,1,8,179.144,0.731,0.002,146.012,0.002,1.234
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,1,32,1,8,179.032,0.734,0.002,103.431,0.002,1.232
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,1,64,1,8,178.309,0.731,0.003,102.472,0.002,1.229
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,1,128,1,8,178.753,0.733,0.002,101.9,0.002,1.209
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,1,256,1,8,179.669,0.731,0.002,103.635,0.001,1.232
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,1,512,1,8,179.045,0.739,0.002,105.617,0.002,1.193
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,1,1024,1,8,179.067,0.735,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,2,1,1,8,179.4,0.685,0.002,729.304,0.002,1.343
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,2,2,1,8,178.255,0.725,0.002,400.818,0.002,1.289
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,2,4,1,8,178.719,0.728,0.002,230.802,0.002,1.24
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,2,8,1,8,179,0.725,0.001,145.547,0.002,1.232
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,2,16,1,8,179.654,0.735,0.003,103.282,0.002,1.21
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,2,32,1,8,178.388,0.738,0.002,102.485,0.001,1.209
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,2,64,1,8,178.293,0.748,0.002,102.328,0.002,1.197
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,2,128,1,8,179.287,0.73,0.002,103.305,0.002,1.206
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,2,256,1,8,178.908,0.74,0.002,106.169,0.002,1.206
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,2,512,1,8,178.967,0.735,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,4,1,1,8,178.988,0.693,0.001,399.847,0.002,1.275
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,4,2,1,8,178.183,0.724,0.001,231.093,0.002,1.245
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,4,4,1,8,179.075,0.736,0.002,145.356,0.002,1.22
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,4,8,1,8,179.354,0.737,0.002,103.95,0.002,1.239
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,4,16,1,8,178.432,0.722,0.001,102.477,0.002,1.199
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,4,32,1,8,178.995,0.738,0.002,101.925,0.002,1.199
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,4,64,1,8,179.242,0.736,0.002,102.869,0.002,1.197
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,4,128,1,8,179.664,0.731,0.002,105.902,0.002,1.205
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,4,256,1,8,179.016,0.737,0.001,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,8,1,1,8,179.005,0.687,0.001,230.793,0.001,1.231
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,8,2,1,8,179.246,0.741,0.002,145.457,0.002,1.228
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,8,4,1,8,178.878,0.74,0.002,103.356,0.002,1.212
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,8,8,1,8,179.387,0.739,0.002,102.582,0.002,1.202
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,8,16,1,8,179.24,0.733,0.002,101.887,0.002,1.201
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,8,32,1,8,179.483,0.74,0.002,102.928,0.002,1.198
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,8,64,1,8,178.967,0.732,0.002,105.757,0.002,1.198
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,8,128,1,8,178.973,0.945,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,16,1,1,8,178.982,0.698,0.002,145.471,0.002,1.221
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,16,2,1,8,179.054,0.744,0.002,103.142,0.002,1.205
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,16,4,1,8,178.96,0.733,0.002,102.379,0.001,1.195
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,16,8,1,8,179.235,0.743,0.002,101.962,0.002,1.196
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,16,16,1,8,179.818,0.732,0.002,103.113,0.002,1.209
Tesla K20Xm,MonteCarloAsian,TWO_D,512,1024,4,16,32,1,8,178.959,0.738,0.002,105.974,0.006,1.206
