device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,1,1,1,144,159.315,73.421,0.002,27.058,113.245,1.117
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,2,1,1,144,159.106,73.36,0.003,14.526,113.752,1.115
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,4,1,1,144,159.229,73.685,0.002,8.318,113.76,1.112
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,8,1,1,144,159.292,73.224,0.002,4.561,113.252,1.122
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,16,1,1,144,159.029,73.175,0.003,3.631,113.367,1.115
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,32,1,1,144,159.125,73.483,0.003,3.609,113.244,1.121
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,64,1,1,144,159.228,73.339,0.002,3.54,113.252,1.113
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,128,1,1,144,159.115,73.265,0.002,4.741,113.262,1.108
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,256,1,1,144,160.042,73.3,0.002,4.53,113.26,1.125
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,512,1,1,144,159.239,73.221,0.003,3.63,113.231,1.116
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,1024,1,1,144,159.051,73.191,0.002,4.075,113.256,1.124
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,1,1,1,144,159.6,73.308,0.002,27.266,113.326,1.201
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,2,1,1,144,159.055,73.097,0.002,14.556,113.338,1.157
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,4,1,1,144,159.001,73.336,0.002,8.095,113.545,1.14
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,8,1,1,144,159.234,73.138,0.002,4.787,113.36,1.141
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,16,1,1,144,159.009,73.192,0.002,3.629,113.394,1.148
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,32,1,1,144,159.523,73.598,0.002,3.61,113.354,1.211
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,64,1,1,144,159.103,73.191,0.003,3.547,113.406,1.199
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,128,1,1,144,159.08,73.239,0.003,4.739,113.385,1.15
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,256,1,1,144,158.972,73.321,0.002,4.463,113.548,1.145
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,512,1,1,144,159.055,73.178,0.002,3.647,113.454,1.138
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,1024,1,1,144,159.052,73.245,0.002,4.078,113.362,1.137
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,1,1,1,144,159.247,73.24,0.003,27.243,113.443,1.149
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,2,1,1,144,158.982,73.206,0.003,14.535,113.297,1.155
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,4,1,1,144,159.063,73.215,0.002,8.093,113.408,1.151
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,8,1,1,144,159.028,73.21,0.002,4.77,113.328,1.153
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,16,1,1,144,163.473,73.227,0.002,3.61,113.272,1.158
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,32,1,1,144,159.463,73.73,0.002,3.412,113.367,1.162
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,64,1,1,144,159.136,73.279,0.003,3.548,113.263,1.151
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,128,1,1,144,159,73.303,0.003,4.733,113.325,1.147
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,256,1,1,144,159.185,73.232,0.002,4.521,113.355,1.143
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,512,1,1,144,159.045,73.204,0.003,3.639,113.335,1.144
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,1024,1,1,144,159.165,73.192,0.002,4.045,113.315,1.139
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,1,1,1,144,159.117,73.212,0.002,27.247,113.326,1.155
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,2,1,1,144,159.016,73.204,0.002,14.555,113.354,1.169
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,4,1,1,144,159.127,73.3,0.002,8.094,113.304,1.148
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,8,1,1,144,159.028,73.175,0.002,4.767,113.346,1.146
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,16,1,1,144,159.033,73.721,0.002,3.625,113.856,1.153
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,32,1,1,144,159.014,73.237,0.003,3.411,113.365,1.15
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,64,1,1,144,159.051,73.282,0.003,3.547,113.327,1.135
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,128,1,1,144,159.004,73.177,0.002,4.742,113.398,1.159
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,256,1,1,144,159.098,73.246,0.002,4.538,113.348,1.142
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,512,1,1,144,159.026,73.247,0.002,3.649,113.326,1.139
Tesla K20Xm,Oxxxxx,ONE_D,4.71859e+06,1024,1,1,144,159.548,73.709,0.002,4.185,113.315,1.144
