device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,1,1,1,128,874.828,52.253,0.003,127.791,78.74,1.068
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,2,1,1,128,704.302,44.159,0.002,63.032,63.783,0.898
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,4,1,1,128,662.92,44.081,0.003,31.78,63.854,0.897
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,8,1,1,128,661.611,44.421,0.003,16.238,63.805,0.891
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,16,1,1,128,668.225,44.063,0.003,8.477,63.949,0.898
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,32,1,1,128,662.946,44.092,0.002,4.661,63.802,0.901
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,64,1,1,128,661.513,44.164,0.002,2.858,63.792,0.894
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,128,1,1,128,660.405,44.066,0.002,2.219,63.853,0.9
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,256,1,1,128,661.122,44.284,0.002,2.158,64.985,1.006
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,512,1,1,128,660.983,44.109,0.003,2.215,63.873,0.915
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,1024,1,1,128,662.278,44.14,0.002,2.271,63.888,0.982
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,1,1,1,128,660.816,89.638,0.004,127.723,67.727,0.937
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,2,1,1,128,658.496,89.613,0.003,63.078,67.517,0.933
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,4,1,1,128,657.738,89.611,0.003,31.832,67.463,0.94
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,8,1,1,128,657.978,89.684,0.003,16.265,67.722,0.944
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,16,1,1,128,658.545,89.731,0.003,8.53,67.536,0.926
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,32,1,1,128,658.587,89.575,0.003,4.732,67.455,0.936
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,64,1,1,128,659.575,89.709,0.003,2.925,67.415,0.926
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,128,1,1,128,657.868,89.686,0.003,2.242,67.503,0.937
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,256,1,1,128,657.712,89.853,0.003,2.256,67.981,0.943
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,512,1,1,128,657.725,89.723,0.003,2.288,67.445,0.927
Tesla K20Xm,SquareArray,ONE_D,3.35544e+07,1024,1,1,128,657.73,89.581,0.002,2.313,67.466,0.935
