device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4779.51,498.799,0.003,25.865,0.003,1.98
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,2,1,1,711,4774.01,498.852,0.003,13.11,0.003,1.956
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,4,1,1,711,4778.65,503.578,0.003,6.666,0.003,2.034
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,8,1,1,711,4773.64,499.439,0.002,3.475,0.003,2.068
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,16,1,1,711,4773.3,499.074,0.003,1.902,0.003,2.048
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,32,1,1,711,4773.94,498.532,0.003,1.082,0.003,2.048
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,64,1,1,711,4773.7,499.338,0.003,0.751,0.004,2.02
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,128,1,1,711,4774.79,498.519,0.002,0.488,0.003,2.011
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,256,1,1,711,4776.17,498.493,0.003,0.386,0.003,2.001
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,512,1,1,711,4775.58,498.705,0.002,0.403,0.003,2.056
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1024,1,1,711,4774.82,498.49,0.002,0.465,0.003,2.017
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4798.92,499.181,0.003,25.799,0.003,2.114
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,2,1,1,711,4782.13,499.994,0.003,13.042,0.003,2.021
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,4,1,1,711,4781.96,499.04,0.003,6.666,0.003,2.063
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,8,1,1,711,4782.67,498.815,0.003,3.502,0.003,1.965
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,16,1,1,711,4781.62,500.16,0.003,1.894,0.003,2.091
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,32,1,1,711,4780.76,499.664,0.003,1.108,0.003,1.977
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,64,1,1,711,4782.03,498.996,0.002,0.684,0.003,1.929
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,128,1,1,711,4781.69,498.728,0.003,0.505,0.003,2.025
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,256,1,1,711,4782.24,499.354,0.003,0.399,0.003,1.956
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,512,1,1,711,4785.36,500.292,0.002,0.399,0.003,2.107
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1024,1,1,711,4790.94,498.729,0.003,0.42,0.004,2.085
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4779.86,244.204,0.003,25.842,0.003,2.058
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,2,1,1,711,4780.5,243.854,0.002,13.063,0.003,2.106
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,4,1,1,711,4778.38,244.019,0.002,6.685,0.002,2.07
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,8,1,1,711,4781.23,243.883,0.002,3.472,0.003,2.115
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,16,1,1,711,4778.79,243.882,0.002,1.887,0.002,2.143
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,32,1,1,711,4780.9,243.915,0.002,1.103,0.002,2.128
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,64,1,1,711,4779.02,244.06,0.002,0.744,0.002,2.143
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,128,1,1,711,4790.41,244.047,0.002,0.499,0.002,2.107
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,256,1,1,711,4780.17,243.994,0.002,0.374,0.002,2.085
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,512,1,1,711,4780.51,244.026,0.002,0.377,0.002,2.088
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1024,1,1,711,4780.18,243.983,0.002,0.39,0.002,2.157
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4785.31,498.84,0.003,25.798,0.003,2.195
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,2,1,1,711,4779.64,499.313,0.003,13.056,0.003,2.155
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,4,1,1,711,4779.4,498.975,0.003,6.685,0.004,2.178
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,8,1,1,711,4779.14,499.054,0.004,3.474,0.004,2.082
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,16,1,1,711,4779.73,498.843,0.003,1.881,0.002,2.039
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,32,1,1,711,4780.29,499.187,0.004,1.108,0.002,2.012
