device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,1,1,1,28,284.321,19.878,0.003,28.744,14.361,0.9
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,2,1,1,28,290.504,19.914,0.004,14.498,14.385,0.897
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,4,1,1,28,290.632,19.963,0.002,7.439,14.369,0.906
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,8,1,1,28,291.347,19.936,0.003,3.78,14.428,0.896
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,16,1,1,28,290.709,19.923,0.003,2.255,14.422,0.915
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,32,1,1,28,290.609,19.929,0.002,1.426,14.371,0.886
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,64,1,1,28,291.298,19.861,0.003,1.028,14.404,0.903
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,128,1,1,28,290.499,19.872,0.002,0.916,14.415,0.897
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,256,1,1,28,290.638,20.017,0.002,0.932,14.43,0.904
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,512,1,1,28,291.23,19.797,0.004,0.942,14.375,0.895
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,1024,1,1,28,290.569,19.905,0.003,0.976,14.401,0.902
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,1,1,1,28,282.626,40.218,0.003,28.787,13.854,0.838
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,2,1,1,28,291.661,40.241,0.003,14.547,13.893,0.849
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,4,1,1,28,290.543,40.457,0.003,7.426,13.825,0.84
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,8,1,1,28,290.552,40.189,0.003,3.769,13.845,0.835
Tesla K20Xm,VectorAdd,ONE_D,7.34003e+06,16,1,1,28,291.031,40.329,0.003,2.232,13.833,0.837
