device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,1,1,1,0.127,0.001,1.629,0.085,0.658
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,2,1,1,0.178,0.001,1.354,0.058,0.443
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,4,1,1,0.252,0.003,0.935,0.098,0.676
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,8,1,1,0.184,0.002,0.956,0.073,0.41
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,16,1,1,0.282,0.003,0.863,0.094,0.95
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,32,1,1,0.124,0.001,0.643,0.084,0.394
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,64,1,1,0.259,0.003,0.79,0.092,0.952
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,128,1,1,0.153,0.002,0.523,0.055,0.411
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,256,1,1,0.322,0.001,0.583,0.085,0.95
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,512,1,1,0.13,0.002,0.425,0.058,0.378
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,1024,1,1,0.268,0.004,0.727,0.111,0.922
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,2048,1,1,0.128,0.001,0.854,0.105,0.389
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,4096,1,1,0.414,0.001,1.588,0.085,0.966
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,8192,1,1,0.129,0.001,1.488,0.116,0.457
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,1,1,1,0.179,0.002,1.523,0.063,0.413
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,2,1,1,0.257,0.001,1.031,0.046,0.97
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,4,1,1,0.297,0.003,1.342,0.098,0.95
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,8,1,1,0.174,0.001,0.794,0.107,0.385
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,16,1,1,0.333,0.003,0.713,0.094,0.949
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,32,1,1,0.12,0.001,0.894,0.099,0.997
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,64,1,1,0.221,0.001,0.553,0.056,0.388
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,128,1,1,0.351,0.001,0.482,0.066,0.476
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,256,1,1,0.327,0.019,0.48,0.049,0.866
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,512,1,1,0.1,0.001,0.636,0.058,0.415
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,1024,1,1,0.271,0.002,0.553,0.064,0.993
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,2048,1,1,0.187,0.001,0.894,0.069,0.412
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,4096,1,1,0.257,0.003,1.511,0.105,0.949
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FWT,ONE_D,32768,8192,1,1,0.13,0.002,1.401,0.082,0.429
