device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,Array3dAverage,THREE_D,512,1,1,1,512,18559.9,163.357,0.002,642.373,130.696,57.644
Hawaii,Array3dAverage,THREE_D,512,1,1,2,512,18663.9,148.764,0.004,322.117,119.389,48.13
Hawaii,Array3dAverage,THREE_D,512,1,1,4,512,18645.7,146.932,0.004,209.665,120.25,57.952
Hawaii,Array3dAverage,THREE_D,512,1,1,8,512,25894.3,142.787,0.004,160.1,130.109,20.391
Hawaii,Array3dAverage,THREE_D,512,1,1,16,512,25859.8,147.367,0.002,176.183,127.372,39.712
Hawaii,Array3dAverage,THREE_D,512,1,1,32,512,26018.6,148.052,0.003,200.121,132.759,41.152
Hawaii,Array3dAverage,THREE_D,512,1,1,64,512,26002.3,141.396,0.005,273.699,130.004,30.761
Hawaii,Array3dAverage,THREE_D,512,1,1,128,512,26012.4,143.565,0.003,627.873,126.723,41.26
Hawaii,Array3dAverage,THREE_D,512,1,1,256,512,26043.6,145.21,0.004,1894.2,128.698,41.234
Hawaii,Array3dAverage,THREE_D,512,1,2,1,512,26044.2,142.637,0.005,314.087,129.133,30.82
Hawaii,Array3dAverage,THREE_D,512,1,2,2,512,26005.8,143.9,0.003,158.106,126.893,41.208
Hawaii,Array3dAverage,THREE_D,512,1,2,4,512,26014,145.146,0.003,106.721,127.955,41.075
Hawaii,Array3dAverage,THREE_D,512,1,2,8,512,26004,144.997,0.002,119.919,124.779,41.204
Hawaii,Array3dAverage,THREE_D,512,1,2,16,512,26009.6,142.433,0.003,119.167,127.004,41.204
Hawaii,Array3dAverage,THREE_D,512,1,2,32,512,26011.5,142.748,0.003,124.914,126.328,41.211
Hawaii,Array3dAverage,THREE_D,512,1,2,64,512,26002.7,145.129,0.004,217.812,129.647,41.078
Hawaii,Array3dAverage,THREE_D,512,1,2,128,512,26017.5,144.815,0.003,602.358,127.408,41.233
Hawaii,Array3dAverage,THREE_D,512,1,4,1,512,26011.3,142.614,0.005,168.345,128.77,30.785
Hawaii,Array3dAverage,THREE_D,512,1,4,2,512,26019.3,145.165,0.005,110.231,128.25,30.767
Hawaii,Array3dAverage,THREE_D,512,1,4,4,512,26012.8,144.886,0.004,122.423,129.957,30.77
Hawaii,Array3dAverage,THREE_D,512,1,4,8,512,26014.3,142.286,0.004,126.462,129.37,41.221
Hawaii,Array3dAverage,THREE_D,512,1,4,16,512,26015.2,143.882,0.003,129.223,129.203,30.859
Hawaii,Array3dAverage,THREE_D,512,1,4,32,512,26017.9,144.966,0.005,174.119,127.081,40.315
Hawaii,Array3dAverage,THREE_D,512,1,4,64,512,26010.5,144.85,0.003,378.425,130.948,41.096
Hawaii,Array3dAverage,THREE_D,512,1,8,1,512,26016,144.012,0.004,107.905,125.125,41.06
Hawaii,Array3dAverage,THREE_D,512,1,8,2,512,26007.2,142.665,0.004,96.953,126.102,41.067
Hawaii,Array3dAverage,THREE_D,512,1,8,4,512,26005,146.234,0.005,111.422,126.338,20.349
Hawaii,Array3dAverage,THREE_D,512,1,8,8,512,26005.4,142.505,0.004,120.579,126.674,41.178
Hawaii,Array3dAverage,THREE_D,512,1,8,16,512,26013.8,146.301,0.004,136.369,130.342,41.171
Hawaii,Array3dAverage,THREE_D,512,1,8,32,512,26010.6,142.907,0.004,226.03,126.553,31.029
Hawaii,Array3dAverage,THREE_D,512,1,16,1,512,26005.1,146.088,0.003,99.733,125.667,41.153
Hawaii,Array3dAverage,THREE_D,512,1,16,2,512,26011.3,146.05,0.003,108.501,131.191,30.666
Hawaii,Array3dAverage,THREE_D,512,1,16,4,512,26005.3,140.93,0.004,120.582,130.506,41.215
Hawaii,Array3dAverage,THREE_D,512,1,16,8,512,26014.9,145.955,0.003,129.38,130.879,30.814
Hawaii,Array3dAverage,THREE_D,512,1,16,16,512,26010.2,146.096,0.003,161.761,130.266,41.216
Hawaii,Array3dAverage,THREE_D,512,1,32,1,512,26019.7,145.113,0.003,99.158,132.987,41.234
