device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,Convolution,ONE_D,512,512,64,64,1,1,1,1,8.314,1.708,0.003,293.006,0.503,0.08
Hawaii,Convolution,ONE_D,512,512,64,64,2,1,1,1,11.332,1.609,0.005,147.329,0.459,0.112
Hawaii,Convolution,ONE_D,512,512,64,64,4,1,1,1,10.938,1.597,0.002,74.853,0.459,0.06
Hawaii,Convolution,ONE_D,512,512,64,64,8,1,1,1,11.755,1.688,0.007,38.522,0.436,0.116
Hawaii,Convolution,ONE_D,512,512,64,64,16,1,1,1,10.823,1.534,0.003,20.311,0.378,0.09
Hawaii,Convolution,ONE_D,512,512,64,64,32,1,1,1,9.234,1.529,0.006,11.195,0.307,0.053
Hawaii,Convolution,ONE_D,512,512,64,64,64,1,1,1,7.756,1.525,0.003,7.379,0.307,0.052
Hawaii,Convolution,ONE_D,512,512,64,64,128,1,1,1,9.261,1.51,0.004,7.471,0.322,0.103
Hawaii,Convolution,ONE_D,512,512,64,64,256,1,1,1,10.197,1.525,0.005,7.769,0.313,0.054
Hawaii,Convolution,ONE_D,512,512,64,64,1,1,1,1,8.166,1.695,0.005,292.885,0.468,0.076
Hawaii,Convolution,ONE_D,512,512,64,64,2,1,1,1,11.395,1.647,0.004,147.76,0.516,0.109
Hawaii,Convolution,ONE_D,512,512,64,64,4,1,1,1,10.674,1.603,0.003,74.576,0.454,0.057
Hawaii,Convolution,ONE_D,512,512,64,64,8,1,1,1,11.779,1.605,0.004,38.504,0.453,0.076
Hawaii,Convolution,ONE_D,512,512,64,64,16,1,1,1,10.749,1.584,0.006,20.305,0.46,0.06
Hawaii,Convolution,ONE_D,512,512,64,64,32,1,1,1,8.767,1.496,0.004,10.974,0.464,0.06
Hawaii,Convolution,ONE_D,512,512,64,64,64,1,1,1,8.276,1.6,0.005,7.964,0.455,0.063
Hawaii,Convolution,ONE_D,512,512,64,64,128,1,1,1,8.773,1.618,0.005,7.862,0.472,0.059
Hawaii,Convolution,ONE_D,512,512,64,64,256,1,1,1,9.257,1.592,0.005,7.818,0.457,0.061
Hawaii,Convolution,ONE_D,512,512,64,64,1,1,1,1,9.165,1.8,0.003,292.931,0.551,0.092
Hawaii,Convolution,ONE_D,512,512,64,64,2,1,1,1,9.822,2.176,0.001,147.847,0.573,0.123
Hawaii,Convolution,ONE_D,512,512,64,64,4,1,1,1,9.571,2.219,0.002,74.876,0.554,0.072
Hawaii,Convolution,ONE_D,512,512,64,64,8,1,1,1,10.756,2.172,0.002,39.414,0.539,0.125
Hawaii,Convolution,ONE_D,512,512,64,64,16,1,1,1,9.411,2.137,0.001,20.485,0.572,0.07
Hawaii,Convolution,ONE_D,512,512,64,64,32,1,1,1,7.746,1.998,0.001,11.804,0.544,0.07
Hawaii,Convolution,ONE_D,512,512,64,64,64,1,1,1,11.762,1.999,0.002,8.517,0.568,0.069
Hawaii,Convolution,ONE_D,512,512,64,64,128,1,1,1,10.27,2.203,0.002,7.761,0.599,0.071
Hawaii,Convolution,ONE_D,512,512,64,64,256,1,1,1,9.762,2.032,0.001,7.734,0.562,0.07
Hawaii,Convolution,ONE_D,512,512,64,64,1,1,1,1,9.201,1.854,0.002,292.997,0.538,0.151
Hawaii,Convolution,ONE_D,512,512,64,64,2,1,1,1,9.71,2.103,0.002,147.844,0.594,0.071
Hawaii,Convolution,ONE_D,512,512,64,64,4,1,1,1,9.256,2.012,0.001,75.19,0.561,0.07
Hawaii,Convolution,ONE_D,512,512,64,64,8,1,1,1,10.76,2.156,0.002,38.888,0.561,0.073
Hawaii,Convolution,ONE_D,512,512,64,64,16,1,1,1,9.753,2.179,0.001,21.392,0.565,0.071
Hawaii,Convolution,ONE_D,512,512,64,64,32,1,1,1,7.754,2.172,0.002,12.109,0.586,0.125
Hawaii,Convolution,ONE_D,512,512,64,64,64,1,1,1,11.399,2.093,0.002,7.926,0.564,0.073
Hawaii,Convolution,ONE_D,512,512,64,64,128,1,1,1,10.256,2.147,0.002,7.722,0.547,0.073
Hawaii,Convolution,ONE_D,512,512,64,64,256,1,1,1,9.752,1.958,0.002,7.758,0.549,0.072
Hawaii,Convolution,ONE_D,512,512,64,64,1,1,1,1,9.036,1.725,0.002,293.091,0.532,0.081
Hawaii,Convolution,ONE_D,512,512,64,64,2,1,1,1,9.952,1.689,0.002,147.411,0.448,0.058
Hawaii,Convolution,ONE_D,512,512,64,64,4,1,1,1,10.262,1.613,0.002,74.797,0.467,0.059
Hawaii,Convolution,ONE_D,512,512,64,64,8,1,1,1,11.259,1.618,0.001,38.3,0.466,0.059
Hawaii,Convolution,ONE_D,512,512,64,64,16,1,1,1,10.784,1.601,0.002,20.209,0.4,0.059
Hawaii,Convolution,ONE_D,512,512,64,64,32,1,1,1,9.256,1.6,0.002,11.186,0.443,0.059
Hawaii,Convolution,ONE_D,512,512,64,64,64,1,1,1,7.78,1.656,0.002,7.702,0.398,0.058
Hawaii,Convolution,ONE_D,512,512,64,64,128,1,1,1,8.761,1.611,0.002,7.754,0.451,0.059
Hawaii,Convolution,ONE_D,512,512,64,64,256,1,1,1,9.787,1.593,0.002,7.635,0.405,0.057
Hawaii,Convolution,ONE_D,512,512,64,64,1,1,1,1,9.001,1.898,0.002,293.081,0.484,0.078
Hawaii,Convolution,ONE_D,512,512,64,64,2,1,1,1,9.945,1.65,0.002,147.563,0.446,0.121
Hawaii,Convolution,ONE_D,512,512,64,64,4,1,1,1,10.219,1.67,0.002,74.787,0.447,0.058
Hawaii,Convolution,ONE_D,512,512,64,64,8,1,1,1,11.256,1.65,0.002,38.279,0.404,0.058
Hawaii,Convolution,ONE_D,512,512,64,64,16,1,1,1,10.778,1.634,0.001,20.197,0.468,0.06
Hawaii,Convolution,ONE_D,512,512,64,64,32,1,1,1,8.778,1.674,0.002,11.337,0.45,0.059
Hawaii,Convolution,ONE_D,512,512,64,64,64,1,1,1,7.751,1.679,0.002,7.95,0.449,0.06
Hawaii,Convolution,ONE_D,512,512,64,64,128,1,1,1,8.761,1.655,0.003,7.781,0.451,0.114
Hawaii,Convolution,ONE_D,512,512,64,64,256,1,1,1,9.716,1.723,0.001,8.086,0.474,0.059
