device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,LUDecomposition,TWO_D,2048,2048,1,1,1,8,89.291,19.299,0.004,3563.57,31.032,0.957
Hawaii,LUDecomposition,TWO_D,2048,2048,1,2,1,8,121.383,21.027,0.003,1947.02,31.43,0.838
Hawaii,LUDecomposition,TWO_D,2048,2048,1,4,1,8,120.511,21.651,0.005,1155.66,31.204,0.756
Hawaii,LUDecomposition,TWO_D,2048,2048,1,8,1,8,116.88,21.473,0.004,833.666,30.31,0.81
Hawaii,LUDecomposition,TWO_D,2048,2048,1,16,1,8,118.817,21.498,0.006,643.629,29.516,0.794
Hawaii,LUDecomposition,TWO_D,2048,2048,1,32,1,8,120.933,21.149,0.005,613.397,30.544,0.944
Hawaii,LUDecomposition,TWO_D,2048,2048,1,64,1,8,121.08,21.134,0.005,641.761,29.33,0.775
Hawaii,LUDecomposition,TWO_D,2048,2048,1,128,1,8,116.586,21.401,0.005,635.484,32.619,0.901
Hawaii,LUDecomposition,TWO_D,2048,2048,1,256,1,8,118.102,21.04,0.005,636.399,30.691,0.986
Hawaii,LUDecomposition,TWO_D,2048,2048,2,1,1,8,119.235,21.587,0.005,1934.26,29.171,0.756
Hawaii,LUDecomposition,TWO_D,2048,2048,2,2,1,8,116.573,21.493,0.005,1163.23,30.946,0.762
Hawaii,LUDecomposition,TWO_D,2048,2048,2,4,1,8,116.949,21.166,0.003,830.726,30.553,0.81
Hawaii,LUDecomposition,TWO_D,2048,2048,2,8,1,8,119.893,21.104,0.005,646.419,30.775,0.837
Hawaii,LUDecomposition,TWO_D,2048,2048,2,16,1,8,120.248,21.504,0.005,607.049,31.181,0.77
Hawaii,LUDecomposition,TWO_D,2048,2048,2,32,1,8,116.831,21.329,0.006,641.025,31.041,0.785
Hawaii,LUDecomposition,TWO_D,2048,2048,2,64,1,8,117.342,20.934,0.005,630.171,30.845,0.805
Hawaii,LUDecomposition,TWO_D,2048,2048,2,128,1,8,117.493,21.539,0.006,628.431,30.813,0.857
Hawaii,LUDecomposition,TWO_D,2048,2048,4,1,1,8,119.858,20.864,0.004,1158.06,30.534,0.894
Hawaii,LUDecomposition,TWO_D,2048,2048,4,2,1,8,119.869,21.224,0.005,833.273,29.667,0.802
Hawaii,LUDecomposition,TWO_D,2048,2048,4,4,1,8,121.057,21.169,0.005,645.181,29.9,0.919
Hawaii,LUDecomposition,TWO_D,2048,2048,4,8,1,8,118.099,21.577,0.005,606.749,30.583,0.79
Hawaii,LUDecomposition,TWO_D,2048,2048,4,16,1,8,116.818,21.199,0.005,640.131,30.263,0.838
Hawaii,LUDecomposition,TWO_D,2048,2048,4,32,1,8,117.276,21.166,0.004,640.737,30.745,0.965
Hawaii,LUDecomposition,TWO_D,2048,2048,4,64,1,8,119.37,21.509,0.005,636.946,30.424,1.002
Hawaii,LUDecomposition,TWO_D,2048,2048,8,1,1,8,119.531,21.19,0.006,831.051,30.147,0.938
Hawaii,LUDecomposition,TWO_D,2048,2048,8,2,1,8,118.481,21.342,0.006,644.805,31.266,1.016
Hawaii,LUDecomposition,TWO_D,2048,2048,8,4,1,8,119.752,21.367,0.006,615.42,29.316,0.774
Hawaii,LUDecomposition,TWO_D,2048,2048,8,8,1,8,120.798,21.637,0.005,652.462,31.562,0.787
Hawaii,LUDecomposition,TWO_D,2048,2048,8,16,1,8,121.224,21.009,0.006,620.586,31.422,0.806
Hawaii,LUDecomposition,TWO_D,2048,2048,8,32,1,8,120.184,21.809,0.004,597.427,30.901,0.789
Hawaii,LUDecomposition,TWO_D,2048,2048,16,1,1,8,119.382,21.643,0.004,609.095,30.213,0.91
Hawaii,LUDecomposition,TWO_D,2048,2048,16,2,1,8,119.012,21.765,0.003,575.898,30.514,0.905
Hawaii,LUDecomposition,TWO_D,2048,2048,16,4,1,8,119.802,21.899,0.005,612.599,31.507,0.779
Hawaii,LUDecomposition,TWO_D,2048,2048,16,8,1,8,120.736,21.48,0.004,602.089,30.031,0.865
Hawaii,LUDecomposition,TWO_D,2048,2048,16,16,1,8,118.768,21.223,0.005,598.154,30.236,0.931
Hawaii,LUDecomposition,TWO_D,2048,2048,32,1,1,8,119.156,21.535,0.003,576.535,30.776,0.916
Hawaii,LUDecomposition,TWO_D,2048,2048,32,2,1,8,119.855,21.135,0.004,611.075,30.03,0.901
Hawaii,LUDecomposition,TWO_D,2048,2048,32,4,1,8,118.089,21.692,0.002,598.558,32.782,0.959
Hawaii,LUDecomposition,TWO_D,2048,2048,32,8,1,8,123.303,21.455,0.005,593.712,31.478,0.856
Hawaii,LUDecomposition,TWO_D,2048,2048,64,1,1,8,118.609,21.448,0.003,614.642,34.503,1.098
Hawaii,LUDecomposition,TWO_D,2048,2048,64,2,1,8,146.925,21.734,0.002,596.445,31.96,0.781
Hawaii,LUDecomposition,TWO_D,2048,2048,64,4,1,8,120.556,21.418,0.003,596.786,32.224,0.78
Hawaii,LUDecomposition,TWO_D,2048,2048,128,1,1,8,121.298,21.075,0.003,602.332,30.626,0.922
Hawaii,LUDecomposition,TWO_D,2048,2048,128,2,1,8,118.876,21.202,0.005,597.732,32.373,0.769
Hawaii,LUDecomposition,TWO_D,2048,2048,256,1,1,8,118.814,21.304,0.003,599.49,31.734,0.778
