device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,1,1,1,31.9932,331.365,20.685,0.005,8687.8,25.091,5.695
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,1,2,1,31.9932,338.046,19.162,0.004,4352.66,21.482,3.127
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,1,4,1,31.9932,347.566,19.215,0.003,2183.45,23.21,3.124
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,1,8,1,31.9932,355.389,16.207,0.003,1207.47,21.335,3.141
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,1,16,1,31.9932,330.654,15.87,0.003,901.989,23.15,2.938
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,1,32,1,31.9932,328.922,19.173,0.003,1687.26,19.963,3.106
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,1,64,1,31.9932,340.023,19.284,0.005,1568.29,19.474,3.132
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,1,128,1,31.9932,349.466,19.323,0.003,2697.48,25.816,3.085
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,1,256,1,31.9932,349.118,19.263,0.003,5445.96,23.226,3.083
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,2,1,1,31.9932,347.543,19.174,0.004,4366.58,23.676,3.068
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,2,2,1,31.9932,349.059,19.438,0.004,2177.13,21.526,3.148
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,2,4,1,31.9932,352.836,19.165,0.004,1203.55,22.132,3.159
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,2,8,1,31.9932,329.978,15.897,0.004,902.271,23.444,2.934
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,2,16,1,31.9932,327.638,15.383,0.004,714.57,21.754,2.429
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,2,32,1,31.9932,332.541,19.235,0.004,837.322,21.559,3.123
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,2,64,1,31.9932,329.487,18.83,0.003,646.021,21.765,3.123
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,2,128,1,31.9932,330.103,18.895,0.004,1041.93,22.582,3.128
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,4,1,1,31.9932,333.141,18.712,0.005,2260.76,19.75,3.132
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,4,2,1,31.9932,346.332,19.112,0.003,1139.4,20.968,3.092
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,4,4,1,31.9932,330.116,15.92,0.003,561.077,23.279,3.08
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,4,8,1,31.9932,430.256,19.316,0.003,447.216,22.404,3.108
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,4,16,1,31.9932,332.156,19.048,0.004,190.39,20.463,1.854
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,4,32,1,31.9932,329.452,15.764,0.004,191.929,23.767,2.394
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,4,64,1,31.9932,327.358,15.487,0.004,393.246,22.659,1.835
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,8,1,1,31.9932,333.177,18.608,0.004,1235.17,22.185,3.085
Hawaii,MatrixMultiplication,TWO_D,2896,2896,2896,8,2,1,31.9932,331.883,18.95,0.004,602.692,19.682,3.095
