device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,1,1,64,331.194,20.086,0.02,75.336,36.294,5.77
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,2,1,64,331.777,19.902,0.004,40.135,35.682,5.619
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,4,1,64,330.395,20.067,0.006,21.674,37.173,4.571
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,8,1,64,329.492,17.4,0.018,11.561,37.864,5.782
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,16,1,64,333.313,19.916,0.02,7.094,40.425,5.803
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,32,1,64,329.751,17.291,0.005,6.684,40.463,5.8
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,64,1,64,329.774,17.323,0.02,6.679,40.466,5.802
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,128,1,64,330.121,17.367,0.041,11.714,37.477,5.765
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,256,1,64,332.859,19.964,0.02,24.666,37.677,5.645
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,1,1,64,333.786,19.501,0.006,38.855,34.533,5.79
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,2,1,64,331.022,19.954,0.021,20.717,38.427,5.802
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,4,1,64,333.418,20.064,0.02,11.612,39.387,4.568
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,8,1,64,329.949,17.008,0.019,7.021,40.313,4.556
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,16,1,64,330.006,17.39,0.005,4.41,40.213,5.794
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,32,1,64,331.309,20.071,0.02,4.095,36.037,5.786
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,64,1,64,331.795,19.965,0.005,4.799,41.738,5.809
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,128,1,64,330.08,19.91,0.005,5.986,39.249,5.826
Hawaii,MatrixTranspose,TWO_D,4096,4096,4,1,1,64,330.12,17.246,0.02,20.65,39.054,5.789
Hawaii,MatrixTranspose,TWO_D,4096,4096,4,2,1,64,332.907,20.054,0.018,11.526,38.608,4.556
Hawaii,MatrixTranspose,TWO_D,4096,4096,4,4,1,64,331.414,17.358,0.005,7.063,38.991,4.573
Hawaii,MatrixTranspose,TWO_D,4096,4096,4,8,1,64,330.118,17.207,0.021,4.688,39.737,5.809
Hawaii,MatrixTranspose,TWO_D,4096,4096,4,16,1,64,330.103,20.05,0.02,3.129,35.926,5.807
Hawaii,MatrixTranspose,TWO_D,4096,4096,4,32,1,64,333.162,20.061,0.005,3.342,37.639,5.778
Hawaii,MatrixTranspose,TWO_D,4096,4096,4,64,1,64,333.084,19.931,0.02,3.589,40.726,5.779
Hawaii,MatrixTranspose,TWO_D,4096,4096,8,1,1,64,332.276,19.919,0.005,11.33,37.462,5.784
Hawaii,MatrixTranspose,TWO_D,4096,4096,8,2,1,64,333.076,19.96,0.005,6.885,40.85,5.807
Hawaii,MatrixTranspose,TWO_D,4096,4096,8,4,1,64,330.131,19.258,0.005,4.366,36.11,5.797
Hawaii,MatrixTranspose,TWO_D,4096,4096,8,8,1,64,332.082,20.074,0.02,3.484,37.107,5.798
Hawaii,MatrixTranspose,TWO_D,4096,4096,8,16,1,64,332.991,20.054,0.006,2.821,40.665,5.791
Hawaii,MatrixTranspose,TWO_D,4096,4096,8,32,1,64,332.058,20.086,0.004,2.73,35.57,4.607
Hawaii,MatrixTranspose,TWO_D,4096,4096,16,1,1,64,330.164,16.813,0.005,6.959,39.678,5.797
Hawaii,MatrixTranspose,TWO_D,4096,4096,16,2,1,64,334.557,20.131,0.006,4.668,37.329,5.805
Hawaii,MatrixTranspose,TWO_D,4096,4096,16,4,1,64,332.982,20.05,0.005,3.566,38.334,5.764
Hawaii,MatrixTranspose,TWO_D,4096,4096,16,8,1,64,332.423,19.511,0.006,2.861,40.77,5.783
Hawaii,MatrixTranspose,TWO_D,4096,4096,16,16,1,64,332.749,19.334,0.021,2.843,36.953,5.785
Hawaii,MatrixTranspose,TWO_D,4096,4096,32,1,1,64,332.977,19.858,0.006,4.739,40.672,5.783
Hawaii,MatrixTranspose,TWO_D,4096,4096,32,2,1,64,330.521,19.944,0.019,3.241,35.668,4.613
Hawaii,MatrixTranspose,TWO_D,4096,4096,32,4,1,64,330.498,16.709,0.006,2.812,40.205,5.785
Hawaii,MatrixTranspose,TWO_D,4096,4096,32,8,1,64,330.341,20.071,0.006,2.694,35.5,4.59
Hawaii,MatrixTranspose,TWO_D,4096,4096,64,1,1,64,331.388,16.689,0.004,3.433,41.155,5.805
Hawaii,MatrixTranspose,TWO_D,4096,4096,64,2,1,64,330.309,19.429,0.005,3.796,35.881,5.784
Hawaii,MatrixTranspose,TWO_D,4096,4096,64,4,1,64,337.753,17.335,0.02,2.865,41.004,5.796
Hawaii,MatrixTranspose,TWO_D,4096,4096,128,1,1,64,330.622,19.418,0.005,2.519,35.152,5.801
Hawaii,MatrixTranspose,TWO_D,4096,4096,128,2,1,64,333.437,19.879,0.019,2.843,41.046,5.622
Hawaii,MatrixTranspose,TWO_D,4096,4096,256,1,1,64,333.024,19.512,0.005,2.583,35.469,4.578
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,1,1,64,330.768,20.035,0.019,75.307,37.355,6.251
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,2,1,64,329.175,17.096,0.006,38.773,37.958,6.217
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,4,1,64,329.536,17.068,0.02,20.686,37.168,6.197
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,8,1,64,328.849,17.172,0.02,11.56,36.087,6.208
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,16,1,64,330.243,20.013,0.005,6.96,36.428,6.201
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,32,1,64,328.917,17.493,0.005,6.706,38.241,5.019
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,64,1,64,327.462,20.113,0.006,6.554,40.031,5.002
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,128,1,64,327.408,20.079,0.006,10.044,38.494,3.711
Hawaii,MatrixTranspose,TWO_D,4096,4096,1,256,1,64,327.235,19.99,0.03,24.123,36.553,6.235
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,1,1,64,330.584,19.368,0.021,38.771,36.282,6.238
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,2,1,64,328.342,16.94,0.02,20.745,36.943,6.229
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,4,1,64,328.991,17.064,0.006,11.607,36.048,6.231
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,8,1,64,328.972,17.053,0.005,7.079,38.673,6.249
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,16,1,64,330.045,16.832,0.005,4.632,40.334,5.021
Hawaii,MatrixTranspose,TWO_D,4096,4096,2,32,1,64,328.533,20.105,0.005,5.377,39.077,6.272
